subject,run,qDMN,qCEN,qPDA,qGLOBAL,fsnrPDA,betaPDA,r2PDA,fsnrCEN,betaCEN,r2CEN,resid_PDA,resid_CEN
dmnelf001,1,2.741975797260068,1.759887157747445,-0.4086386210938136,3.611951442693157,-11.03272299937972,-0.2157354801503785,0.07307554146198612,-25.828821242481897,0.04518952632531048,0.0026060611405929203,0.10502400510764905,0.13903714052852262
dmnelf001,2,-0.8199424231120507,-3.2620863162375984,-1.6997632577770245,1.0428748933910945,-13.890616419485042,-0.11823396342953772,0.03922474832437966,-35.2874858921194,0.010706329416057517,0.0002958849601912474,0.06091430076679367,0.06889741341831919
dmnelf001,3,-2.979268610245303,-0.06430992068639235,3.2817769703721944,-3.460435592878665,-13.791867528274606,-0.1366672769417644,0.040090682917245976,-10.023124798420257,0.2928107997730844,0.0904699920946216,0.07955893490683275,0.1533415279520129
dmnelf001,4,0.2004932244165858,0.6557020349347671,0.5372329772946123,4.445640530050184,-14.278130066010064,-0.1060449868606069,0.035996925753561934,-11.96481174499753,0.2027351968952609,0.059804905233119654,0.053575522694179895,0.11495096085548653
dmnelf004,1,-0.4945430241741512,2.9289065931936795,1.6302640328716596,5.587394474825043,-4.334691015646347,0.7820673319163708,0.2693152480587345,-4.679077258988641,0.552036739123899,0.2539988590491286,0.2952096275345244,0.15922703735691507
dmnelf004,2,-0.6562060535915182,-3.4999595979007663,-5.206584499433768,0.9103768332244866,-5.37184887690365,0.6454109426024418,0.22497362035219026,-16.672560048325828,0.1459973683894246,0.021061979767302286,0.25528815307578245,0.17624596587088392
dmnelf004,3,-0.030400247152065796,-3.9669260049856274,-0.25856661764264033,-4.209805945747805,-7.627846813753264,0.4642869284785785,0.14724472150799142,-10.047901537475939,0.24470375597148544,0.09000164616869484,0.22209087736066532,0.10770715376613466
dmnelf004,4,2.562730183552025,-3.525054851119332,5.1737154073543365,-3.917336515179954,-6.005906221196363,0.39693247314640523,0.2005418851204386,-9.868544697493453,0.24519656995689998,0.09344180487255092,0.11173700009204228,0.10376631062576244
dmnelf005,1,1.9701614832801273,-0.627237195115298,-5.149904561276758,4.070844237574482,-10.07868041423155,0.12655004157551336,0.0894228873741062,-11.413654982954494,0.24458402083860004,0.0673522557855691,0.029011203852542026,0.14736514774393858
dmnelf005,2,4.267110773119237,3.7554469266415342,3.8942764778110694,9.487694911175835,-7.857416185732365,0.3181400393109029,0.14073037398436974,-12.08974071382103,0.23648836827201505,0.058207778883761684,0.10993890431040157,0.16097808837162805
dmnelf005,3,2.768532627790228,0.192334199373437,-8.939370683543082,4.937617598238921,-19.900456236753982,0.08771508306019096,0.010128224461525398,-22.40802442049472,0.08195876564435586,0.005710974275697704,0.13377264264743713,0.20804936040440986
dmnelf005,4,2.644159532121744,0.8330916928567231,-0.3419585657822183,15.129081463822251,-10.504953653220856,0.21579576495419459,0.08174616464732222,-12.831661999671136,0.1682588994461232,0.049519582411503164,0.09305813079303665,0.0966708222986262
dmnelf006,1,-2.7305532620758246,-2.613577364343403,-0.5532229178976996,-1.42571080533726,-9.783350824184867,0.2270080905371062,0.09511684198187956,-21.140710262915285,0.10266401568616894,0.007631361115522691,0.08721493846181944,0.2438263550535978
dmnelf006,2,1.5382149927624584,3.3670240375510536,-8.986581109804249,-2.220780352810661,-18.48287823289691,-0.08718726472895318,0.013982880053678424,-15.011622957831444,-0.15099446182489262,0.030574007254250565,0.09536017827265189,0.12860488275098383
dmnelf006,3,-5.773287275922074,5.525318946170291,1.578018235306383,2.858289109449246,-8.815147425555828,0.4109805183060856,0.11611327362178993,-28.026128957001045,0.03459594821877708,0.0015729085059838527,0.2287337965674078,0.13515636327478078
dmnelf006,4,-5.553361851099278,-4.033836508124507,-0.01564574113080597,-6.791694011616864,-12.78168771075281,0.19838148279538378,0.050064003251474545,-16.394107563159647,0.12010916318815214,0.0224253472167021,0.13284467789833357,0.11187580252428449
dmnelf007,1,3.0090004014605425,-0.6840388128319325,7.895156308956811,1.6678897092531275,-15.051985348360349,-0.10058745987647201,0.03029974509784495,-13.62398297135881,0.2804302497192504,0.041605065722858256,0.05760488871710462,0.3222709353139057
dmnelf007,2,-5.838861501792515,-2.392717048405921,-4.162294655458992,-1.3829649049292518,-18.85394277157913,0.08583081141416311,0.01285250468258663,-13.273221012419326,-0.2511365685480541,0.0449474608011175,0.10065928437892167,0.2384048783935832
dmnelf007,3,1.3789251705510255,-2.22363114785394,-5.631175871037629,1.5265779554304748,-15.334767124250341,0.1667206687262286,0.028444029002106706,-30.002544094386433,0.04007679276111314,0.0009984165403262109,0.16889964026393064,0.2858995369893709
dmnelf007,4,4.748553042163044,3.6823506669482713,-4.645004182273732,4.707783168709609,-18.403534138587375,0.12237644242512397,0.014237019849792138,-31.115072417601702,0.03822862650830198,0.0007729598506641665,0.18446848727179094,0.3360916759396102
dmnelf008,1,10.55034725014798,-6.668092047864037,4.3262075947587135,1.326682772384704,-8.583920866920518,0.4066224907329137,0.12169020910103853,-4.713522272981699,0.4437766698777325,0.2524989514210281,0.21229902721581884,0.10371803637903587
dmnelf008,2,13.395116438257697,4.286179118951874,5.430661514137239,5.748906900927358,-7.136547364950454,0.40906531938739316,0.1620232166294779,-4.523873352843286,0.48929422578847065,0.26082975832650324,0.15396187252877577,0.12069815778148268
