subject,run,varrest_DMN,varfb_DMN,quench_DMN,quenchdb_DMN,varrest_CEN,varfb_CEN,quench_CEN,quenchdb_CEN,varrest_PDA,varfb_PDA,quench_PDA,quenchdb_PDA,grpquenchdb_DMN,grpnoisefb_DMN,grpquenchdb_CEN,grpnoisefb_CEN,grpquenchdb_ATTN,grpnoisefb_ATTN,grpquenchdb_VIS,grpnoisefb_VIS,grpquenchdb_WHOLE,glm_PDA_db,beta_PDA,beta_CEN,fsnr_quench_PDA_db
dmnelf001,1,0.21050935150990988,0.11196281617666021,0.09854653533324967,2.741975797260068,0.1690363981924048,0.11271754324753541,0.05631885494486938,1.759887157747445,0.0888558323142353,0.09762247215785497,-0.008766639843619667,-0.4086386210938136,0.40636016615015014,0.8914825237828216,-1.297445635789291,0.9313992050490573,-2.5999497241044263,1.047699514058772,-1.507177515598604,0.9847039668839909,-1.3319959726467596,-11.03272299937972,-0.2157354801503785,0.04518952632531048,2.741975797260068
dmnelf001,2,0.06323288187021966,0.07637253703567942,-0.013139655165459757,-0.8199424231120507,0.03660121950774771,0.07757185686310662,-0.04097063735535891,-3.2620863162375984,0.044890300060077416,0.06639400000375759,-0.02150369994368017,-1.6997632577770245,-0.1307853382365633,0.9436076225577338,-2.3673535201116502,1.087612261910103,-1.7050288537073246,1.0410609581622041,-1.947669832298592,1.0600412350845592,-1.5420830714608402,-13.890616419485042,-0.11823396342953772,0.010706329416057517,-0.8199424231120507
dmnelf001,3,0.1159644243718882,0.23027756982404607,-0.11431314545215787,-2.979268610245303,0.1502329054799778,0.15247409298788972,-0.0022411875079119126,-0.06430992068639235,0.13284386507833978,0.06239701381965637,0.07044685125868341,3.2817769703721944,1.5169113129902883,0.8881269982155245,-0.5788955419218378,0.9914488226658471,-0.17514606476300715,0.983966685298673,-1.5892975244961234,1.0326475489308118,-0.43139247316195967,-13.791867528274606,-0.1366672769417644,0.2928107997730844,-2.979268610245303
dmnelf001,4,0.13942319786561927,0.1331329996249969,0.00629019824062238,0.2004932244165858,0.13359082653149826,0.11486995035236024,0.01872087617913802,0.6557020349347671,0.06074778231243766,0.05367933540532017,0.007068446907117491,0.5372329772946123,-0.7591738113454216,1.026658131914073,-1.080167580364097,1.0398013849672998,-1.7383392440281003,1.0608028086909926,-1.649011421932289,1.0248819390401624,-1.2700399399146995,-14.278130066010064,-0.1060449868606069,0.2027351968952609,0.2004932244165858
dmnelf004,1,0.1013993899051936,0.11362912028287213,-0.012229730377678535,-0.4945430241741512,0.2668739273117477,0.1359613560283173,0.1309125712834304,2.9289065931936795,0.41771944184220394,0.28698439728931197,0.13073504455289198,1.6302640328716596,-0.5441160702172511,0.9818861656271155,-1.4662379151728178,1.0083875879272328,-0.10296272967744677,0.9434292762563605,-0.5985801547282026,0.9676844471652529,-0.02858766634824106,-4.334691015646347,0.7820673319163708,0.552036739123899,-0.4945430241741512
dmnelf004,2,0.1769025063186785,0.2057569868122119,-0.028854480493533424,-0.6562060535915182,0.0918273913912627,0.20557400975827742,-0.11374661836701472,-3.4999595979007663,0.09262080113589649,0.30716164381451855,-0.21454084267862206,-5.206584499433768,-0.9188033952829454,0.9942530401258599,-2.8232654097354852,1.0902304302607373,-2.165733079073059,1.0603247093506238,1.7741184599487465,0.8855349714168722,-0.7578328988528971,-5.37184887690365,0.6454109426024418,0.1459973683894246,-0.6562060535915182
dmnelf004,3,0.09636844742126202,0.09704538490744086,-0.0006769374861788358,-0.030400247152065796,0.05230168219113471,0.13037918378890376,-0.07807750159776905,-3.9669260049856274,0.2249039573148755,0.23870073645870632,-0.013796779143830817,-0.25856661764264033,-0.7714457432972396,0.9769190740918282,-3.652063726149851,1.1153772522928849,-1.3631145409443302,1.0076181117628178,-0.5084733479065456,0.9816762022123275,-1.094364370950133,-7.627846813753264,0.4642869284785785,0.24470375597148544,-0.030400247152065796
dmnelf004,4,0.21281102238371719,0.11795628871754693,0.09485473366617025,2.562730183552025,0.05263119418430084,0.1185082839055813,-0.06587708972128045,-3.525054851119332,0.24676154484450483,0.0749731813508046,0.17178836349370025,5.1737154073543365,0.4913322278056047,0.942277339113745,-1.2880359069134861,0.9959487908013576,-0.10423434560741102,0.9822188180237659,-1.4024567840656401,1.0302582984065136,-0.5448864712892925,-6.005906221196363,0.39693247314640523,0.24519656995689998,2.562730183552025
dmnelf005,1,0.1428803603651444,0.09077293723035992,0.052107423134784475,1.9701614832801273,0.13446433092671625,0.1553569958764263,-0.020892664949710038,-0.627237195115298,0.010607210410462021,0.03472095324346175,-0.02411374283299973,-5.149904561276758,-0.1027833750549697,0.9932071446581124,-1.4664686435495475,1.021142225234452,-0.30830398997563846,0.9891816816638753,0.5671162797483144,0.9369115377197202,-0.24253918357281073,-10.07868041423155,0.12655004157551336,0.24458402083860004,1.9701614832801273
dmnelf005,2,0.2432121642729254,0.09104879765656805,0.15216336661635738,4.267110773119237,0.3072389966106236,0.1293992161179579,0.1778397804926657,3.7554469266415342,0.2142827237438819,0.08740967596323529,0.12687304778064662,3.8942764778110694,0.0999670493314283,0.9970572781977521,-0.5011517064542138,0.9941763318033932,0.4888203596831521,0.949524111100655,0.4747160697600586,0.9509046232573163,0.3288601820588809,-7.857416185732365,0.3181400393109029,0.23648836827201505,4.267110773119237
