subject,run,fsnr_fb,fsnr_rest,dprime_fsnr,dprime_pda,betaPDA,smooth
dmnelf001,1,-0.5509596457095676,1.3291931285664322,-1.4592150863482674,-1.968031590416439,-0.2157354801503785,0.934894446396491
dmnelf001,2,-0.060356448725116765,0.43655355391951256,-0.45370586162531323,-0.7593833183367644,-0.11823396342953772,0.9700568817201398
dmnelf001,3,-0.3434876759746039,0.26981372436861056,-0.9681720046123286,-0.7303032078033012,-0.1366672769417644,0.9467633165890217
dmnelf001,4,-0.13944907794342867,0.044970334153881214,-0.2511987753430791,-0.5649028815578947,-0.1060449868606069,0.9572049389337869
dmnelf004,1,1.113644117371433,-2.744656788512742,1.1297925459952662,1.213983267865861,0.7820673319163708,0.9627542747192356
dmnelf004,2,1.5417860864885309,-2.6776894246231677,1.6262221097058627,2.4143931368018707,0.6454109426024418,0.9251264811309146
dmnelf004,3,-0.2051776134552565,-3.0298580273777973,0.7932099666971626,0.7981526425066893,0.4642869284785785,0.9312395362008351
dmnelf004,4,0.5163763498969188,-4.52172653473793,1.1339903721757585,1.4092914898726667,0.39693247314640523,0.9559664569100198
dmnelf005,1,0.5597679279254925,-1.448990355899322,2.493989997969589,2.1296987755997034,0.12655004157551336,0.9364432094482666
dmnelf005,2,1.1634648368409068,-0.2266247568423559,0.9147993953330882,0.9832887455642514,0.3181400393109029,0.9698751000748237
dmnelf005,3,0.741451383066503,-0.09174951695443974,0.7074000546523354,0.09454588571935853,0.08771508306019096,0.9359546339886997
dmnelf005,4,0.8277885025833459,-0.14453443916192357,0.7530323945372507,0.3858468991007326,0.21579576495419459,0.9461687945187142
dmnelf006,1,0.9956055430538705,-0.584978073681644,1.20707961542092,0.9681378627585966,0.2270080905371062,0.9623089926081576
dmnelf006,2,0.08539267084367508,0.608251013879858,-0.3957250114420187,-0.5587309899880138,-0.08718726472895318,0.9773187727757755
dmnelf006,3,0.5967503883615718,-0.1380482252404233,0.23125419127463628,0.5163882830620379,0.4109805183060856,0.9672110598910358
dmnelf006,4,0.645994951645318,-0.4772683946296839,0.3489061111824021,0.09197521492785493,0.19838148279538378,0.905064389889291
dmnelf007,1,-0.1306917385419946,0.6428766714768335,-0.7094024226249493,-0.5976775716046139,-0.10058745987647201,0.9462937111092711
dmnelf007,2,0.053479560837654226,-0.4746585137347412,0.2853948412461393,0.169488977950112,0.08583081141416311,0.9708709246089138
dmnelf007,3,0.3230662014856286,-0.17765783469577495,0.18984342818000483,0.36899701245942235,0.1667206687262286,0.9658857227063606
dmnelf007,4,-0.46813348884417294,-1.9823178422158871,0.7699273333273714,1.3996683403084045,0.12237644242512397,0.9575569436846495
dmnelf008,1,0.7895909551955714,-0.6362828074521524,0.9760324209372178,1.2414933648741042,0.4066224907329137,0.9533128585163326
dmnelf008,2,0.6894237833485994,-0.8436543499492996,1.0459910844606126,1.4923365968373796,0.40906531938739316,0.9567241893948584
dmnelf008,3,0.6671703657322774,-0.3917047028859924,0.7861994934181102,0.9043941484608747,0.30180580517668704,0.956899636416112
dmnelf008,4,0.15534748244374255,-0.42634285669849264,1.1029231945952078,1.2502338608150092,0.28708165438871946,0.9590031705581945
dmnelf009,1,0.4179739717972748,-0.13163845541194075,0.4890143445547492,0.7564403569385881,0.16595393805309977,0.9378769694093168
dmnelf009,2,-0.5855214048057924,-0.45114134835196945,-0.06610042837721698,0.33109910114436025,-0.07413373317596277,0.9803983746099383
dmnelf009,3,1.5047263515353568,-3.760113439608365,1.8986325072515786,2.645700710627391,0.4333975470108113,0.9656145418044179
dmnelf009,4,0.3329137894734224,-0.6660928226604435,0.9554112135308497,0.8636164962628559,0.2702409864533082,0.9208391525023619
dmnelf010,1,0.04686655760506137,-0.753924226370196,0.6631140630311645,0.7372075032462791,0.0360215453265703,0.9733431674250604
