measure,r,p,n
within_dmn_difumo,-0.0852888258022717,0.5959775153964397,41
within_cen_difumo,0.013085609216540313,0.9352821234109465,41
dmn_cen_difumo,0.16220641757271703,0.3109465055359688,41
mpfc_pcc,0.19779416540269454,0.2151143601816958,41
acc_pcc,-0.05355502305803173,0.7394714593127816,41
acc_mpfc,-0.16156480255858097,0.31289005963273875,41
within_dmn_pers,0.1728036866574283,0.2928053529308499,39
within_cen_pers,0.02594615403110963,0.8754118599392664,39
dmn_cen_pers,-0.019128192394350815,0.907985865634038,39
