subject,run,condition,band,log_power_db
sub-rtbpd012,04,post,alpha,-108.9343
sub-rtbpd012,04,post,beta,-118.9284
sub-rtbpd012,04,post,gamma,-126.9485
sub-rtbpd013,01,pre,delta,-109.8716
sub-rtbpd013,01,pre,theta,-110.6422
sub-rtbpd013,01,pre,alpha,-113.484
sub-rtbpd013,01,pre,beta,-125.9634
sub-rtbpd013,01,pre,gamma,-132.7511
sub-rtbpd013,02,pre,delta,-107.1336
sub-rtbpd013,02,pre,theta,-109.21
sub-rtbpd013,02,pre,alpha,-113.3579
sub-rtbpd013,02,pre,beta,-125.7032
sub-rtbpd013,02,pre,gamma,-135.0509
sub-rtbpd013,03,post,delta,-111.2204
sub-rtbpd013,03,post,theta,-115.4523
sub-rtbpd013,03,post,alpha,-117.2406
sub-rtbpd013,03,post,beta,-126.1173
sub-rtbpd013,03,post,gamma,-133.524
sub-rtbpd013,04,post,delta,-110.9431
sub-rtbpd013,04,post,theta,-113.7318
sub-rtbpd013,04,post,alpha,-116.5378
sub-rtbpd013,04,post,beta,-125.651
sub-rtbpd013,04,post,gamma,-134.9925
sub-rtbpd015,01,pre,delta,-106.7569
sub-rtbpd015,01,pre,theta,-111.3662
sub-rtbpd015,01,pre,alpha,-115.4853
sub-rtbpd015,01,pre,beta,-121.6186
sub-rtbpd015,01,pre,gamma,-127.9653
sub-rtbpd015,02,pre,delta,-107.5944
sub-rtbpd015,02,pre,theta,-110.9483
sub-rtbpd015,02,pre,alpha,-115.8132
sub-rtbpd015,02,pre,beta,-121.1475
sub-rtbpd015,02,pre,gamma,-127.8689
sub-rtbpd015,03,post,delta,-113.4854
sub-rtbpd015,03,post,theta,-117.3135
sub-rtbpd015,03,post,alpha,-117.9977
sub-rtbpd015,03,post,beta,-121.6301
sub-rtbpd015,03,post,gamma,-126.1114
sub-rtbpd015,04,post,delta,-111.4366
sub-rtbpd015,04,post,theta,-115.4454
sub-rtbpd015,04,post,alpha,-115.9496
sub-rtbpd015,04,post,beta,-120.5295
sub-rtbpd015,04,post,gamma,-126.6547
sub-rtbpd018,01,pre,delta,-107.7722
sub-rtbpd018,01,pre,theta,-109.5583
sub-rtbpd018,01,pre,alpha,-113.355
sub-rtbpd018,01,pre,beta,-118.5508
sub-rtbpd018,01,pre,gamma,-126.6449
sub-rtbpd018,02,pre,delta,-103.9149
sub-rtbpd018,02,pre,theta,-107.3559
sub-rtbpd018,02,pre,alpha,-115.3908
sub-rtbpd018,02,pre,beta,-119.2536
sub-rtbpd018,02,pre,gamma,-127.8339
sub-rtbpd018,03,post,delta,-103.1524
sub-rtbpd018,03,post,theta,-106.4024
sub-rtbpd018,03,post,alpha,-113.0896
sub-rtbpd018,03,post,beta,-120.6394
sub-rtbpd018,03,post,gamma,-132.2471
sub-rtbpd018,04,post,delta,-105.205
sub-rtbpd018,04,post,theta,-108.944
sub-rtbpd018,04,post,alpha,-113.0966
sub-rtbpd018,04,post,beta,-120.5856
sub-rtbpd018,04,post,gamma,-132.1783
sub-rtbpd020,01,pre,delta,-104.5797
sub-rtbpd020,01,pre,theta,-111.9769
sub-rtbpd020,01,pre,alpha,-113.8192
sub-rtbpd020,01,pre,beta,-121.5707
sub-rtbpd020,01,pre,gamma,-133.4918
sub-rtbpd020,02,pre,delta,-106.2147
sub-rtbpd020,02,pre,theta,-111.9588
sub-rtbpd020,02,pre,alpha,-114.5286
sub-rtbpd020,02,pre,beta,-121.8603
sub-rtbpd020,02,pre,gamma,-131.6862
sub-rtbpd020,03,post,delta,-107.1546
sub-rtbpd020,03,post,theta,-110.6784
sub-rtbpd020,03,post,alpha,-114.4525
sub-rtbpd020,03,post,beta,-123.5887
sub-rtbpd020,03,post,gamma,-133.8892
sub-rtbpd020,04,post,delta,-108.5137
sub-rtbpd020,04,post,theta,-113.6702
sub-rtbpd020,04,post,alpha,-115.8125
sub-rtbpd020,04,post,beta,-122.8854
sub-rtbpd020,04,post,gamma,-133.0227
sub-rtbpd021,01,pre,delta,-108.4757
sub-rtbpd021,01,pre,theta,-111.8987
sub-rtbpd021,01,pre,alpha,-118.4102
sub-rtbpd021,01,pre,beta,-125.9183
sub-rtbpd021,01,pre,gamma,-135.0121
sub-rtbpd021,02,pre,delta,-111.2742
sub-rtbpd021,02,pre,theta,-114.4089
sub-rtbpd021,02,pre,alpha,-118.6652
sub-rtbpd021,02,pre,beta,-126.2689
sub-rtbpd021,02,pre,gamma,-136.0487
sub-rtbpd021,03,post,delta,-101.1104
sub-rtbpd021,03,post,theta,-107.1611
sub-rtbpd021,03,post,alpha,-111.7213
sub-rtbpd021,03,post,beta,-120.3733
sub-rtbpd021,03,post,gamma,-126.0477
sub-rtbpd021,04,post,delta,-95.1548
sub-rtbpd021,04,post,theta,-104.295
sub-rtbpd021,04,post,alpha,-106.7412
sub-rtbpd021,04,post,beta,-117.4622
sub-rtbpd021,04,post,gamma,-126.72
sub-rtbpd024,01,pre,delta,-109.9472
sub-rtbpd024,01,pre,theta,-113.0258
sub-rtbpd024,01,pre,alpha,-113.0217
sub-rtbpd024,01,pre,beta,-122.2447
sub-rtbpd024,01,pre,gamma,-134.0778
sub-rtbpd024,02,pre,delta,-108.8008
sub-rtbpd024,02,pre,theta,-112.5443
sub-rtbpd024,02,pre,alpha,-113.3191
sub-rtbpd024,02,pre,beta,-122.9535
sub-rtbpd024,02,pre,gamma,-134.2209
sub-rtbpd024,03,post,delta,-110.3779
sub-rtbpd024,03,post,theta,-109.5386
sub-rtbpd024,03,post,alpha,-112.8559
sub-rtbpd024,03,post,beta,-120.8786
sub-rtbpd024,03,post,gamma,-134.4571
sub-rtbpd024,04,post,delta,-108.668
sub-rtbpd024,04,post,theta,-108.4883
sub-rtbpd024,04,post,alpha,-112.4264
sub-rtbpd024,04,post,beta,-121.1361
sub-rtbpd024,04,post,gamma,-134.0378
sub-rtbpd030,01,pre,delta,-107.233
sub-rtbpd030,01,pre,theta,-103.0075
sub-rtbpd030,01,pre,alpha,-112.0333
sub-rtbpd030,01,pre,beta,-121.2803
sub-rtbpd030,01,pre,gamma,-128.9742
sub-rtbpd030,02,pre,delta,-106.6061
sub-rtbpd030,02,pre,theta,-107.9033
sub-rtbpd030,02,pre,alpha,-112.8108
sub-rtbpd030,02,pre,beta,-120.3134
sub-rtbpd030,02,pre,gamma,-127.5472
sub-rtbpd030,03,post,delta,-106.0382
sub-rtbpd030,03,post,theta,-103.3337
sub-rtbpd030,03,post,alpha,-112.6232
sub-rtbpd030,03,post,beta,-121.3623
sub-rtbpd030,03,post,gamma,-127.3977
sub-rtbpd030,04,post,delta,-105.2977
sub-rtbpd030,04,post,theta,-104.3836
sub-rtbpd030,04,post,alpha,-112.9183
sub-rtbpd030,04,post,beta,-121.779
sub-rtbpd030,04,post,gamma,-128.7193
sub-rtbpd038,01,pre,delta,-110.8709
sub-rtbpd038,01,pre,theta,-114.0034
sub-rtbpd038,01,pre,alpha,-114.511
sub-rtbpd038,01,pre,beta,-124.4548
sub-rtbpd038,01,pre,gamma,-131.1301
sub-rtbpd038,02,pre,delta,-108.7396
sub-rtbpd038,02,pre,theta,-112.8157
sub-rtbpd038,02,pre,alpha,-113.8087
sub-rtbpd038,02,pre,beta,-121.9379
sub-rtbpd038,02,pre,gamma,-127.599
sub-rtbpd038,03,post,delta,-108.2818
sub-rtbpd038,03,post,theta,-112.2874
sub-rtbpd038,03,post,alpha,-114.0933
sub-rtbpd038,03,post,beta,-124.3538
sub-rtbpd038,03,post,gamma,-131.1332
sub-rtbpd038,04,post,delta,-108.0787
sub-rtbpd038,04,post,theta,-112.1244
sub-rtbpd038,04,post,alpha,-113.4529
sub-rtbpd038,04,post,beta,-124.1332
sub-rtbpd038,04,post,gamma,-131.7435
sub-rtbpd040,01,pre,delta,-108.6423
sub-rtbpd040,01,pre,theta,-109.7519
sub-rtbpd040,01,pre,alpha,-111.3494
sub-rtbpd040,01,pre,beta,-121.6472
sub-rtbpd040,01,pre,gamma,-131.6983
sub-rtbpd040,02,pre,delta,-108.6634
sub-rtbpd040,02,pre,theta,-109.8713
sub-rtbpd040,02,pre,alpha,-113.303
sub-rtbpd040,02,pre,beta,-121.6366
sub-rtbpd040,02,pre,gamma,-130.4056
sub-rtbpd040,03,post,delta,-108.9171
sub-rtbpd040,03,post,theta,-109.1555
sub-rtbpd040,03,post,alpha,-110.6472
sub-rtbpd040,03,post,beta,-122.0989
sub-rtbpd040,03,post,gamma,-132.8605
sub-rtbpd040,04,post,delta,-108.6284
sub-rtbpd040,04,post,theta,-108.8421
sub-rtbpd040,04,post,alpha,-109.9464
sub-rtbpd040,04,post,beta,-121.9908
sub-rtbpd040,04,post,gamma,-133.2042
