cohort,subject,run,nvox,denoise,smooth_tr,window,r_halfhalf,reliability,ceiling
rtbpd,rtbpd010,1,2000,raw,1,fb,0.9862068273659963,0.9930555204805657,0.996521710993075
rtbpd,rtbpd010,1,2000,raw,1,full,0.9884715579986488,0.9942023601217841,0.9970969662584397
rtbpd,rtbpd010,1,2000,raw,3,fb,0.9933252247699698,0.9966514369320739,0.9983243145050981
rtbpd,rtbpd010,1,2000,raw,3,full,0.9939755342495463,0.9969786661636644,0.998488190297544
rtbpd,rtbpd010,1,2000,raw,5,fb,0.9951442818440864,0.9975662320764964,0.9987823747326023
rtbpd,rtbpd010,1,2000,raw,5,full,0.9951840017052433,0.9975861883963382,0.998792365007031
rtbpd,rtbpd010,1,2000,gsr,1,fb,0.9847478421062297,0.9923153170542891,0.9961502482328101
rtbpd,rtbpd010,1,2000,gsr,1,full,0.987857757410016,0.9938917950518733,0.9969412194567308
rtbpd,rtbpd010,1,2000,gsr,3,fb,0.9926198415268535,0.9962962536459079,0.9981464089230137
rtbpd,rtbpd010,1,2000,gsr,3,full,0.9934585419223594,0.9967185381887438,0.9983579208824578
rtbpd,rtbpd010,1,2000,gsr,5,fb,0.9942588451942538,0.9971211586602305,0.9985595418703036
rtbpd,rtbpd010,1,2000,gsr,5,full,0.9944048197635165,0.9971945614144941,0.9985962955141052
rtbpd,rtbpd010,2,2000,raw,1,fb,0.9855262348390221,0.9927103631737451,0.9963485149152103
rtbpd,rtbpd010,2,2000,raw,1,full,0.9869143421436533,0.9934140805273826,0.9967016005442063
rtbpd,rtbpd010,2,2000,raw,3,fb,0.992202695754731,0.9960860888995459,0.9980411258558165
rtbpd,rtbpd010,2,2000,raw,3,full,0.9923877611004049,0.9961793386567529,0.9980878411526477
rtbpd,rtbpd010,2,2000,raw,5,fb,0.99360109583049,0.9967902785653092,0.9983938494228163
rtbpd,rtbpd010,2,2000,raw,5,full,0.9940014796396305,0.9969917171969934,0.998494725673097
rtbpd,rtbpd010,2,2000,gsr,1,fb,0.9838208143290523,0.9918444319395754,0.9959138677313292
rtbpd,rtbpd010,2,2000,gsr,1,full,0.9856971373443347,0.9927970573222492,0.996392019900927
rtbpd,rtbpd010,2,2000,gsr,3,fb,0.9906861831786341,0.9953213033274315,0.9976579089685159
rtbpd,rtbpd010,2,2000,gsr,3,full,0.9908559766451006,0.9954069890227275,0.9977008514693808
rtbpd,rtbpd010,2,2000,gsr,5,fb,0.9925938313206883,0.9962831518581974,0.9981398458423536
rtbpd,rtbpd010,2,2000,gsr,5,full,0.9927285419140399,0.9963510041970013,0.9981738346585736
rtbpd,rtbpd010,3,2000,raw,1,fb,0.9891167111881475,0.9945285820833752,0.9972605387176288
rtbpd,rtbpd010,3,2000,raw,1,full,0.9892061022533176,0.9945737660192902,0.9972831924881168
rtbpd,rtbpd010,3,2000,raw,3,fb,0.9948606267301823,0.9974236930635892,0.9987110157916499
rtbpd,rtbpd010,3,2000,raw,3,full,0.9944468150659744,0.9972156766016135,0.9986068678922719
rtbpd,rtbpd010,3,2000,raw,5,fb,0.9960504761117335,0.9980213306549441,0.9990101754511533
rtbpd,rtbpd010,3,2000,raw,5,full,0.9958626715925107,0.9979270475537337,0.9989629860779295
rtbpd,rtbpd010,3,2000,gsr,1,fb,0.9888453882574185,0.9943914133253189,0.9971917635667269
rtbpd,rtbpd010,3,2000,gsr,1,full,0.9885548000981302,0.9942444634156902,0.9971180789734434
rtbpd,rtbpd010,3,2000,gsr,3,fb,0.9948062461603563,0.9973963617521047,0.9986973324046203
rtbpd,rtbpd010,3,2000,gsr,3,full,0.9942573414616789,0.997120402458134,0.9985591632237591
rtbpd,rtbpd010,3,2000,gsr,5,fb,0.9960288145404261,0.9980104568477944,0.9990047331458417
rtbpd,rtbpd010,3,2000,gsr,5,full,0.9959082301011418,0.9979499208244406,0.9989744345199434
rtbpd,rtbpd010,4,2000,raw,1,fb,0.9912711678282052,0.9956164522879548,0.9978058189286906
rtbpd,rtbpd010,4,2000,raw,1,full,0.990065575412284,0.9950079913393518,0.9975008728514235
rtbpd,rtbpd010,4,2000,raw,3,fb,0.9953552124752646,0.9976722001698267,0.9988354219639123
rtbpd,rtbpd010,4,2000,raw,3,full,0.9947286907294705,0.997357380331958,0.998677816080821
rtbpd,rtbpd010,4,2000,raw,5,fb,0.9963712639684598,0.9981823340693018,0.9990907536702067
rtbpd,rtbpd010,4,2000,raw,5,full,0.995892201976157,0.9979418738047195,0.9989704068713545
rtbpd,rtbpd010,4,2000,gsr,1,fb,0.9906265309811232,0.9952911965790705,0.9976428201410916
rtbpd,rtbpd010,4,2000,gsr,1,full,0.9901422203118092,0.9950466958654611,0.9975202734107519
rtbpd,rtbpd010,4,2000,gsr,3,fb,0.9950254288738423,0.9975065124212649,0.998752478055131
rtbpd,rtbpd010,4,2000,gsr,3,full,0.9945996284997911,0.9972925035064452,0.9986453341934989
rtbpd,rtbpd010,4,2000,gsr,5,fb,0.9963533115166766,0.9981733251011802,0.9990862450765601
rtbpd,rtbpd010,4,2000,gsr,5,full,0.9958099886745666,0.9979005960741704,0.9989497465209
rtbpd,rtbpd010,5,2000,raw,1,fb,0.9862280704564883,0.9930662899450683,0.9965271145057059
rtbpd,rtbpd010,5,2000,raw,1,full,0.9856568125269508,0.9927766029947562,0.9963817556512946
rtbpd,rtbpd010,5,2000,raw,3,fb,0.9917641499551827,0.9958650475534452,0.9979303821176331
rtbpd,rtbpd010,5,2000,raw,3,full,0.9922097145053709,0.9960896257869302,0.9980428977688935
rtbpd,rtbpd010,5,2000,raw,5,fb,0.9934249495693632,0.9967016313144584,0.9983494535053637
rtbpd,rtbpd010,5,2000,raw,5,full,0.9925735305032624,0.9962729257500164,0.9981347232463242
rtbpd,rtbpd010,5,2000,gsr,1,fb,0.9841575125607309,0.9920155091826238,0.9959997536057044
rtbpd,rtbpd010,5,2000,gsr,1,full,0.9859945750049132,0.9929479036995595,0.9964677133252033
rtbpd,rtbpd010,5,2000,gsr,3,fb,0.9905264857628161,0.9952406992296043,0.9976175114890498
rtbpd,rtbpd010,5,2000,gsr,3,full,0.9914679540827528,0.9957157001197254,0.9978555507285237
rtbpd,rtbpd010,5,2000,gsr,5,fb,0.9930946230414842,0.9965353491607045,0.9982661714997181
rtbpd,rtbpd010,5,2000,gsr,5,full,0.9927079015595598,0.9963406084581021,0.9981686272660056
