cohort,subject,run,nvox,denoise,smooth_tr,window,r_halfhalf,reliability,ceiling
rtbpd_nf2,rtbpd030,1,2000,raw,1,fb,0.986052245196925,0.992977146076189,0.9964823862347939
rtbpd_nf2,rtbpd030,1,2000,raw,1,full,0.9889889358693564,0.99446398924998,0.997228153057253
rtbpd_nf2,rtbpd030,1,2000,raw,3,fb,0.9911605324791317,0.995560645474495,0.9977778537703145
rtbpd_nf2,rtbpd030,1,2000,raw,3,full,0.9939426739633671,0.99696213631629,0.9984799128256362
rtbpd_nf2,rtbpd030,1,2000,raw,5,fb,0.9930190031333752,0.9964972753116506,0.9982471013289498
rtbpd_nf2,rtbpd030,1,2000,raw,5,full,0.9946752985627757,0.9973305422486252,0.9986643791828289
rtbpd_nf2,rtbpd030,1,2000,gsr,1,fb,0.9844043282655774,0.992140880005007,0.9960626887927321
rtbpd_nf2,rtbpd030,1,2000,gsr,1,full,0.9863054533375155,0.9931055182678605,0.9965467968278562
rtbpd_nf2,rtbpd030,1,2000,gsr,3,fb,0.9897854816226489,0.9948665228127903,0.9974299588506405
rtbpd_nf2,rtbpd030,1,2000,gsr,3,full,0.9915482348384218,0.9957561835491954,0.997875835737691
rtbpd_nf2,rtbpd030,1,2000,gsr,5,fb,0.9920135898143754,0.9959907852905919,0.9979933793821439
rtbpd_nf2,rtbpd030,1,2000,gsr,5,full,0.9929198750770412,0.9964473609744671,0.9982221000230695
rtbpd_nf2,rtbpd030,2,2000,raw,1,fb,0.988285726583984,0.9941083551225095,0.9970498257973417
rtbpd_nf2,rtbpd030,2,2000,raw,1,full,0.9896025780672892,0.9947741212002194,0.9973836379248555
rtbpd_nf2,rtbpd030,2,2000,raw,3,fb,0.9940535701142604,0.9970179186884138,0.9985078460825503
rtbpd_nf2,rtbpd030,2,2000,raw,3,full,0.9942194152022731,0.9971013295961013,0.9985496129868067
rtbpd_nf2,rtbpd030,2,2000,raw,5,fb,0.9945056874448528,0.9972452760652761,0.9986216881608752
rtbpd_nf2,rtbpd030,2,2000,raw,5,full,0.9946959044390355,0.9973409001596882,0.9986695650512677
rtbpd_nf2,rtbpd030,2,2000,gsr,1,fb,0.988586921257705,0.9942607091395951,0.9971262252792247
rtbpd_nf2,rtbpd030,2,2000,gsr,1,full,0.9889403604263226,0.9944394312701731,0.9972158398612474
rtbpd_nf2,rtbpd030,2,2000,gsr,3,fb,0.9937874902246243,0.9968840662278026,0.9984408175890059
rtbpd_nf2,rtbpd030,2,2000,gsr,3,full,0.9942405010863216,0.9971119336356167,0.9985549226935976
rtbpd_nf2,rtbpd030,2,2000,gsr,5,fb,0.9952426477000277,0.9976156522589089,0.9988071146417155
rtbpd_nf2,rtbpd030,2,2000,gsr,5,full,0.9952282863476521,0.9976084372475078,0.9988035028210043
rtbpd_nf2,rtbpd030,3,2000,raw,1,fb,0.9850833147775847,0.9924856125123964,0.996235721359356
rtbpd_nf2,rtbpd030,3,2000,raw,1,full,0.9848685598580529,0.992376603444699,0.9961810093776627
rtbpd_nf2,rtbpd030,3,2000,raw,3,fb,0.9902686000927781,0.9951105092514808,0.9975522589075125
rtbpd_nf2,rtbpd030,3,2000,raw,3,full,0.9908583286310103,0.9954081758417859,0.9977014462462134
rtbpd_nf2,rtbpd030,3,2000,raw,5,fb,0.9922200582929215,0.9960948381808057,0.998045509073011
rtbpd_nf2,rtbpd030,3,2000,raw,5,full,0.9923241137790032,0.9961472703322166,0.998071776142486
rtbpd_nf2,rtbpd030,3,2000,gsr,1,fb,0.9815583291440675,0.9906933494791959,0.995335797346401
rtbpd_nf2,rtbpd030,3,2000,gsr,1,full,0.9836332581057942,0.9917491089507973,0.9958660095368238
rtbpd_nf2,rtbpd030,3,2000,gsr,3,fb,0.9877351104174791,0.9938297162845079,0.9969100843529008
rtbpd_nf2,rtbpd030,3,2000,gsr,3,full,0.9892184914651259,0.9945800279953495,0.9972863320006694
rtbpd_nf2,rtbpd030,3,2000,gsr,5,fb,0.9878621853594867,0.9938940361510432,0.9969423434437135
rtbpd_nf2,rtbpd030,3,2000,gsr,5,full,0.9914645687891229,0.9957139929353265,0.9978546953015386
rtbpd_nf2,rtbpd030,4,2000,raw,1,fb,0.9880766504999592,0.9940025705261202,0.9969967755846155
rtbpd_nf2,rtbpd030,4,2000,raw,1,full,0.9888538988777195,0.994395716483463,0.997193921202623
rtbpd_nf2,rtbpd030,4,2000,raw,3,fb,0.9929679611966058,0.9964715745860901,0.998234228318229
rtbpd_nf2,rtbpd030,4,2000,raw,3,full,0.9936340957161554,0.9968068843236964,0.9984021656245025
rtbpd_nf2,rtbpd030,4,2000,raw,5,fb,0.9944181011347601,0.9972012393679821,0.9985996391787763
rtbpd_nf2,rtbpd030,4,2000,raw,5,full,0.9953637279087324,0.9976764777136012,0.9988375632271752
rtbpd_nf2,rtbpd030,4,2000,gsr,1,fb,0.9867268973632767,0.9933191106163918,0.9966539573073454
rtbpd_nf2,rtbpd030,4,2000,gsr,1,full,0.9868342027966499,0.9933734796870227,0.9966812327354332
rtbpd_nf2,rtbpd030,4,2000,gsr,3,fb,0.9931647204390065,0.9965706399020108,0.9982838473610653
rtbpd_nf2,rtbpd030,4,2000,gsr,3,full,0.993187407350994,0.9965820611629991,0.998289567792331
rtbpd_nf2,rtbpd030,4,2000,gsr,5,fb,0.9945208924869903,0.9972529204714533,0.9986255156320878
rtbpd_nf2,rtbpd030,4,2000,gsr,5,full,0.9937038291006803,0.9968419728108965,0.9984197377911238
rtbpd_nf2,rtbpd030,5,2000,raw,1,fb,0.9905885359480316,0.9952720193641194,0.9976332088318428
rtbpd_nf2,rtbpd030,5,2000,raw,1,full,0.9904325684661085,0.9951932903000755,0.9975937501308213
rtbpd_nf2,rtbpd030,5,2000,raw,3,fb,0.9949810187752871,0.9974841960011258,0.998741305845075
rtbpd_nf2,rtbpd030,5,2000,raw,3,full,0.9944304953692013,0.9972074711835132,0.9986027594511809
rtbpd_nf2,rtbpd030,5,2000,raw,5,fb,0.9963150745565664,0.9981541363433064,0.9990766418765411
rtbpd_nf2,rtbpd030,5,2000,raw,5,full,0.996050068445182,0.9980211260141912,0.999010073029392
rtbpd_nf2,rtbpd030,5,2000,gsr,1,fb,0.9892354114580744,0.9945885798734925,0.9972906195655771
rtbpd_nf2,rtbpd030,5,2000,gsr,1,full,0.9894544829492952,0.9946992921219935,0.9973461245335009
rtbpd_nf2,rtbpd030,5,2000,gsr,3,fb,0.9942187169833477,0.9971009784596758,0.9985494371635667
rtbpd_nf2,rtbpd030,5,2000,gsr,3,full,0.9938456752289848,0.9969133394587781,0.9984554769536688
rtbpd_nf2,rtbpd030,5,2000,gsr,5,fb,0.9949999921241383,0.9974937303781449,0.9987460790301732
rtbpd_nf2,rtbpd030,5,2000,gsr,5,full,0.9950668629163556,0.9975273324541949,0.9987629010201545
