cohort,subject,run,nvox,denoise,smooth_tr,window,r_halfhalf,reliability,ceiling
rtbpd_nf2,rtbpd026,1,2000,raw,1,fb,0.9873725825453117,0.9936461750727608,0.9968180250541022
rtbpd_nf2,rtbpd026,1,2000,raw,1,full,0.9898825573757744,0.9949155579123381,0.9974545392710076
rtbpd_nf2,rtbpd026,1,2000,raw,3,fb,0.992711091109891,0.9963422149238657,0.9981694319722808
rtbpd_nf2,rtbpd026,1,2000,raw,3,full,0.9944497778650859,0.9972171662598317,0.9986076137601955
rtbpd_nf2,rtbpd026,1,2000,raw,5,fb,0.9945114185201775,0.9972481574039347,0.9986231308175946
rtbpd_nf2,rtbpd026,1,2000,raw,5,full,0.9947557126124507,0.9973709625923662,0.9986846161788847
rtbpd_nf2,rtbpd026,1,2000,gsr,1,fb,0.9856033883371746,0.9927495028728363,0.9963681562920587
rtbpd_nf2,rtbpd026,1,2000,gsr,1,full,0.9882519206972087,0.9940912521293219,0.997041248960805
rtbpd_nf2,rtbpd026,1,2000,gsr,3,fb,0.9915527555848576,0.9957584631431661,0.9978769779602925
rtbpd_nf2,rtbpd026,1,2000,gsr,3,full,0.9934351380760851,0.9967067592024836,0.9983520216849784
rtbpd_nf2,rtbpd026,1,2000,gsr,5,fb,0.9929292017084377,0.9964520574611979,0.9982244524460407
rtbpd_nf2,rtbpd026,1,2000,gsr,5,full,0.9946212640658608,0.9973033798290233,0.9986507797168254
rtbpd_nf2,rtbpd026,2,2000,raw,1,fb,0.9858218747083213,0.9928603237418959,0.9964237671502502
rtbpd_nf2,rtbpd026,2,2000,raw,1,full,0.9888544829335114,0.9943960117936587,0.9971940692732075
rtbpd_nf2,rtbpd026,2,2000,raw,3,fb,0.9920074296061678,0.9959876804297801,0.9979918238291234
rtbpd_nf2,rtbpd026,2,2000,raw,3,full,0.9941941618925597,0.9970886294733056,0.9985432536817349
rtbpd_nf2,rtbpd026,2,2000,raw,5,fb,0.9937990445034727,0.9968898793919969,0.9984437287058279
rtbpd_nf2,rtbpd026,2,2000,raw,5,full,0.995205883100646,0.997597181854785,0.9987978683671611
rtbpd_nf2,rtbpd026,2,2000,gsr,1,fb,0.9845996923556335,0.992240093705705,0.9961124904877485
rtbpd_nf2,rtbpd026,2,2000,gsr,1,full,0.9876098881549699,0.9937663261191906,0.9968782905245708
rtbpd_nf2,rtbpd026,2,2000,gsr,3,fb,0.9913551347181283,0.9956588028267016,0.9978270405369367
rtbpd_nf2,rtbpd026,2,2000,gsr,3,full,0.9937123380513513,0.9968462541818875,0.9984218818625158
rtbpd_nf2,rtbpd026,2,2000,gsr,5,fb,0.9926472225379451,0.9963100455620588,0.9981533176632029
rtbpd_nf2,rtbpd026,2,2000,gsr,5,full,0.9943870641622402,0.9971856336522532,0.9985918253482016
rtbpd_nf2,rtbpd026,3,2000,raw,1,fb,0.9878084194315983,0.9938668231559822,0.9969286951211617
