subject,region,lag_from_run1_sec,r_run1_to_run2,lag_from_run2_sec,r_run2_to_run1,r_cv_mean,note
dmnelf001,DMN,0.0,-0.033316939571430546,3.5999999999999996,0.08990241131318472,0.028400624292135544,
dmnelf001,CEN,0.0,-0.00045117956614101987,-3.5999999999999996,0.017681158347994483,0.008615697614374208,
dmnelf004,DMN,-3.5999999999999996,-0.1532706707006386,-6.0,-0.24373693624230683,-0.19892754928000364,
dmnelf004,CEN,-6.0,0.010613576797456893,3.5999999999999996,0.0060925371401597105,0.008353099655707448,
dmnelf005,DMN,-3.5999999999999996,0.009116116345801463,-8.4,0.06141566780377439,0.03529005386391563,
dmnelf005,CEN,3.5999999999999996,-0.03297939774265796,-8.4,0.0163870101022489,-0.008301251793823456,
dmnelf006,DMN,-2.4,-0.07983768456000864,6.0,-0.13858846019979412,-0.10930853581620172,
dmnelf006,CEN,-2.4,-0.03810167518822819,6.0,-0.14941674780334777,-0.09405315785468148,
dmnelf007,DMN,6.0,-0.057144167530702006,0.0,-0.025894087576947437,-0.04152928410361217,
dmnelf007,CEN,6.0,-0.051431691881513766,0.0,-0.08758869135826608,-0.06953302762119373,
dmnelf008,DMN,-3.5999999999999996,0.06955793596737138,3.5999999999999996,0.0018828962298807932,0.03576141449442939,
dmnelf008,CEN,8.4,0.022235888237949347,3.5999999999999996,-0.016431714423108524,0.0029031721103195485,
dmnelf009,DMN,-9.6,-0.03298140771588294,2.4,0.02558187968596705,-0.003702939012641898,
dmnelf009,CEN,9.6,-0.026790774963058747,-9.6,-0.10331762198853554,-0.06514998988792037,
dmnelf010,DMN,-2.4,0.10124821644191957,3.5999999999999996,0.0315332836018174,0.0664718742156255,
dmnelf010,CEN,6.0,0.04650344035837071,-6.0,0.08469806943462455,0.06562479222689782,
dmnelf011,DMN,2.4,-0.0633166824909251,2.4,0.06672517979683051,0.0017114843532322636,
dmnelf011,CEN,-9.6,-0.004741647029181884,-6.0,-0.07989244717067025,-0.04237698710961512,
dmnelf012,DMN,3.5999999999999996,-0.012985448846423227,8.4,0.031239826648594378,0.00913165436687011,
dmnelf012,CEN,6.0,0.02540794827150324,-6.0,-0.059200128183782695,-0.016926390626214,
dmnelf013,DMN,-9.6,0.010986221622399567,-6.0,-0.06548588520852777,-0.027289758997096243,
dmnelf013,CEN,0.0,-0.0734789570581504,-6.0,-0.03628204647654592,-0.05489954904860078,
dmnelf014,DMN,9.6,-0.022083163843781502,3.5999999999999996,-0.008286450203459373,-0.015185529829062551,
dmnelf014,CEN,3.5999999999999996,-0.06338171322667599,3.5999999999999996,-0.11861661628645485,-0.0910692058376977,
dmnelf015,DMN,2.4,0.09740818715511948,3.5999999999999996,0.13553055872589195,0.11651228756687802,
dmnelf015,CEN,6.0,-0.0005909747069116533,9.6,0.013358982857903224,0.006384314687165604,
dmnelf1001,DMN,-9.6,-0.04711392535290752,2.4,-0.0074669097328458394,-0.0273011541167119,
dmnelf1001,CEN,9.6,-0.00494680419949359,0.0,0.05737809958391222,0.02624114797159988,
dmnelf1002,DMN,,,,,,only 1 run available
dmnelf1002,CEN,,,,,,only 1 run available
dmnelf1003,DMN,-8.4,0.10307524501011991,-9.6,0.07142229070352939,0.08727079493693145,
dmnelf1003,CEN,-9.6,-0.07515855931880229,3.5999999999999996,-0.03558061074227574,-0.055391343206828675,
