epoch	train_total	val_total	val_pda	lr
235	3.193339	5.530202	0.268530	1.00e-04
240	3.171798	5.566003	0.272698	1.00e-04
245	3.147596	5.555180	0.270714	1.00e-04
250	3.161164	5.555794	0.271977	1.00e-04
255	3.132674	5.547012	0.270947	1.00e-04
260	3.113125	5.544466	0.271537	1.00e-04
265	3.136680	5.525718	0.269554	1.00e-04
270	3.115479	5.569424	0.273453	1.00e-04
275	3.107752	5.550072	0.271909	1.00e-04
280	3.097487	5.553038	0.271971	1.00e-04
285	3.085868	5.518552	0.269864	1.00e-04
290	3.092426	5.520535	0.268594	1.00e-04
295	3.078411	5.565363	0.274326	1.00e-04
300	3.079026	5.514747	0.268726	1.00e-04
305	3.077716	5.485743	0.266249	1.00e-04
310	3.050147	5.508633	0.268295	1.00e-04
315	3.031788	5.512687	0.267589	1.00e-04
320	3.059018	5.548511	0.271286	1.00e-04
325	3.020676	5.489328	0.267166	1.00e-04
330	3.026342	5.485503	0.264725	1.00e-04
335	3.016150	5.506762	0.268696	1.00e-04
340	3.019224	5.547432	0.272597	1.00e-04
345	3.005690	5.531750	0.270938	1.00e-04
350	3.010698	5.548523	0.272700	1.00e-04
355	2.992179	5.487505	0.267011	1.00e-04
360	2.998419	5.516853	0.269415	1.00e-04
365	2.985765	5.479919	0.266712	1.00e-04
370	2.985145	5.538911	0.272307	1.00e-04
375	2.989619	5.616549	0.278939	1.00e-04
380	2.981801	5.511340	0.270365	1.00e-04
385	2.984591	5.550528	0.274569	1.00e-04
390	2.962694	5.520151	0.270145	1.00e-04
395	2.961612	5.491764	0.267388	1.00e-04
400	2.964509	5.512253	0.269722	1.00e-04
405	2.952032	5.497599	0.268276	1.00e-04
410	2.938642	5.524975	0.270842	1.00e-04
415	2.943140	5.523798	0.270154	1.00e-04
420	2.938663	5.492185	0.267418	1.00e-04
425	2.932287	5.557929	0.274144	1.00e-04
430	2.954593	5.537736	0.273235	1.00e-04
435	2.932153	5.503898	0.269372	1.00e-04
440	2.918338	5.507065	0.270284	1.00e-04
445	2.917122	5.459677	0.264836	1.00e-04
450	2.901821	5.519509	0.271214	1.00e-04
455	2.917629	5.509421	0.270269	1.00e-04
460	2.910982	5.518194	0.270600	1.00e-04
465	2.897675	5.561367	0.274534	1.00e-04
470	2.908329	5.487442	0.267846	1.00e-04
475	2.904426	5.526172	0.271652	1.00e-04
480	2.904372	5.483673	0.268630	1.00e-04
485	2.893813	5.474484	0.267255	1.00e-04
490	2.892303	5.553597	0.275025	1.00e-04
495	2.878698	5.510146	0.271003	1.00e-04
500	2.879792	5.507247	0.270746	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.378232	5.889818	0.265086	1.00e-04
10	5.128994	5.751470	0.261489	1.00e-04
15	4.974393	5.697725	0.262339	1.00e-04
20	4.839097	5.641400	0.259521	1.00e-04
25	4.631968	5.626775	0.259441	1.00e-04
30	4.507332	5.533036	0.251688	1.00e-04
35	4.404414	5.510409	0.249394	1.00e-04
40	4.293432	5.509403	0.249872	1.00e-04
45	4.190771	5.477446	0.249685	1.00e-04
50	4.144637	5.506765	0.251221	1.00e-04
55	4.049383	5.500726	0.251830	1.00e-04
60	4.000051	5.433502	0.245479	1.00e-04
65	3.956074	5.459624	0.248540	1.00e-04
70	3.919371	5.464869	0.248839	1.00e-04
75	3.832187	5.450276	0.249627	1.00e-04
80	3.821461	5.416616	0.246493	1.00e-04
85	3.788644	5.446210	0.249871	1.00e-04
90	3.740963	5.449044	0.251269	1.00e-04
95	3.725839	5.433490	0.250486	1.00e-04
100	3.682956	5.471934	0.256416	1.00e-04
105	3.645759	5.418816	0.250462	1.00e-04
110	3.615025	5.440909	0.254122	1.00e-04
115	3.599718	5.409902	0.251352	1.00e-04
120	3.570475	5.436795	0.253419	1.00e-04
125	3.580575	5.485426	0.258077	1.00e-04
130	3.518621	5.555198	0.266128	1.00e-04
135	3.474302	5.494960	0.261399	1.00e-04
140	3.490921	5.495696	0.259545	1.00e-04
145	3.447103	5.541988	0.265268	1.00e-04
150	3.463452	5.467379	0.258671	1.00e-04
155	3.447269	5.505343	0.262188	1.00e-04
160	3.421743	5.535073	0.266210	1.00e-04
165	3.412700	5.532384	0.266568	1.00e-04
170	3.386006	5.550222	0.269112	1.00e-04
175	3.385083	5.500308	0.263893	1.00e-04
180	3.331606	5.519042	0.265026	1.00e-04
185	3.354408	5.471868	0.260806	1.00e-04
190	3.336768	5.446804	0.259306	1.00e-04
195	3.315396	5.437569	0.257926	1.00e-04
200	3.322008	5.495452	0.264207	1.00e-04
205	3.277306	5.486970	0.263347	1.00e-04
210	3.265263	5.492753	0.264631	1.00e-04
215	3.259440	5.536679	0.268156	1.00e-04
