epoch	train_total	val_total	val_pda	lr
5	5.415489	4.748319	0.145916	1.00e-04
10	5.195104	4.647760	0.144576	1.00e-04
15	5.046591	4.670838	0.151075	1.00e-04
20	4.846426	4.692601	0.155737	1.00e-04
25	4.681834	4.667241	0.155249	1.00e-04
30	4.528942	4.807466	0.169279	1.00e-04
35	4.418922	4.838625	0.173458	1.00e-04
40	4.363950	4.643344	0.155256	1.00e-04
45	4.246477	4.772252	0.167055	1.00e-04
50	4.194563	4.763705	0.167096	1.00e-04
55	4.115570	4.763508	0.168257	1.00e-04
60	4.059558	4.839130	0.177444	1.00e-04
65	3.998043	4.843340	0.177316	1.00e-04
70	3.945702	4.788019	0.172769	1.00e-04
75	3.904459	4.909542	0.185417	1.00e-04
80	3.864485	4.831354	0.177169	1.00e-04
85	3.829677	4.870198	0.182832	1.00e-04
90	3.789931	4.841081	0.180061	1.00e-04
95	3.755838	4.818898	0.178397	1.00e-04
100	3.722859	4.842536	0.181761	1.00e-04
105	3.674844	4.773284	0.174162	1.00e-04
110	3.662110	4.793424	0.178452	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.416558	4.710580	0.144190	1.00e-04
10	5.165786	4.625469	0.144810	1.00e-04
15	5.006994	4.637277	0.150085	1.00e-04
20	4.816316	4.691535	0.156664	1.00e-04
25	4.648233	4.668474	0.157849	1.00e-04
30	4.493135	4.714089	0.162003	1.00e-04
35	4.388977	4.721742	0.164045	1.00e-04
40	4.280961	4.762212	0.168756	1.00e-04
45	4.213331	4.762059	0.169416	1.00e-04
50	4.148450	4.859951	0.180045	1.00e-04
55	4.092650	4.772922	0.172224	1.00e-04
60	4.032284	4.795768	0.174331	1.00e-04
65	3.993108	4.859917	0.182180	1.00e-04
70	3.942173	4.738870	0.171816	1.00e-04
75	3.886438	4.750067	0.173917	1.00e-04
80	3.820849	4.772991	0.175190	1.00e-04
85	3.827373	4.823399	0.180346	1.00e-04
90	3.779990	4.728749	0.171861	1.00e-04
95	3.742988	4.768921	0.175973	1.00e-04
100	3.721626	4.733310	0.174842	1.00e-04
105	3.699131	4.724673	0.173670	1.00e-04
110	3.648927	4.758228	0.176825	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.440780	4.718528	0.145498	1.00e-04
10	5.185291	4.619498	0.145739	1.00e-04
15	5.024123	4.656993	0.150894	1.00e-04
20	4.844547	4.655082	0.152506	1.00e-04
25	4.647188	4.725127	0.161179	1.00e-04
30	4.486939	4.626203	0.151356	1.00e-04
35	4.416941	4.691083	0.160101	1.00e-04
40	4.299936	4.742754	0.165574	1.00e-04
45	4.196309	4.786642	0.171582	1.00e-04
50	4.142041	4.702600	0.163413	1.00e-04
55	4.071057	4.735509	0.166238	1.00e-04
60	4.019203	4.726433	0.168536	1.00e-04
65	3.942529	4.792979	0.174387	1.00e-04
70	3.875183	4.815305	0.178268	1.00e-04
75	3.844307	4.710192	0.168904	1.00e-04
80	3.812297	4.775020	0.174621	1.00e-04
85	3.788737	4.819806	0.181496	1.00e-04
90	3.748410	4.821537	0.180630	1.00e-04
95	3.718047	4.769864	0.175975	1.00e-04
100	3.689399	4.891950	0.189813	1.00e-04
105	3.665280	4.958435	0.196001	1.00e-04
110	3.641648	4.823668	0.182966	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.424276	4.775643	0.147833	1.00e-04
10	5.177595	4.659772	0.146232	1.00e-04
15	5.040766	4.652167	0.150184	1.00e-04
20	4.885247	4.732878	0.160284	1.00e-04
25	4.670701	4.711218	0.160359	1.00e-04
30	4.561150	4.849158	0.176348	1.00e-04
35	4.435908	4.728868	0.165706	1.00e-04
40	4.319100	4.795215	0.172718	1.00e-04
45	4.243667	4.972940	0.192441	1.00e-04
50	4.151705	4.867857	0.181865	1.00e-04
55	4.084012	4.827042	0.178306	1.00e-04
60	4.037581	4.839503	0.180761	1.00e-04
65	3.968762	4.870270	0.183505	1.00e-04
70	3.923407	4.839706	0.182065	1.00e-04
75	3.876500	4.870549	0.184736	1.00e-04
80	3.844473	4.823124	0.180569	1.00e-04
85	3.790440	4.755132	0.173754	1.00e-04
90	3.796418	4.767947	0.175313	1.00e-04
95	3.707559	4.815895	0.179874	1.00e-04
100	3.696525	4.755481	0.175883	1.00e-04
105	3.687790	4.811141	0.181363	1.00e-04
110	3.626014	4.782481	0.178886	1.00e-04
115	3.599597	4.852491	0.185609	1.00e-04
