epoch	train_total	val_total	val_pda	lr
5	5.396296	5.092306	0.213012	1.00e-04
10	5.142986	5.025112	0.214939	1.00e-04
15	4.981481	5.072255	0.222653	1.00e-04
20	4.799171	5.031568	0.221323	1.00e-04
25	4.622128	5.194140	0.240190	1.00e-04
30	4.486673	5.116980	0.231926	1.00e-04
35	4.404258	5.063179	0.228134	1.00e-04
40	4.263312	5.050218	0.227734	1.00e-04
45	4.199068	5.039321	0.226796	1.00e-04
50	4.146869	5.006071	0.223960	1.00e-04
55	4.080994	5.079759	0.231897	1.00e-04
60	4.013218	5.029848	0.228156	1.00e-04
65	3.974092	5.028817	0.227267	1.00e-04
70	3.924420	5.073841	0.231575	1.00e-04
75	3.866439	5.064439	0.233133	1.00e-04
80	3.851630	5.012693	0.228361	1.00e-04
85	3.796774	5.123505	0.238672	1.00e-04
90	3.747556	5.039320	0.230956	1.00e-04
95	3.736022	5.042562	0.231464	1.00e-04
100	3.685387	5.039996	0.231446	1.00e-04
105	3.686241	5.044026	0.233310	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.389434	5.047664	0.207424	1.00e-04
10	5.145207	4.965602	0.207675	1.00e-04
15	5.016596	4.964470	0.213837	1.00e-04
20	4.760676	4.945070	0.213347	1.00e-04
25	4.574919	5.107971	0.230189	1.00e-04
30	4.448224	5.035466	0.224022	1.00e-04
35	4.337560	5.062631	0.228444	1.00e-04
40	4.250548	5.003483	0.223642	1.00e-04
45	4.179388	5.040260	0.226464	1.00e-04
50	4.142681	5.076459	0.232415	1.00e-04
55	4.054258	4.997726	0.224354	1.00e-04
60	3.972241	4.983252	0.224803	1.00e-04
65	3.945314	4.918325	0.217992	1.00e-04
70	3.899475	4.963299	0.222412	1.00e-04
75	3.838927	4.920385	0.218267	1.00e-04
80	3.783898	4.958888	0.223853	1.00e-04
85	3.752043	4.985175	0.223837	1.00e-04
90	3.711801	4.941414	0.222502	1.00e-04
95	3.697236	4.928811	0.222483	1.00e-04
100	3.663897	4.918419	0.219221	1.00e-04
105	3.626472	4.958863	0.224524	1.00e-04
110	3.627494	4.910814	0.221066	1.00e-04
115	3.598736	4.943769	0.224045	1.00e-04
120	3.572971	4.929134	0.222115	1.00e-04
125	3.529358	5.001408	0.229228	1.00e-04
130	3.525202	5.004974	0.231099	1.00e-04
135	3.508077	4.996924	0.227849	1.00e-04
140	3.470621	4.980237	0.228013	1.00e-04
145	3.466474	5.012534	0.232359	1.00e-04
150	3.438251	4.897969	0.221177	1.00e-04
155	3.426838	4.957030	0.226352	1.00e-04
160	3.396556	4.983638	0.230618	1.00e-04
165	3.377785	4.918774	0.222406	1.00e-04
170	3.371042	4.889310	0.221221	1.00e-04
175	3.370542	4.908887	0.224071	1.00e-04
180	3.336678	4.981924	0.230703	1.00e-04
185	3.340118	4.864611	0.218995	1.00e-04
190	3.323888	4.939381	0.225712	1.00e-04
195	3.298447	4.944269	0.227016	1.00e-04
200	3.273653	4.862575	0.221132	1.00e-04
205	3.268642	4.901426	0.223674	1.00e-04
210	3.268441	4.944254	0.227705	1.00e-04
215	3.249899	4.904291	0.224525	1.00e-04
220	3.231158	4.886541	0.222498	1.00e-04
225	3.226765	4.825604	0.216587	1.00e-04
230	3.226071	4.847565	0.219196	1.00e-04
235	3.190718	4.813670	0.217209	1.00e-04
240	3.182483	4.915730	0.226094	1.00e-04
245	3.195169	4.905982	0.225560	1.00e-04
