subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf003,DMN,tr,EFP,CP6,-0.04465889794734783,1.0932835762108961
dmnelf003,DMN,tr,HRF,P4,-0.10364449085865819,1.1062688684004272
dmnelf003,DMN,tr,TA,O2,-0.16772620375120903,1.0236123081895905
dmnelf003,CEN,tr,EFP,POz,0.2699917521850813,0.9493307229682193
dmnelf003,CEN,tr,HRF,FC6,-0.062489597998003174,1.1532316219372307
dmnelf003,CEN,tr,TA,Pz,-0.0874288826027807,1.0738069266110433
dmnelf003,PDA,tr,EFP,POz,0.2356717775577654,0.994229484056653
dmnelf003,PDA,tr,HRF,C4,-0.011394274993192885,1.1579949184297367
dmnelf003,PDA,tr,TA,Pz,0.0316017048910118,1.0329944092516812
dmnelf003,GSR_DMN,tr,EFP,TP10,0.03957706043898664,1.1188773308836721
dmnelf003,GSR_DMN,tr,HRF,P4,-0.13276432919619893,1.246196056667507
dmnelf003,GSR_DMN,tr,TA,Pz,-0.028265038066970574,1.0341940385946469
dmnelf003,GSR_CEN,tr,EFP,T7,0.28538498738216894,1.0014090492006462
dmnelf003,GSR_CEN,tr,HRF,F8,0.2926874957643003,1.1239369265423993
dmnelf003,GSR_CEN,tr,TA,Pz,0.13776896877404243,1.0190118522578058
dmnelf003,GSR_PDA,tr,EFP,Fp2,0.2731154405238199,0.9948305278948382
dmnelf003,GSR_PDA,tr,HRF,F8,0.30479476354904184,1.0095197319539253
dmnelf003,GSR_PDA,tr,TA,Pz,0.21839355000828928,0.9620861923012842
dmnelf003,VIS,tr,EFP,Oz,0.17663489725072312,0.9769658063779235
dmnelf003,VIS,tr,HRF,F7,0.13635756870034008,0.9873222307220229
dmnelf003,VIS,tr,TA,O1,0.09411289937453968,0.993686419343818
dmnelf003,DMN,hz4,EFP,F7,-0.029389514370086127,1.2332824926838206
dmnelf003,DMN,hz4,HRF,F3,-0.156785292686029,1.1096301513595466
dmnelf003,DMN,hz4,TA,O2,-0.07523268776309501,1.0175124073831618
dmnelf003,CEN,hz4,EFP,P8,0.232022444820077,1.0145771661920502
dmnelf003,CEN,hz4,HRF,P8,0.28496835182482927,1.006884365746463
dmnelf003,CEN,hz4,TA,O1,-0.11961019734382443,1.016222255039928
dmnelf003,PDA,hz4,EFP,POz,0.21064719123878028,1.0423231026099624
dmnelf003,PDA,hz4,HRF,C4,0.24575813065802055,1.0327777429340101
dmnelf003,PDA,hz4,TA,Pz,-0.0967974318985284,1.0275436007931495
dmnelf003,GSR_DMN,hz4,EFP,F4,-0.036579602644888264,1.2955805493937251
dmnelf003,GSR_DMN,hz4,HRF,P3,0.02831460597023498,1.0732239309119074
dmnelf003,GSR_DMN,hz4,TA,Pz,-0.0592854005581339,1.0308542555143496
dmnelf003,GSR_CEN,hz4,EFP,T7,0.3110627915393926,1.0211290980832046
dmnelf003,GSR_CEN,hz4,HRF,P8,0.187010301084051,1.0480853255493885
dmnelf003,GSR_CEN,hz4,TA,O2,-0.30098422560028526,1.0470223620649064
dmnelf003,GSR_PDA,hz4,EFP,Fp2,0.20721289792944356,1.1842379931902252
dmnelf003,GSR_PDA,hz4,HRF,T8,0.12904974811198217,1.1120815428084825
dmnelf003,GSR_PDA,hz4,TA,O1,-0.24210541367759925,1.0462185353421238
dmnelf003,VIS,hz4,EFP,Fp2,0.07983475301728454,1.130451431453359
dmnelf003,VIS,hz4,HRF,TP9,0.020549415130172326,1.0847260934986034
dmnelf003,VIS,hz4,TA,O1,-0.06431609788380724,1.0150679236788676
