subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf009,DMN,tr,EFP,F7,0.4682637625284782,0.7873347807651605
dmnelf009,DMN,tr,HRF,TP10,0.06412946861690587,1.1380907836124372
dmnelf009,DMN,tr,TA,Pz,0.2540556076330901,0.9375146741415804
dmnelf009,CEN,tr,EFP,CP6,0.16115342861950296,1.0416168702123096
dmnelf009,CEN,tr,HRF,POz,-0.0761187371084951,1.3778378415690014
dmnelf009,CEN,tr,TA,P3,-0.14388527319869837,1.045817584162996
dmnelf009,PDA,tr,EFP,Pz,0.11157480573139963,1.0726691488052966
dmnelf009,PDA,tr,HRF,CP2,0.4612042857547151,0.8019151439483103
dmnelf009,PDA,tr,TA,O2,0.25970508306529755,0.9325546016231508
dmnelf009,GSR_DMN,tr,EFP,Cz,0.013060489565730055,1.1533727545303611
dmnelf009,GSR_DMN,tr,HRF,Cz,0.09942478111207395,1.1316889524688662
dmnelf009,GSR_DMN,tr,TA,O2,-0.09703864661560618,1.0166759461722954
dmnelf009,GSR_CEN,tr,EFP,CP6,0.06124736772252066,1.0786166643801127
dmnelf009,GSR_CEN,tr,HRF,FC5,0.022092636446485285,1.2012345710302288
dmnelf009,GSR_CEN,tr,TA,POz,0.25459651486215923,0.961589490822573
dmnelf009,GSR_PDA,tr,EFP,CP1,0.11091116295449525,1.0840388190360204
dmnelf009,GSR_PDA,tr,HRF,CP2,0.4381710673749577,0.82499577093792
dmnelf009,GSR_PDA,tr,TA,O2,0.18280991717154998,0.9688467164244914
dmnelf009,VIS,tr,EFP,CP1,0.25061809784686406,0.9606250137237756
dmnelf009,VIS,tr,HRF,POz,0.030052508349215728,1.092400475273422
dmnelf009,VIS,tr,TA,POz,0.22041286191432966,0.9514273939265521
dmnelf009,DMN,hz4,EFP,F7,0.4190412304559452,0.8469178156233944
dmnelf009,DMN,hz4,HRF,O1,0.2604275223112064,0.9405285405390298
dmnelf009,DMN,hz4,TA,P3,0.07897464383376865,0.999983459748295
dmnelf009,CEN,hz4,EFP,POz,0.11915422224772014,1.085258389665876
dmnelf009,CEN,hz4,HRF,CP1,0.11990410618078319,1.0186118279053686
dmnelf009,CEN,hz4,TA,P4,0.14853815741625578,0.9783897645714351
dmnelf009,PDA,hz4,EFP,CP1,0.10534676113219604,1.1070463006018807
dmnelf009,PDA,hz4,HRF,CP2,-0.0018244961196353022,1.0687183673327751
dmnelf009,PDA,hz4,TA,O1,-0.046570631828362595,1.0015871224442605
dmnelf009,GSR_DMN,hz4,EFP,Cz,0.07392840640672667,1.1540619827588654
dmnelf009,GSR_DMN,hz4,HRF,O1,-0.03440642766881129,1.0672411587236517
dmnelf009,GSR_DMN,hz4,TA,O1,-0.1564214660195636,1.0147508513596342
dmnelf009,GSR_CEN,hz4,EFP,CP6,-0.010674714122988992,1.1498194849078813
dmnelf009,GSR_CEN,hz4,HRF,CP6,0.1283318616532001,1.0035089083653626
dmnelf009,GSR_CEN,hz4,TA,O1,-0.16622426009109875,1.0367224413054263
dmnelf009,GSR_PDA,hz4,EFP,CP1,0.11983808730072232,1.0976563577124527
dmnelf009,GSR_PDA,hz4,HRF,CP6,0.03883819045774637,1.0752606632089452
dmnelf009,GSR_PDA,hz4,TA,O1,-0.05099815377289758,1.001180706462052
dmnelf009,VIS,hz4,EFP,Fp2,0.15387420002123595,1.0527281905165893
dmnelf009,VIS,hz4,HRF,Oz,0.09340454293968171,1.0223566365042902
dmnelf009,VIS,hz4,TA,Oz,0.19903129443987758,0.9605162790848131
