target,model,mean_subject_r,t_stat,n_subjects,p_right_tailed,p_two_tailed
PDA,ridge,0.11194830449730822,2.228250885212614,16,0.021097890210978902,0.042195780421957804
PDA,elasticnet,0.144948399002904,2.8432694486857666,16,0.007699230076992301,0.015398460153984602
GSR_DMN,ridge,0.12390917824536755,3.463854272866413,16,0.0027997200279972004,0.005599440055994401
GSR_DMN,elasticnet,0.1891029597301586,4.266520335189996,13,0.0007999200079992001,0.0015998400159984002
GSR_CEN,ridge,0.2036161567623623,4.926808502332001,13,0.00019998000199980003,0.00039996000399960006
GSR_CEN,elasticnet,0.20733738796193935,4.652608312527315,11,0.0008999100089991,0.0017998200179982
RAW_DMN,ridge,0.15621241757778775,3.391621025946257,11,0.0051994800519948,0.0103989601039896
RAW_DMN,elasticnet,0.17711250793010525,3.2257907186327723,10,0.005099490050994901,0.010198980101989802
