cohort,subject,target,overall_r,n_runs,n_trs,n_features,run1_r,run2_r,run3_r,run4_r,run5_r
rtBPD,rtbpd002,GSR_CEN,0.1714554668678169,5,750,620,0.10492206546071511,0.5292653842993181,0.06178535734683367,0.30856592251662046,-0.17507546114637834
rtBPD,rtbpd002,PDA,0.26763009665142184,5,750,620,0.17119809090279398,0.3948278377840233,0.1549250034712248,0.6161681815799219,0.0816533880384944
rtBPD,rtbpd002,RAW_DMN,0.16292555570818645,5,750,620,0.10317377309421649,-0.08328906271094988,0.2713150871158472,0.3684734444503142,0.15606790159085784
rtBPD,rtbpd002,GSR_DMN,0.027706735439481153,5,750,620,-0.18948727349245256,-0.036447128705182255,-0.10365461027421415,0.5460029150139074,0.010636055133740387
rtBPD,rtbpd003,GSR_CEN,-0.0020893245387647546,5,750,620,0.484618225551203,-0.2100892898662278,-0.2461546533094274,-0.10653680464310819,0.06572638343168319
rtBPD,rtbpd003,PDA,0.02177209387181608,5,750,620,0.24220033204975913,-0.005537373125475255,-0.157003710943675,0.17524697475086515,-0.1470789582567935
rtBPD,rtbpd003,RAW_DMN,0.3307158352723746,5,750,620,0.04786811530839668,0.5082840757761229,0.2591936489427849,0.527865378955649,0.3089925319349708
rtBPD,rtbpd003,GSR_DMN,-0.0813642225276382,5,750,620,-0.31111883225541803,-0.004645260790582329,-0.07888149819861606,0.08745800933231271,-0.13426317812598132
rtBPD,rtbpd004,GSR_CEN,0.05577243806014289,4,600,620,0.16092518699330255,0.015171033351408566,0.12452129704347063,-0.09449982182685525,
rtBPD,rtbpd004,PDA,-0.0029495727596701715,4,600,620,-0.12650886946007361,-0.04896954459775162,0.30157892542014264,-0.15409814755628154,
rtBPD,rtbpd004,RAW_DMN,0.2507485798103667,4,600,620,0.34551354406412993,0.3361853040950115,0.09564883884831593,0.22792013428181418,
rtBPD,rtbpd004,GSR_DMN,0.2094636030147765,4,600,620,0.3491189350059255,0.1708148518794834,0.13855990685180347,0.18468118505654893,
