subject,target,electrode,EFP,HRF,TA
dmnelf001,DMN,O1,0.35120722936814813,0.05397540295766296,-0.12495808740029996
dmnelf001,CEN,Cz,0.13495823267349288,0.23362246452420243,-0.05720243978936281
dmnelf001,PDA,Pz,0.13027918782533668,0.19428779699628118,-0.14150702580691873
dmnelf001,GSR_DMN,Cz,0.34745537791716763,-0.03736491853357473,0.21528475734986574
dmnelf001,GSR_CEN,Pz,0.05208565976314454,0.040580782233385695,0.074656714056347
dmnelf001,GSR_PDA,Pz,0.0732472688338949,0.07780150529175842,-0.14194988736801592
dmnelf001,VIS,Oz,0.320452134112158,0.2696957252794195,0.15863271359092904
dmnelf004,DMN,O1,0.07891020505569273,0.05128573298718115,0.03881528826005513
dmnelf004,CEN,Cz,0.09804696251026193,0.13321484967658961,-0.2162255821257998
dmnelf004,PDA,Pz,0.24532116833881065,0.3199676303430658,-0.21639521346100743
dmnelf004,GSR_DMN,Cz,0.4408918447352093,0.4152233828520433,-0.25289996641610657
dmnelf004,GSR_CEN,Pz,0.36810367579587255,0.1576795051599641,-0.15680654542244707
dmnelf004,GSR_PDA,Pz,0.18863690895088336,0.21635642942139652,-0.22356481300107328
dmnelf004,VIS,Oz,0.21272812731287843,0.14003172722775153,-0.12312535780830092
dmnelf005,DMN,O1,0.12260043238632547,0.08546236150081048,0.30641395280456196
dmnelf005,CEN,Cz,0.2704365328241641,0.27910258658818393,0.45380740008067105
dmnelf005,PDA,Pz,0.28593095517425615,0.060799019424612306,0.3475039832278185
dmnelf005,GSR_DMN,Cz,0.11572088483562849,0.07138547804001999,-0.025849851387095082
dmnelf005,GSR_CEN,Pz,0.33184361724085737,0.01583818131129154,0.4820267752837776
dmnelf005,GSR_PDA,Pz,0.2867536374988452,0.063043498691225,0.306627885098342
dmnelf005,VIS,Oz,0.2213335876141291,0.12472283746298754,0.0828108000065665
dmnelf006,DMN,O1,0.4382589924962907,0.17162658588432986,-0.06350016618877617
dmnelf006,CEN,Cz,0.0030764267211973863,0.07712720056125497,-0.13757578850671315
dmnelf006,PDA,Pz,0.25127550984102226,0.16616832872310713,0.09549489519569282
dmnelf006,GSR_DMN,Cz,0.044207496936379126,-0.05335401764504468,0.07757552991128062
dmnelf006,GSR_CEN,Pz,0.03015020077351803,0.11472056751737447,-0.07002428230368865
dmnelf006,GSR_PDA,Pz,0.09703939877134563,0.08643743174491841,0.08665785708638857
dmnelf006,VIS,Oz,-0.011082368840036225,-0.21012567548256797,-0.12764153904215791
dmnelf007,DMN,O1,0.15102739167567694,0.2211261155325246,0.08983698897400758
dmnelf007,CEN,Cz,0.24798281646424092,0.4037577079589348,-0.06209452526761462
dmnelf007,PDA,Pz,0.1932354117622279,0.01895592574741231,0.21702914475915608
dmnelf007,GSR_DMN,Cz,0.032974091657577136,0.08002143882133211,-0.240870948802639
dmnelf007,GSR_CEN,Pz,0.2980262111483095,0.009785003320129333,0.06511165909961407
dmnelf007,GSR_PDA,Pz,0.19828398844834455,0.07118853539878138,0.27981063136101164
dmnelf007,VIS,Oz,0.2751811847611499,0.2224812078542191,-0.13210372675185916
dmnelf008,DMN,O1,0.14300048787934752,0.4065912163266529,0.29619436616194555
dmnelf008,CEN,Cz,0.20143747222019814,0.14031708351513342,0.041893255089391554
dmnelf008,PDA,Pz,0.18360094724674345,0.1409610754308938,-0.16017853394568893
dmnelf008,GSR_DMN,Cz,-0.010054406047952808,0.11197380686021366,-0.11474900907356042
dmnelf008,GSR_CEN,Pz,0.25231827565684944,0.1623476227162121,-0.18885229881853866
dmnelf008,GSR_PDA,Pz,0.22901265089426284,0.09547497973481987,-0.17862926232890317
dmnelf008,VIS,Oz,0.10526660806870004,0.12548983508383604,0.019904922136616637
dmnelf009,DMN,O1,0.1597707173282143,0.1483567172087806,0.08974428612504867
dmnelf009,CEN,Cz,0.02889000847276438,0.14061049095380765,-0.14577410971440147
dmnelf009,PDA,Pz,0.3845405631418446,0.2517742296263817,0.10590024773401976
dmnelf009,GSR_DMN,Cz,0.2576067257514925,0.3780437893232677,-0.16109069355276573
dmnelf009,GSR_CEN,Pz,0.19277168988269608,-0.0766284350427843,0.11567399512726158
dmnelf009,GSR_PDA,Pz,0.4146859091122281,0.29683140299086236,0.085321374087174
dmnelf009,VIS,Oz,0.3175116373693951,0.020116711999049915,0.07007545395274838
dmnelf010,DMN,O1,0.33100762641868164,0.0960363534261545,0.12174830912988036
dmnelf010,CEN,Cz,0.0894465065147997,-0.2208380769038729,-0.10789206882573905
dmnelf010,PDA,Pz,0.17285208316840553,0.33586080976042665,0.1508991246916076
dmnelf010,GSR_DMN,Cz,0.2864582927410642,0.0025654265330184818,-0.16115553994910015
dmnelf010,GSR_CEN,Pz,-0.14094201906901796,-0.033473180216074205,-0.11168076850763634
dmnelf010,GSR_PDA,Pz,0.14067491583392067,0.3201711224322905,0.13161400134560072
dmnelf010,VIS,Oz,0.2726059719978772,0.2285377341495629,-0.11359722571526495
dmnelf011,DMN,O1,0.169350506685955,0.4020855437933394,0.13859642399627806
dmnelf011,CEN,Cz,0.1285474178479549,0.3110764318357862,0.09969983043187265
