target,resolution,method,n,mean_r,sign_flip_p,mean_nmse
CEN,hz4,EFP,17,0.2769558714561341,0.00019998000199980003,1.0052254336882507
CEN,hz4,HRF,17,0.06718919430331552,0.020397960203979604,1.0493516082251728
CEN,hz4,TA,17,0.09469464675515725,0.00019998000199980003,1.0151986271013134
CEN,tr,EFP,17,0.2791497456369594,0.00019998000199980003,0.9684048897308353
CEN,tr,HRF,17,0.24533851970547685,0.00039996000399960006,1.0153297301313844
CEN,tr,TA,17,0.15032875439950746,0.0051994800519948,0.9824576688387345
DMN,hz4,EFP,17,0.22773253575339128,0.00019998000199980003,1.0342241894437867
DMN,hz4,HRF,17,0.10335323014486525,0.0013998600139986002,1.046877752348046
DMN,hz4,TA,17,0.1038944251296477,0.0005999400059994001,1.0132159545268156
DMN,tr,EFP,17,0.22480447915988067,0.00019998000199980003,1.007402259897607
DMN,tr,HRF,17,0.14565440117985778,0.0017998200179982,1.084614977711034
DMN,tr,TA,17,0.24844186067981683,0.00019998000199980003,0.9723828528270204
GSR_CEN,hz4,EFP,17,0.25884193385963633,0.0005999400059994001,1.1260883290580663
GSR_CEN,hz4,HRF,17,0.08829665815958214,0.0017998200179982,1.1065899102998302
GSR_CEN,hz4,TA,17,0.047861425898726224,0.04079592040795921,1.079961068482695
GSR_CEN,tr,EFP,17,0.25528777801493974,0.0007999200079992001,1.0390830314796435
GSR_CEN,tr,HRF,17,0.1879562277732427,0.00039996000399960006,1.0993335456220084
GSR_CEN,tr,TA,17,0.19925666507480566,0.0025997400259974,1.0150380672952124
GSR_DMN,hz4,EFP,17,0.1707663289287348,0.00019998000199980003,1.1144842571471596
GSR_DMN,hz4,HRF,17,0.07279553645192664,0.004999500049995001,1.0937371921491084
GSR_DMN,hz4,TA,17,0.06251407282515659,0.009799020097990201,1.0565079588054669
GSR_DMN,tr,EFP,17,0.1129166814475816,0.004199580041995801,1.06537571827962
GSR_DMN,tr,HRF,17,0.059077623575774334,0.047795220477952205,1.165031051301641
GSR_DMN,tr,TA,17,0.0530097193300501,0.25637436256374363,1.04400851434323
GSR_PDA,hz4,EFP,17,0.2452656747267516,0.00019998000199980003,1.0187391097033904
GSR_PDA,hz4,HRF,17,0.08129860425759977,0.0023997600239976003,1.0457236913517185
GSR_PDA,hz4,TA,17,0.07421316845981571,0.004999500049995001,1.0264069193736365
GSR_PDA,tr,EFP,17,0.2252512602562479,0.00019998000199980003,0.9868890213240055
GSR_PDA,tr,HRF,17,0.1078764191518371,0.014798520147985201,1.1083937581749856
GSR_PDA,tr,TA,17,0.1718502456586258,0.0029997000299970002,0.9899355799750443
PDA,hz4,EFP,17,0.26236512459580863,0.00019998000199980003,1.0123229745974862
PDA,hz4,HRF,17,0.09541833673696942,0.0015998400159984002,1.0401792697837922
PDA,hz4,TA,17,0.07440486007282832,0.006799320067993201,1.0222005357421227
PDA,tr,EFP,17,0.2577403509368772,0.00019998000199980003,0.9888347452625993
PDA,tr,HRF,17,0.1103910580717067,0.009599040095990401,1.1212095335990768
PDA,tr,TA,17,0.19559027822838115,0.0007999200079992001,0.9865400842842966
VIS,hz4,EFP,17,0.1841852488998168,0.00019998000199980003,1.0544119817953046
VIS,hz4,HRF,17,0.07008368096992132,0.014598540145985401,1.0420616993433438
VIS,hz4,TA,17,0.07937111635331906,0.0007999200079992001,1.0166417746186966
VIS,tr,EFP,17,0.1787312383819375,0.0005999400059994001,0.9908787934745921
VIS,tr,HRF,17,0.08545832273331548,0.051594840515948405,1.0695400801033046
VIS,tr,TA,17,0.1520139832188274,0.00039996000399960006,0.9945558252857116
