subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf005,DMN,tr,EFP,T7,0.16290219583279333,0.9850571616702858
dmnelf005,DMN,tr,HRF,T7,0.24889232349557636,1.0187696871893894
dmnelf005,DMN,tr,TA,P3,0.43592096821257764,0.8345221168164828
dmnelf005,CEN,tr,EFP,Fz,0.5578075098627506,0.8310900462131261
dmnelf005,CEN,tr,HRF,Fz,0.3746177144014392,0.9732593941103984
dmnelf005,CEN,tr,TA,P3,0.53063112515627,0.7317415876025518
dmnelf005,PDA,tr,EFP,T7,0.412871724519772,0.9015533780642713
dmnelf005,PDA,tr,HRF,T7,0.18942455128906613,1.0884969848239119
dmnelf005,PDA,tr,TA,Pz,0.36430139995341126,0.9143702940852043
dmnelf005,GSR_DMN,tr,EFP,TP10,0.20005458094808506,1.0050998709736547
dmnelf005,GSR_DMN,tr,HRF,TP10,0.24249247100748503,1.0906511495400069
dmnelf005,GSR_DMN,tr,TA,POz,0.36271937736189336,0.8994604950882932
dmnelf005,GSR_CEN,tr,EFP,Fz,0.6150581469406792,0.7856883790176548
dmnelf005,GSR_CEN,tr,HRF,Fz,0.4936942222817112,0.8748426517571041
dmnelf005,GSR_CEN,tr,TA,P3,0.48998396269421407,0.8135158085663752
dmnelf005,GSR_PDA,tr,EFP,T7,0.4030572037952661,0.8999229632528214
dmnelf005,GSR_PDA,tr,HRF,T7,0.17741709288484067,1.0754808041571864
dmnelf005,GSR_PDA,tr,TA,Pz,0.3336692473107175,0.9430862233975086
dmnelf005,DMN,hz4,EFP,T7,0.07767908847632472,1.0539319897777826
dmnelf005,DMN,hz4,HRF,T7,-0.08236345580805411,1.1163558757311314
dmnelf005,DMN,hz4,TA,POz,0.1316840424907452,0.9899360449500696
dmnelf005,CEN,hz4,EFP,FC6,0.45602214778615285,0.8552244499364232
dmnelf005,CEN,hz4,HRF,FC6,0.13730457509182248,1.001194127046506
dmnelf005,CEN,hz4,TA,P3,0.14064087259696442,1.0045751646740193
dmnelf005,PDA,hz4,EFP,T7,0.4066826961444912,0.9191665057126726
dmnelf005,PDA,hz4,HRF,T7,0.07291754492832579,1.046298087115952
dmnelf005,PDA,hz4,TA,Oz,-0.10435488252174638,1.0229297589174862
dmnelf005,GSR_DMN,hz4,EFP,TP10,0.157836208952604,1.0776525682782534
dmnelf005,GSR_DMN,hz4,HRF,TP10,0.09118420324071239,1.023634593627413
dmnelf005,GSR_DMN,hz4,TA,O1,-0.046150265916504174,1.0104524550550176
dmnelf005,GSR_CEN,hz4,EFP,Fz,0.5962109897934138,0.8424462324074348
dmnelf005,GSR_CEN,hz4,HRF,Fz,0.04290943933518152,1.0427157236303006
dmnelf005,GSR_CEN,hz4,TA,POz,0.0018012570183109726,1.0262847723638704
dmnelf005,GSR_PDA,hz4,EFP,T7,0.393123913092734,0.9234920151229487
dmnelf005,GSR_PDA,hz4,HRF,T7,0.07221086764733127,1.0369791873541467
dmnelf005,GSR_PDA,hz4,TA,POz,0.08769901961699719,1.01724167055041
