session,target,subject,scheme,r
nf2,CEN,rtbpd011,cal1,-0.08325992448115818
nf2,CEN,rtbpd011,dmnelf+cal1,0.032328581546007935
nf2,CEN,rtbpd011,within_loro,0.11381250299701397
nf2,CEN,rtbpd015,transfer,0.15931621984403516
nf2,CEN,rtbpd015,cal1,-0.07133964518731202
nf2,CEN,rtbpd015,dmnelf+cal1,0.23321523168273647
nf2,CEN,rtbpd015,within_loro,0.0591520860177348
nf2,CEN,rtbpd022,transfer,0.20568466718590991
nf2,CEN,rtbpd022,cal1,0.10216573727882214
nf2,CEN,rtbpd022,dmnelf+cal1,0.18869896479241632
nf2,CEN,rtbpd022,within_loro,0.2121175511042865
nf2,CEN,rtbpd026,transfer,0.028917598683732126
nf2,CEN,rtbpd026,cal1,-0.01126984480138084
nf2,CEN,rtbpd026,dmnelf+cal1,-0.014334119914527073
nf2,CEN,rtbpd026,within_loro,-0.08441889948163779
nf2,CEN,rtbpd027,transfer,0.05449855502374483
nf2,CEN,rtbpd027,cal1,-0.007273644222900562
nf2,CEN,rtbpd027,dmnelf+cal1,0.05579500434922366
nf2,CEN,rtbpd027,within_loro,-0.13022369984585638
nf2,CEN,rtbpd028,transfer,0.05443034480109564
nf2,CEN,rtbpd028,cal1,-0.014302038817709733
nf2,CEN,rtbpd028,dmnelf+cal1,0.07580852590167218
nf2,CEN,rtbpd028,within_loro,0.07114462670568579
nf2,CEN,rtbpd030,transfer,0.10249691664431491
nf2,CEN,rtbpd030,cal1,-0.011749088908030678
nf2,CEN,rtbpd030,dmnelf+cal1,0.09917218409028757
nf2,CEN,rtbpd030,within_loro,0.0626459176930174
nf1,DMN,rtbpd002,transfer,-0.11025998839982963
nf1,DMN,rtbpd002,cal1,0.0884455710574639
nf1,DMN,rtbpd002,dmnelf+cal1,-0.08381829274459494
nf1,DMN,rtbpd002,within_loro,0.1482109558220809
nf1,DMN,rtbpd003,transfer,0.059637053697264845
nf1,DMN,rtbpd003,cal1,0.04149475690413683
nf1,DMN,rtbpd003,dmnelf+cal1,0.07204283156858046
nf1,DMN,rtbpd003,within_loro,0.16960144236160216
nf1,DMN,rtbpd004,transfer,0.2142283530799972
nf1,DMN,rtbpd004,cal1,-0.019978650272803832
nf1,DMN,rtbpd004,dmnelf+cal1,0.1885669214015672
nf1,DMN,rtbpd004,within_loro,0.03959216405055366
nf1,DMN,rtbpd009,transfer,0.07538648680440228
nf1,DMN,rtbpd009,cal1,-0.07244716769117165
nf1,DMN,rtbpd009,dmnelf+cal1,0.06961071658701193
nf1,DMN,rtbpd009,within_loro,-0.07205088386097103
nf1,DMN,rtbpd010,transfer,-0.0010625171035341758
nf1,DMN,rtbpd010,cal1,0.11067304704656553
nf1,DMN,rtbpd010,dmnelf+cal1,0.09431384365173573
nf1,DMN,rtbpd010,within_loro,0.14409821322600946
nf1,DMN,rtbpd011,transfer,0.05965720668405673
nf1,DMN,rtbpd011,cal1,0.10485062507700568
nf1,DMN,rtbpd011,dmnelf+cal1,0.12821810210115575
nf1,DMN,rtbpd011,within_loro,0.1521986936557097
nf1,DMN,rtbpd012,transfer,0.08324821858061446
nf1,DMN,rtbpd012,cal1,0.1156554072590128
nf1,DMN,rtbpd012,dmnelf+cal1,0.07849795530018538
nf1,DMN,rtbpd012,within_loro,0.20212456641721693
nf1,DMN,rtbpd013,transfer,0.011689051443036353
