target,arm,loso_mean_r,sign_flip_p,n
CEN,frontoparietal_best_electrode,0.1179286361616023,0.0013998600139986002,16
CEN,frontoparietal_montage,0.09224639081397965,0.004999500049995001,16
DMN,frontoparietal_best_electrode,0.06776558010499786,0.006199380061993801,16
DMN,frontoparietal_montage,0.06093631500903769,0.0165983401659834,16
PDA,frontoparietal_best_electrode,0.00978413949298245,0.7949205079492051,16
PDA,frontoparietal_montage,-0.016495722688725855,0.7119288071192881,16
