session,subject,cen_solo,dmn_solo,cen_rrr1,dmn_rrr1
dmnelf,dmnelf001,0.035149425621731185,-0.020244571755496373,0.006806352842366772,-0.00607173101232974
dmnelf,dmnelf004,-0.002881453151033638,0.061602788027032326,-0.0584080182391697,0.08642840615782729
dmnelf,dmnelf005,0.33788174640235275,0.04381073230177791,0.3080562070102618,0.0747529509562319
dmnelf,dmnelf006,-0.018050198379655012,0.20966981820566583,0.06432498713311069,0.18482097073600673
dmnelf,dmnelf007,0.291618285021462,0.13848739336252475,0.27892974540488524,0.19152000859841156
dmnelf,dmnelf008,0.20445000246060824,0.06958190492306286,0.1909644881198877,0.06490887638081079
dmnelf,dmnelf009,-0.08741542829823991,0.2432132893644015,-0.012898242670236017,0.21952414820394417
dmnelf,dmnelf010,0.0703923944151604,0.11311425506004219,0.05178137534751838,0.08292367165657635
dmnelf,dmnelf011,0.20470896917190592,0.08799610392308607,0.20146818243506867,0.13166119041305996
dmnelf,dmnelf012,-0.09620649314563073,0.013294590734285657,-0.10803938399865942,-0.028893097573499896
dmnelf,dmnelf013,0.025318910622491777,-0.050949094623037615,0.01791254370063494,-0.044515940588283974
dmnelf,dmnelf014,0.19113439469555926,0.02028845657721241,0.1605123682419505,0.05821150187588783
dmnelf,dmnelf015,0.27582730547067974,-0.022582856982764094,0.23900934474728658,0.06029876945825768
dmnelf,dmnelf016,0.0024651504856117766,0.2347710199792742,0.10656869254397844,0.24127185107344526
dmnelf,dmnelf1001,0.3162107518417107,0.05167220012283504,0.28973412991868547,0.12375921037574061
dmnelf,dmnelf1002,0.3863722341025939,0.12734209785324535,0.3816827668243115,0.1593746295486432
dmnelf,dmnelf1003,-0.003263555444489627,-0.050345476659765055,0.08283087054644753,-0.04270097890372288
nf1,rtbpd002,0.3415532047491538,0.16598353731688725,0.33315309235567686,0.12800637984435842
nf1,rtbpd003,0.1509826504980116,0.18992392322977236,0.1661411463601011,0.18634799231044294
nf1,rtbpd004,0.07148839368118975,0.03431805079500243,0.04719764366010899,0.04232949684685201
nf1,rtbpd009,0.006712423554534548,-0.06807882086234548,-0.02039094897154662,-0.06146365889286477
nf1,rtbpd010,0.3870638939777835,0.1561244062842751,0.31592108009127284,0.15178750937409938
nf1,rtbpd011,0.14965716452674335,0.1628158916028149,0.15241717619874715,0.15116024225373545
nf1,rtbpd012,0.15024475566482504,0.17041958402696883,0.15864687690162166,0.16618977581146938
nf1,rtbpd013,0.035084151139567914,0.02833503555003047,0.0234911117279511,0.022300529933687464
nf1,rtbpd015,0.05528529338627553,-0.0162345970970715,0.05525402340388913,0.0037870408868142897
nf1,rtbpd018,0.06674381403704846,0.04562014066722457,0.06748237415162613,0.05067961808934165
nf1,rtbpd020,0.087413143017968,0.3602188031844649,0.05675422355458207,0.2843171299072518
nf1,rtbpd021,-0.009376129850921368,0.07042865079688228,0.03471437752019604,0.09422857779492615
nf1,rtbpd022,0.04321247570567488,-0.059689680589904454,-0.05729586683533172,-0.13242580775438173
nf1,rtbpd024,0.12155730856201022,0.056394042724408934,0.08190569891504354,-0.013569735142012707
nf1,rtbpd026,-0.15518249352665625,-0.018152101272103607,-0.12954639130321446,-0.05748325452018463
nf1,rtbpd030,0.19275131044408944,0.28375972269628935,0.23116324621144527,0.26800878147628054
nf1,rtbpd034,0.1256679392392879,0.09030913155787393,0.12047777499453395,0.10997851166107853
nf1,rtbpd038,0.16752463368843382,0.13006588541538242,0.1500329502733268,0.12937465907248274
nf1,rtbpd040,0.1290742657974818,0.04457866339613882,0.1124389347645832,0.0729700646381715
nf2,rtbpd002,0.11616610963730337,0.010494113636390514,0.1029962271012804,-0.008191033513148318
nf2,rtbpd003,0.33918998995267297,0.17563711639689086,0.3318859049969611,0.2255429714442144
nf2,rtbpd009,0.10101694337389423,0.22673163081581865,0.09526491099277964,0.20490785352870913
nf2,rtbpd010,0.14005558319318287,0.17153770332136242,0.12405153298124912,0.16328254771049328
nf2,rtbpd011,0.13897559535579967,0.1447356095843102,0.15063534293453845,0.14307826926727907
nf2,rtbpd015,0.1092639052888876,0.056897105686211064,0.08165760530080188,0.05789931507448881
nf2,rtbpd022,0.21919633775589722,0.013185194473703006,0.19257485798766386,0.037021800373837954
nf2,rtbpd026,-0.017203847193754566,0.021213220064449496,0.04819994636865519,0.04437702179302289
nf2,rtbpd027,-0.08169319041196348,0.00583737315051884,-0.1345413293701809,-0.011711634089044312
nf2,rtbpd028,0.07951316798410335,0.1858911562659405,0.04402279094268777,0.017915587939968287
nf2,rtbpd030,0.06342943181963459,0.1074455185765622,0.06517056137715603,0.0849932808738084
