target,n_cal_runs,method,n,mean_r,gain_p
PDA,0,group_only,11,0.04283381857336244,
PDA,1,group_only,11,0.0586948240170652,
PDA,1,pseudo_cal,11,-0.001057704148093455,0.9807019298070193
PDA,1,blend,11,0.043336680560957956,0.8516148385161484
PDA,2,group_only,11,0.07565218495159654,
PDA,2,pseudo_cal,11,0.08248224912456092,0.44615538446155384
PDA,2,blend,11,0.1039377342034518,0.1700829917008299
PDA,3,group_only,10,0.07401614947373561,
PDA,3,pseudo_cal,10,0.1174190518240871,0.26517348265173485
PDA,3,blend,10,0.12785689367983233,0.0608939106089391
GSR_CEN,0,group_only,11,0.06223068596361501,
GSR_CEN,1,group_only,11,0.05660025742672498,
GSR_CEN,1,pseudo_cal,11,-0.01645387664816574,0.9864013598640136
GSR_CEN,1,blend,11,0.021499684659670903,0.958904109589041
GSR_CEN,2,group_only,11,0.08077269251909909,
GSR_CEN,2,pseudo_cal,11,0.04885726301728273,0.7238276172382762
GSR_CEN,2,blend,11,0.08870626101354527,0.36776322367763226
GSR_CEN,3,group_only,10,0.13119488746437394,
GSR_CEN,3,pseudo_cal,10,0.054891088318378446,0.9496050394960504
GSR_CEN,3,blend,10,0.12403412489881452,0.6454354564543545
CEN,0,group_only,11,0.13200717274500962,
CEN,1,group_only,11,0.1269641369598151,
CEN,1,pseudo_cal,11,0.04929286345896553,0.957004299570043
CEN,1,blend,11,0.11243342249509586,0.7427257274272573
CEN,2,group_only,11,0.16233436111482588,
CEN,2,pseudo_cal,11,0.0800397556785177,0.9406059394060594
CEN,2,blend,11,0.15238025407297504,0.6626337366263374
CEN,3,group_only,10,0.19382482766360964,
CEN,3,pseudo_cal,10,0.03917635902613829,0.9883011698830118
CEN,3,blend,10,0.1559493240659327,0.9187081291870813
DMN,0,group_only,11,0.06312246480117817,
DMN,1,group_only,11,0.048127588724966586,
DMN,1,pseudo_cal,11,-0.043280105684248435,0.9452054794520548
DMN,1,blend,11,0.0017480709523411534,0.9207079292070793
DMN,2,group_only,11,0.06411306913031195,
DMN,2,pseudo_cal,11,-0.0096666147358323,0.9176082391760824
DMN,2,blend,11,0.039294685202960894,0.7732226777322267
DMN,3,group_only,10,0.07942029505142865,
DMN,3,pseudo_cal,10,0.0858766958350268,0.46505349465053497
DMN,3,blend,10,0.12456325987642838,0.13068693130686931
GSR_PDA,0,group_only,11,0.03964335872669686,
GSR_PDA,1,group_only,11,0.058212371456921125,
GSR_PDA,1,pseudo_cal,11,-0.01967847000554467,0.9897010298970103
GSR_PDA,1,blend,11,0.02907416381603961,0.9662033796620338
GSR_PDA,2,group_only,11,0.06927129231662199,
GSR_PDA,2,pseudo_cal,11,0.06981998934183346,0.5000499950005
GSR_PDA,2,blend,11,0.09230382039422644,0.19368063193680632
GSR_PDA,3,group_only,10,0.06482301718456772,
GSR_PDA,3,pseudo_cal,10,0.11368224259671358,0.20757924207579243
GSR_PDA,3,blend,10,0.11835269485974782,0.038696130386961305
GSR_DMN,0,group_only,11,0.023760149605519653,
GSR_DMN,1,group_only,11,0.02964651651835815,
GSR_DMN,1,pseudo_cal,11,0.008203637574747862,0.6661333866613338
GSR_DMN,1,blend,11,0.035911345684465155,0.39176082391760825
GSR_DMN,2,group_only,11,0.06180778342638509,
GSR_DMN,2,pseudo_cal,11,0.03511044572467022,0.7081291870812919
GSR_DMN,2,blend,11,0.06010329647347621,0.5288471152884712
GSR_DMN,3,group_only,10,0.040316639058053126,
GSR_DMN,3,pseudo_cal,10,0.09422459742343174,0.22777722227777222
GSR_DMN,3,blend,10,0.08922868223687316,0.11548845115488451
