session,subject,cen_solo,cen_joint,dmn_solo,dmn_joint,cca_system
dmnelf,dmnelf001,0.03514942562173119,0.035149425621731165,-0.02024457175549638,-0.020244571755496408,0.004633761796314849
dmnelf,dmnelf004,-0.0028814531510337207,-0.0028814531510335827,0.06160278802703238,0.06160278802703238,-0.09930284536500432
dmnelf,dmnelf005,0.33788174640235275,0.33788174640235263,0.043810732301778,0.04381073230177792,0.25797035060751217
dmnelf,dmnelf006,-0.018050198379655,-0.01805019837965506,0.20966981820566588,0.2096698182056658,-0.08975257460412667
dmnelf,dmnelf007,0.291618285021462,0.291618285021462,0.1384873933625248,0.1384873933625248,0.21807643050817374
dmnelf,dmnelf008,0.2044500024606082,0.20445000246060813,0.06958190492306285,0.06958190492306288,0.04580105664605764
dmnelf,dmnelf009,-0.08741542829823977,-0.08741542829823987,0.24321328936440154,0.2432132893644015,-0.025877625727837104
dmnelf,dmnelf010,0.07039239441516039,0.07039239441516035,0.11311425506004212,0.1131142550600422,0.037941330890535016
dmnelf,dmnelf011,0.20470896917190595,0.20470896917190592,0.08799610392308596,0.08799610392308592,0.18994450795180598
dmnelf,dmnelf012,-0.09620649314563076,-0.0962064931456307,0.013294590734285638,0.013294590734285607,-0.07191996511242613
dmnelf,dmnelf013,0.025318910622491787,0.025318910622491825,-0.05094909462303761,-0.0509490946230376,0.0926355496006844
dmnelf,dmnelf014,0.19113439469555932,0.19113439469555932,0.020288456577212507,0.020288456577212493,0.1567246461304148
dmnelf,dmnelf015,0.27582730547067974,0.2758273054706798,-0.022582856982764094,-0.02258285698276407,0.05427137390797435
dmnelf,dmnelf016,0.0024651504856118586,0.002465150485611778,0.23477101997927413,0.2347710199792742,-0.03548800395055132
dmnelf,dmnelf1001,0.3162107518417106,0.3162107518417107,0.05167220012283504,0.05167220012283506,0.3402524613399942
dmnelf,dmnelf1002,0.3863722341025939,0.38637223410259386,0.12734209785324532,0.12734209785324535,0.3145102108861916
dmnelf,dmnelf1003,-0.003263555444489717,-0.0032635554444896612,-0.05034547665976503,-0.05034547665976503,-0.011061292427898271
nf1,rtbpd002,0.3415532047491537,0.3415532047491537,0.16598353731688725,0.16598353731688723,0.1590385031007508
nf1,rtbpd003,0.15098265049801163,0.1509826504980116,0.1899239232297724,0.1899239232297723,0.11653683410389948
nf1,rtbpd004,0.0714883936811898,0.07148839368118981,0.03431805079500255,0.0343180507950025,0.08852100455561454
nf1,rtbpd009,0.006712423554534824,0.0067124235545346555,-0.06807882086234537,-0.06807882086234548,-0.024482726645094995
nf1,rtbpd010,0.3870638939777834,0.38706389397778346,0.1561244062842751,0.15612440628427512,0.2963813201038359
nf1,rtbpd011,0.14965716452674332,0.14965716452674352,0.162815891602815,0.16281589160281495,0.11127652974168092
nf1,rtbpd012,0.15024475566482504,0.15024475566482504,0.17041958402696888,0.1704195840269688,0.06668409035588017
nf1,rtbpd013,0.03508415113956801,0.03508415113956799,0.02833503555003041,0.028335035550030502,0.011500559525193651
nf1,rtbpd015,0.05528529338627559,0.05528529338627552,-0.016234597097071507,-0.016234597097071538,0.08400217089322468
nf1,rtbpd018,0.06674381403704836,0.0667438140370484,0.04562014066722456,0.045620140667224564,-0.012071755298256335
nf1,rtbpd020,0.087413143017968,0.087413143017968,0.360218803184465,0.360218803184465,0.074460568061095
nf1,rtbpd021,-0.009376129850921273,-0.009376129850921275,0.07042865079688237,0.07042865079688232,-0.061099890717838515
nf1,rtbpd022,0.043212475705674894,0.04321247570567491,-0.05968968058990451,-0.05968968058990442,-0.021711176169446192
nf1,rtbpd024,0.12155730856201019,0.12155730856201025,0.05639404272440891,0.05639404272440893,0.03891635287494994
nf1,rtbpd026,-0.1551824935266562,-0.1551824935266563,-0.01815210127210365,-0.018152101272103482,-0.06966692208232206
nf1,rtbpd030,0.1927513104440896,0.19275131044408952,0.2837597226962894,0.2837597226962894,0.07281743751395633
nf1,rtbpd034,0.12566793923928787,0.1256679392392879,0.09030913155787389,0.09030913155787386,0.20027833184590352
nf1,rtbpd038,0.16752463368843373,0.16752463368843382,0.13006588541538247,0.13006588541538233,0.06844721707537152
nf1,rtbpd040,0.1290742657974819,0.12907426579748177,0.04457866339613896,0.04457866339613888,0.16248129350158186
nf2,rtbpd002,0.11616610963730342,0.11616610963730338,0.010494113636390495,0.01049411363639056,0.09662398113609083
nf2,rtbpd003,0.3391899899526729,0.3391899899526729,0.175637116396891,0.17563711639689092,0.23644069345323898
nf2,rtbpd009,0.10101694337389423,0.10101694337389418,0.22673163081581862,0.22673163081581857,0.03710774134439705
nf2,rtbpd010,0.14005558319318287,0.14005558319318287,0.17153770332136253,0.17153770332136242,0.16622479443287536
nf2,rtbpd011,0.13897559535579962,0.13897559535579967,0.14473560958431023,0.1447356095843102,0.114617498560656
nf2,rtbpd015,0.10926390528888755,0.10926390528888758,0.05689710568621122,0.05689710568621098,0.12945455927603808
nf2,rtbpd022,0.21919633775589725,0.21919633775589722,0.013185194473703029,0.013185194473702963,0.15723210965194462
nf2,rtbpd026,-0.017203847193754677,-0.017203847193754604,0.021213220064449402,0.021213220064449468,0.0225046926967412
nf2,rtbpd027,-0.08169319041196348,-0.08169319041196353,0.005837373150518785,0.005837373150518869,-0.033372538406689266
nf2,rtbpd028,0.07951316798410342,0.07951316798410343,0.18589115626594052,0.1858911562659405,0.05812664545787039
nf2,rtbpd030,0.06342943181963466,0.06342943181963467,0.10744551857656223,0.1074455185765624,0.11000180205430601
