subject,target,electrode,n_cal_runs,method,r,n_test_runs
rtbpd003,DMN,O1,3,pseudo_cal,-0.1768472072577055,2
rtbpd003,DMN,O1,3,blend,-0.029614128499394314,2
rtbpd003,GSR_PDA,Pz,0,group_only,0.18394134026652315,5
rtbpd003,GSR_PDA,Pz,1,group_only,0.19372454265710792,4
rtbpd003,GSR_PDA,Pz,1,pseudo_cal,0.11090838711370014,4
rtbpd003,GSR_PDA,Pz,1,blend,0.1715750491274291,4
rtbpd003,GSR_PDA,Pz,2,group_only,0.19480372423758074,3
rtbpd003,GSR_PDA,Pz,2,pseudo_cal,0.11682035081241327,3
rtbpd003,GSR_PDA,Pz,2,blend,0.1727315450811225,3
rtbpd003,GSR_PDA,Pz,3,group_only,0.20988095869929102,2
rtbpd003,GSR_PDA,Pz,3,pseudo_cal,0.12868936960126545,2
rtbpd003,GSR_PDA,Pz,3,blend,0.19745211958715084,2
rtbpd003,GSR_DMN,Cz,0,group_only,0.06339740075220714,5
rtbpd003,GSR_DMN,Cz,1,group_only,0.043090825021081774,4
rtbpd003,GSR_DMN,Cz,1,pseudo_cal,-0.15690361657869717,4
rtbpd003,GSR_DMN,Cz,1,blend,-0.08499063322515915,4
rtbpd003,GSR_DMN,Cz,2,group_only,0.049506285157332325,3
rtbpd003,GSR_DMN,Cz,2,pseudo_cal,-0.03918384820218459,3
rtbpd003,GSR_DMN,Cz,2,blend,0.007444534839530057,3
rtbpd003,GSR_DMN,Cz,3,group_only,0.06495158876550919,2
rtbpd003,GSR_DMN,Cz,3,pseudo_cal,-0.2973912329127559,2
rtbpd003,GSR_DMN,Cz,3,blend,-0.18450077448195856,2
rtbpd009,PDA,Pz,0,group_only,-0.004599215728150065,5
rtbpd009,PDA,Pz,1,group_only,-0.0019776116857375993,4
rtbpd009,PDA,Pz,1,pseudo_cal,0.17036768466874602,4
rtbpd009,PDA,Pz,1,blend,0.20499401988898958,4
rtbpd009,PDA,Pz,2,group_only,-0.07307400734225489,3
rtbpd009,PDA,Pz,2,pseudo_cal,0.15833768776930202,3
rtbpd009,PDA,Pz,2,blend,0.10943281873453164,3
rtbpd009,PDA,Pz,3,group_only,-0.10329078340069126,2
rtbpd009,PDA,Pz,3,pseudo_cal,0.20137581581875086,2
rtbpd009,PDA,Pz,3,blend,0.13548947207331283,2
rtbpd009,GSR_CEN,Pz,0,group_only,0.06052864849369185,5
rtbpd009,GSR_CEN,Pz,1,group_only,0.05113093740730518,4
rtbpd009,GSR_CEN,Pz,1,pseudo_cal,-0.018492197321225735,4
rtbpd009,GSR_CEN,Pz,1,blend,0.04680419763442335,4
rtbpd009,GSR_CEN,Pz,2,group_only,0.026196652039240532,3
rtbpd009,GSR_CEN,Pz,2,pseudo_cal,-0.04515443855536459,3
rtbpd009,GSR_CEN,Pz,2,blend,-0.02863815974719495,3
rtbpd009,GSR_CEN,Pz,3,group_only,0.05630854904191037,2
rtbpd009,GSR_CEN,Pz,3,pseudo_cal,-0.11232289665032003,2
rtbpd009,GSR_CEN,Pz,3,blend,-0.09234091245190994,2
rtbpd009,CEN,Cz,0,group_only,0.04014884341516067,5
rtbpd009,CEN,Cz,1,group_only,0.014359915008389866,4
rtbpd009,CEN,Cz,1,pseudo_cal,0.030377019986134537,4
rtbpd009,CEN,Cz,1,blend,0.031824409982368324,4
rtbpd009,CEN,Cz,2,group_only,-0.03864107937822096,3
rtbpd009,CEN,Cz,2,pseudo_cal,-0.0014977019966308119,3
rtbpd009,CEN,Cz,2,blend,-0.03772865935723742,3
rtbpd009,CEN,Cz,3,group_only,0.008804120548970173,2
rtbpd009,CEN,Cz,3,pseudo_cal,-0.002618720818626627,2
rtbpd009,CEN,Cz,3,blend,0.0068781297261279375,2
rtbpd009,DMN,O1,0,group_only,0.18412968911327152,5
rtbpd009,DMN,O1,1,group_only,0.18779077625504362,4
rtbpd009,DMN,O1,1,pseudo_cal,0.19784836556517088,4
rtbpd009,DMN,O1,1,blend,0.23525332753870462,4
rtbpd009,DMN,O1,2,group_only,0.11349169670840592,3
rtbpd009,DMN,O1,2,pseudo_cal,0.3419654023646781,3
rtbpd009,DMN,O1,2,blend,0.2937513922288651,3
rtbpd009,DMN,O1,3,group_only,0.1748665790771967,2
rtbpd009,DMN,O1,3,pseudo_cal,0.44646073988284013,2
rtbpd009,DMN,O1,3,blend,0.38843990805961476,2
rtbpd009,GSR_PDA,Pz,0,group_only,0.004728703446503624,5
rtbpd009,GSR_PDA,Pz,1,group_only,0.009463374527068729,4
rtbpd009,GSR_PDA,Pz,1,pseudo_cal,0.17506098386629376,4
rtbpd009,GSR_PDA,Pz,1,blend,0.2080566017567152,4
rtbpd009,GSR_PDA,Pz,2,group_only,-0.051263178844359776,3
rtbpd009,GSR_PDA,Pz,2,pseudo_cal,0.16580813394815758,3
rtbpd009,GSR_PDA,Pz,2,blend,0.14118197855348413,3
rtbpd009,GSR_PDA,Pz,3,group_only,-0.09092128764162379,2
rtbpd009,GSR_PDA,Pz,3,pseudo_cal,0.2071587786403729,2
rtbpd009,GSR_PDA,Pz,3,blend,0.15079387394452476,2
rtbpd009,GSR_DMN,Cz,0,group_only,0.09182323132847278,5
rtbpd009,GSR_DMN,Cz,1,group_only,0.14653541784940072,4
rtbpd009,GSR_DMN,Cz,1,pseudo_cal,0.03954968668699682,4
rtbpd009,GSR_DMN,Cz,1,blend,0.15599605557836738,4
rtbpd009,GSR_DMN,Cz,2,group_only,0.028052887640690218,3
rtbpd009,GSR_DMN,Cz,2,pseudo_cal,0.13727301764380523,3
rtbpd009,GSR_DMN,Cz,2,blend,0.1202888356109416,3
rtbpd009,GSR_DMN,Cz,3,group_only,0.02578999581825167,2
rtbpd009,GSR_DMN,Cz,3,pseudo_cal,0.32151747109431816,2
rtbpd009,GSR_DMN,Cz,3,blend,0.23349434450265918,2
rtbpd010,PDA,Pz,0,group_only,0.29522971607609133,5
rtbpd010,PDA,Pz,1,group_only,0.33690913790581856,4
rtbpd010,PDA,Pz,1,pseudo_cal,0.30528956805415053,4
rtbpd010,PDA,Pz,1,blend,0.340974730927987,4
rtbpd010,PDA,Pz,2,group_only,0.3028647173375461,3
rtbpd010,PDA,Pz,2,pseudo_cal,0.3002808386554076,3
rtbpd010,PDA,Pz,2,blend,0.3162583256188822,3
rtbpd010,PDA,Pz,3,group_only,0.42246518250920795,2
rtbpd010,PDA,Pz,3,pseudo_cal,0.3869199870593971,2
rtbpd010,PDA,Pz,3,blend,0.4264693488926659,2
rtbpd010,GSR_CEN,Pz,0,group_only,0.14849518192732122,5
rtbpd010,GSR_CEN,Pz,1,group_only,0.12192729081925127,4
rtbpd010,GSR_CEN,Pz,1,pseudo_cal,0.10516450040011273,4
rtbpd010,GSR_CEN,Pz,1,blend,0.11954920695863869,4
rtbpd010,GSR_CEN,Pz,2,group_only,0.0640607219925849,3
rtbpd010,GSR_CEN,Pz,2,pseudo_cal,0.01740919687629332,3
rtbpd010,GSR_CEN,Pz,2,blend,0.04412625367401379,3
rtbpd010,GSR_CEN,Pz,3,group_only,0.06824929866166544,2
