target,n_cal_runs,method,n,mean_r,gain_p
PDA,0,group_only,19,0.06720837977204347,
PDA,1,group_only,19,0.07084534181916351,
PDA,1,pseudo_cal,19,0.053370799822441306,0.686931306869313
PDA,1,blend,19,0.06379765677295285,0.6172382761723828
PDA,2,group_only,19,0.0718137768069159,
PDA,2,pseudo_cal,19,0.05676079572563532,0.6745325467453255
PDA,2,blend,19,0.06788187325187847,0.585041495850415
PDA,3,group_only,19,0.062479701935443256,
PDA,3,pseudo_cal,19,0.046989765471041695,0.6502349765023497
PDA,3,blend,19,0.056903636809994454,0.6054394560543945
GSR_CEN,0,group_only,19,0.09793635717529546,
GSR_CEN,1,group_only,19,0.09151106921955748,
GSR_CEN,1,pseudo_cal,19,0.0697802440597493,0.6839316068393161
GSR_CEN,1,blend,19,0.08302799343960149,0.6534346565343465
GSR_CEN,2,group_only,19,0.047284735934868365,
GSR_CEN,2,pseudo_cal,19,0.0617759092798632,0.36246375362463756
GSR_CEN,2,blend,19,0.054199288220890374,0.33096690330966905
GSR_CEN,3,group_only,19,0.035627233494035175,
GSR_CEN,3,pseudo_cal,19,0.041869541595497585,0.44785521447855214
GSR_CEN,3,blend,19,0.03818030853799496,0.4490550944905509
CEN,0,group_only,19,0.1381355422602356,
CEN,1,group_only,19,0.13515613581291214,
CEN,1,pseudo_cal,19,0.03623497502748853,0.9904009599040096
CEN,1,blend,19,0.0954396120280674,0.9486051394860514
CEN,2,group_only,19,0.1357674217784751,
CEN,2,pseudo_cal,19,0.04886778247619203,0.9831016898310169
CEN,2,blend,19,0.11038795933664165,0.8831116888311169
CEN,3,group_only,19,0.1121393583645628,
CEN,3,pseudo_cal,19,0.0360970424302249,0.97000299970003
CEN,3,blend,19,0.0869369387822973,0.8465153484651535
DMN,0,group_only,19,0.09701544857860185,
DMN,1,group_only,19,0.0947445790045646,
DMN,1,pseudo_cal,19,-0.03249681684808133,0.9831016898310169
DMN,1,blend,19,0.04551465229824648,0.9511048895110489
DMN,2,group_only,19,0.09981813400134869,
DMN,2,pseudo_cal,19,-0.057588522249481806,0.9933006699330067
DMN,2,blend,19,0.03079859712206633,0.9826017398260174
DMN,3,group_only,19,0.11455897195499634,
DMN,3,pseudo_cal,19,-0.02223975762538045,0.9675032496750325
DMN,3,blend,19,0.06906402983406999,0.8577142285771423
GSR_PDA,0,group_only,19,0.06412496845546473,
GSR_PDA,1,group_only,19,0.07084570134175355,
GSR_PDA,1,pseudo_cal,19,0.06143859306972075,0.5973402659734026
GSR_PDA,1,blend,19,0.06994685700514024,0.5182481751824818
GSR_PDA,2,group_only,19,0.07315722624454701,
GSR_PDA,2,pseudo_cal,19,0.06598442416788265,0.5687431256874312
GSR_PDA,2,blend,19,0.07549722557959512,0.44685531446855314
GSR_PDA,3,group_only,19,0.08276804917704203,
GSR_PDA,3,pseudo_cal,19,0.061986044995646146,0.6998300169983002
GSR_PDA,3,blend,19,0.07878848738969549,0.5795420457954205
GSR_DMN,0,group_only,19,0.04486771479793332,
GSR_DMN,1,group_only,19,0.04410611876997937,
GSR_DMN,1,pseudo_cal,19,0.006007479597171972,0.8478152184781522
GSR_DMN,1,blend,19,0.027937982982405345,0.7585241475852414
GSR_DMN,2,group_only,19,0.06552705308497205,
GSR_DMN,2,pseudo_cal,19,-0.011133467421876372,0.947005299470053
GSR_DMN,2,blend,19,0.029230077546936645,0.8794120587941205
GSR_DMN,3,group_only,19,0.06461427931584289,
GSR_DMN,3,pseudo_cal,19,0.05869858992274242,0.5355464453554645
GSR_DMN,3,blend,19,0.08291473250037597,0.3408659134086591
