subject,target,ttype,mode,window,r,cohort
dmnelf1002,CEN,clean,all,fb,0.3721136162804704,dmnelf
dmnelf1002,CEN,clean,epoc,fb,0.3146127656671709,dmnelf
dmnelf1002,DMN,clean,all,fb,0.0212608871829988,dmnelf
dmnelf1002,DMN,clean,epoc,fb,0.0272956479179293,dmnelf
dmnelf1002,PDA,clean,all,fb,0.1820836926251143,dmnelf
dmnelf1002,PDA,clean,epoc,fb,0.2072147583090151,dmnelf
dmnelf1003,CEN,clean,all,fb,-0.0342629074863721,dmnelf
dmnelf1003,CEN,clean,epoc,fb,-0.0323973882067033,dmnelf
dmnelf1003,DMN,clean,all,fb,-0.0089137783477613,dmnelf
dmnelf1003,DMN,clean,epoc,fb,-0.0538871627709307,dmnelf
dmnelf1003,PDA,clean,all,fb,-0.0289139959652752,dmnelf
dmnelf1003,PDA,clean,epoc,fb,-0.0338113048103284,dmnelf
rtbpd002,CEN,clean,all,fb,0.3415532047491539,rtbpd
rtbpd002,CEN,clean,epoc,fb,0.3290003311362144,rtbpd
rtbpd002,DMN,clean,all,fb,0.1659835373168872,rtbpd
rtbpd002,DMN,clean,epoc,fb,0.0764534297076086,rtbpd
rtbpd002,PDA,clean,all,fb,0.1756055070155245,rtbpd
rtbpd002,PDA,clean,epoc,fb,0.1701506449694406,rtbpd
rtbpd003,CEN,clean,all,fb,0.1523754632409734,rtbpd
rtbpd003,CEN,clean,epoc,fb,0.0817660456534618,rtbpd
rtbpd003,DMN,clean,all,fb,0.1623968793565489,rtbpd
rtbpd003,DMN,clean,epoc,fb,0.1380179287836236,rtbpd
rtbpd003,PDA,clean,all,fb,0.051241536995449,rtbpd
rtbpd003,PDA,clean,epoc,fb,-0.0164109040636551,rtbpd
rtbpd004,CEN,clean,all,fb,0.0180487248106101,rtbpd
rtbpd004,CEN,clean,epoc,fb,0.0122414371797009,rtbpd
rtbpd004,DMN,clean,all,fb,0.0437496020122667,rtbpd
rtbpd004,DMN,clean,epoc,fb,-0.018924482724532,rtbpd
rtbpd004,PDA,clean,all,fb,-0.0129348077406877,rtbpd
rtbpd004,PDA,clean,epoc,fb,-0.0284209712839756,rtbpd
rtbpd009,CEN,clean,all,fb,-0.0163279131018743,rtbpd
rtbpd009,CEN,clean,epoc,fb,-0.049146640115302,rtbpd
rtbpd009,DMN,clean,all,fb,-0.0466595229047946,rtbpd
rtbpd009,DMN,clean,epoc,fb,-0.0706763200850986,rtbpd
rtbpd009,PDA,clean,all,fb,0.0380476025616922,rtbpd
rtbpd009,PDA,clean,epoc,fb,0.037736734381839,rtbpd
rtbpd010,CEN,clean,all,fb,0.3815219786313519,rtbpd
rtbpd010,CEN,clean,epoc,fb,0.3653468621886774,rtbpd
rtbpd010,DMN,clean,all,fb,0.1555017871153174,rtbpd
rtbpd010,DMN,clean,epoc,fb,0.1487639763879694,rtbpd
rtbpd010,PDA,clean,all,fb,0.2931999314267181,rtbpd
rtbpd010,PDA,clean,epoc,fb,0.2578332857144961,rtbpd
rtbpd011,CEN,clean,all,fb,0.1477096516380668,rtbpd
rtbpd011,CEN,clean,epoc,fb,0.1213403052720903,rtbpd
rtbpd011,DMN,clean,all,fb,0.1628158916028147,rtbpd
rtbpd011,DMN,clean,epoc,fb,0.1818655515536143,rtbpd
rtbpd011,PDA,clean,all,fb,0.061724884214657,rtbpd
rtbpd011,PDA,clean,epoc,fb,0.0198002132600438,rtbpd
rtbpd012,CEN,clean,all,fb,0.1409547062524138,rtbpd
