session,target,mode,subject,r
nf2,DMN,best,rtbpd011,0.12057955278054179
nf2,DMN,all,rtbpd011,0.11515326546937227
nf2,DMN,best,rtbpd015,0.1819222372294989
nf2,DMN,all,rtbpd015,0.030334743478346787
nf2,DMN,best,rtbpd022,0.0700088594719341
nf2,DMN,all,rtbpd022,0.19496712123048848
nf2,DMN,best,rtbpd026,0.07396998012172668
nf2,DMN,all,rtbpd026,0.03342411122694843
nf2,DMN,best,rtbpd027,0.07137898069504206
nf2,DMN,all,rtbpd027,0.11948291371539796
nf2,DMN,best,rtbpd028,0.27502458642224137
nf2,DMN,all,rtbpd028,-0.150100448978504
nf2,DMN,best,rtbpd030,0.05909813739214034
nf2,DMN,all,rtbpd030,0.052281762758999886
nf1,PDA,best,rtbpd002,0.26681282834503794
nf1,PDA,all,rtbpd002,0.20274181049303583
nf1,PDA,best,rtbpd003,-0.05108653936887679
nf1,PDA,all,rtbpd003,0.08340415498950118
nf1,PDA,best,rtbpd004,0.0758766991370575
nf1,PDA,all,rtbpd004,0.04385792081106964
nf1,PDA,best,rtbpd009,0.10000205872888725
nf1,PDA,all,rtbpd009,0.009383833051492818
nf1,PDA,best,rtbpd010,0.24812887409043322
nf1,PDA,all,rtbpd010,0.0554973892917219
nf1,PDA,best,rtbpd011,0.02898326739962092
nf1,PDA,all,rtbpd011,0.1900434160713191
nf1,PDA,best,rtbpd012,-0.09848473773633361
nf1,PDA,all,rtbpd012,-0.15570354351821306
nf1,PDA,best,rtbpd013,-0.170563875251775
nf1,PDA,all,rtbpd013,0.053946888942238494
nf1,PDA,best,rtbpd015,0.1179299581493761
nf1,PDA,all,rtbpd015,0.12069706194818683
nf1,PDA,best,rtbpd018,-0.04379476833791563
nf1,PDA,all,rtbpd018,-0.045950003260888016
nf1,PDA,best,rtbpd020,0.22437377190960608
nf1,PDA,all,rtbpd020,-0.006331714091951846
nf1,PDA,best,rtbpd021,-0.026415772634854253
nf1,PDA,all,rtbpd021,-0.023934424659948196
nf1,PDA,best,rtbpd022,-0.04155833592838694
nf1,PDA,all,rtbpd022,0.0009064030536217998
nf1,PDA,best,rtbpd024,0.13597881006724954
nf1,PDA,all,rtbpd024,0.05841476413637083
nf1,PDA,best,rtbpd026,-0.005365071133853752
nf1,PDA,all,rtbpd026,0.03774473393187703
nf1,PDA,best,rtbpd030,0.27957047414083874
nf1,PDA,all,rtbpd030,0.27493796250677155
nf1,PDA,best,rtbpd034,-0.01569430386995848
nf1,PDA,all,rtbpd034,-0.04667777070581596
nf1,PDA,best,rtbpd038,0.21775486784140052
nf1,PDA,all,rtbpd038,0.06847121478154335
nf1,PDA,best,rtbpd040,0.08982173565235932
nf1,PDA,all,rtbpd040,0.0017429012472802508
nf2,PDA,best,rtbpd002,0.048514386048542475
nf2,PDA,all,rtbpd002,0.04059480683332014
nf2,PDA,best,rtbpd003,0.12719598140173424
nf2,PDA,all,rtbpd003,0.12480911760816117
nf2,PDA,best,rtbpd009,-0.06784040410011463
nf2,PDA,all,rtbpd009,-0.05624912132288293
nf2,PDA,best,rtbpd010,0.014972927459099896
nf2,PDA,all,rtbpd010,0.07103950163914899
nf2,PDA,best,rtbpd011,0.09208037638103522
nf2,PDA,all,rtbpd011,0.08522941558991658
nf2,PDA,best,rtbpd015,-0.0664364766215577
nf2,PDA,all,rtbpd015,-0.08718140909949723
nf2,PDA,best,rtbpd022,0.15985461545524884
nf2,PDA,all,rtbpd022,0.16086396354072124
nf2,PDA,best,rtbpd026,-0.07793399722231056
nf2,PDA,all,rtbpd026,0.06469046524453739
nf2,PDA,best,rtbpd027,0.172031457641397
nf2,PDA,all,rtbpd027,0.11290360539093271
nf2,PDA,best,rtbpd028,0.11667124416276664
nf2,PDA,all,rtbpd028,0.0030471680428532334
nf2,PDA,best,rtbpd030,-0.045387018216785445
nf2,PDA,all,rtbpd030,0.04878217266938887
