subject,pearson_r,pearson_p,spearman_rho,spearman_p,rmse,mae,roc_auc,r2,n_timepoints
dmnelf001,0.6120228922908321,2.32837039812446e-06,0.5382472989195678,5.537292128780401e-05,0.3332057695761463,0.2786864939162677,0.7488,0.08405151012123746,400
dmnelf004,0.2782664136923039,0.05038148706923162,0.20182472989195677,0.15986324196287496,0.8607333282723147,0.8137806820056656,0.5328,0.018465251019429973,400
dmnelf005,-0.2592766911532287,0.06902986338490898,-0.2788475390156062,0.049882857098541344,0.18213959236924745,0.158212418357249,0.2608,-0.1501511060620908,400
dmnelf006,0.5566037978216049,2.698801952513322e-05,0.6116206482593036,2.3741637443398883e-06,0.2857925891788316,0.22214502775194972,0.8976,0.2541495271415015,400
dmnelf007,0.3804545542997291,0.00642039029042494,0.4950300120048019,0.0002574937045816609,0.3017069961828906,0.1989570652642711,0.7615999999999999,0.08767161786936184,400
dmnelf008,0.5090385865410775,0.00016001070905332732,0.3686434573829531,0.008432047452462824,0.6375343910076461,0.45858765875370333,0.7088,0.061546158018702335,400
dmnelf009,-0.03892222406188235,0.7884205270744737,0.1925090036014406,0.18044647770914113,0.4249369507013335,0.33822853075171055,0.6368,-0.09486617023221622,400
dmnelf010,0.6102819430326836,2.5326642563454936e-06,0.6054741896758703,3.186554401094223e-06,0.4340425888651737,0.3395621823130006,0.7856,-0.0024203184131148525,400
dmnelf011,0.27875943010378584,0.04995819953418498,0.14967587034813923,0.29952269363966605,0.197638981080616,0.15900731063363227,0.5776,0.06295757969583404,400
dmnelf012,0.3304572015755959,0.01908571697166146,0.41589435774309724,0.002666293103150788,0.5269241639089322,0.4609801839529114,0.68,0.037201677215302986,400
dmnelf013,0.6346948205524187,7.42410318733528e-07,0.6354381752701079,7.139822267458902e-07,0.08457984665943365,0.06741937687070193,0.8560000000000001,0.09067822807913051,400
dmnelf014,0.5933893677223966,5.584220523795727e-06,0.6055702280912364,3.172085408179652e-06,0.47260272280028237,0.3834949329867959,0.8320000000000001,0.15789880224257624,400
dmnelf015,-0.05195555909545649,0.7200953751113788,-0.2934453781512605,0.03861499831098251,0.8670496237274465,0.7405065173033456,0.344,-0.0070320831878620815,400
dmnelf1001,-0.46613224545493737,0.0006456040029653578,-0.5393997599039616,5.299477437905374e-05,0.463995291746277,0.35371370160274884,0.2544,-0.23023789007264406,400
dmnelf1002,0.251603088630552,0.07797130666840103,0.2604081632653061,0.06778341347587762,0.22780334248978562,0.18770792400125752,0.5824,-0.08771738871341928,400
dmnelf1003,-0.30490403600170995,0.031316894448162665,-0.36134453781512604,0.009930867034735467,0.3243520589010899,0.26178349934518336,0.32480000000000003,-0.22991546436563803,350
