subject,pearson_r,pearson_p,spearman_rho,spearman_p,rmse,mae,roc_auc,r2,n_timepoints
dmnelf001,-0.110385805,0.027275189770528934,-0.14297808111300697,0.00416551371742815,0.30499795,0.25381383,0.38999999999999996,-0.16303372,400
dmnelf002,0.22396068,6.103452175176211e-06,0.22257457859111615,6.98789213824191e-06,0.32647175,0.26099133,0.6269750000000001,-0.049982667,400
dmnelf003,-0.032379467,0.5184523735249592,-0.046586541165882275,0.35272347001866755,0.47379044,0.27221406,0.487275,-0.23423111,400
dmnelf004,-0.018499771,0.7122258845562369,-0.07609791311195695,0.1286620568262501,0.55637,0.45942292,0.457525,-0.013501048,400
dmnelf005,-0.105871916,0.03427986756904845,-0.0712442577766111,0.15495840307655911,0.34622666,0.27330628,0.49245,-0.22679412,400
dmnelf006,-0.22057103,8.484773544660984e-06,-0.27426677666735416,2.4690675431017438e-08,0.44353977,0.36085007,0.36119999999999997,-0.32277262,400
dmnelf007,-0.08763055,0.0800330692889415,-0.16586934918343238,0.0008681430771015612,0.41660535,0.33963454,0.36845000000000006,-0.1793139,400
dmnelf008,0.2142744,1.543533579503771e-05,0.18259614122588264,0.00024121977218014725,0.4787372,0.3270255,0.5841750000000001,0.024121404,400
dmnelf009,0.080139376,0.1095216487769411,0.01643541522134513,0.7431371824695014,0.39979315,0.31330916,0.529775,-0.0696913,400
dmnelf010,0.11194795,0.02515619622789214,0.08160107250670318,0.10317914618272665,0.35836822,0.29477274,0.5452,-0.06541467,400
dmnelf011,-0.0037799533,0.9399252403457422,0.014566591041194005,0.7714830827085102,0.2546865,0.19395472,0.49707500000000004,-0.024798274,400
dmnelf012,-0.0035741085,0.9431914816423562,0.028372677329233303,0.571535446527715,0.36564514,0.28867522,0.51085,-0.01648426,400
dmnelf013,-0.08117244,0.10500805276958981,0.005074906718166988,0.9194066622785444,0.23681535,0.16548881,0.501225,-1.2514827,400
dmnelf014,0.0112820985,0.8220238190543255,0.03226426415165095,0.5199429187656113,0.44058314,0.34723422,0.52815,-0.105044365,400
dmnelf015,-0.012298832,0.8062892354832805,-0.10740010875067968,0.03175389622686549,0.5561232,0.44635728,0.42350000000000004,-0.0606035,400
dmnelf016,-0.13382444,0.007358282066356562,-0.15538915868224173,0.0018269460043179907,0.35716587,0.2855292,0.4453249999999999,-0.133021,400
dmnelf1001,0.039884698,0.42631461079664196,0.047546547165919786,0.34287928516264654,0.36366415,0.29038128,0.48315,-0.014063001,400
dmnelf1002,-0.22380064,6.199803144232773e-06,-0.22703560647254042,4.50669669903244e-06,0.3516683,0.2793017,0.39227500000000004,-0.45850575,400
dmnelf1003,0.027295055,0.6108132819737417,0.040788997694441824,0.4468487757425066,0.33962846,0.27337,0.5537632653061224,-0.14975834,350
