epoch	train_total	val_total	val_pda	lr
5	5.430400	4.735678	0.128315	1.00e-04
10	5.158763	4.652801	0.130900	1.00e-04
15	4.937957	4.621646	0.130492	1.00e-04
20	4.718267	4.600223	0.129480	1.00e-04
25	4.563338	4.632079	0.132454	1.00e-04
30	4.441400	4.616797	0.134765	1.00e-04
35	4.306644	4.617714	0.133388	1.00e-04
40	4.221304	4.628173	0.135782	1.00e-04
45	4.120823	4.610040	0.132645	1.00e-04
50	4.085834	4.592163	0.133272	1.00e-04
55	3.994092	4.581271	0.131066	1.00e-04
60	3.948364	4.607382	0.135002	1.00e-04
65	3.889622	4.607954	0.134926	1.00e-04
70	3.827367	4.630962	0.137757	1.00e-04
75	3.785071	4.577723	0.132834	1.00e-04
80	3.759832	4.571068	0.133475	1.00e-04
85	3.722551	4.564797	0.131360	1.00e-04
90	3.675839	4.625476	0.141335	1.00e-04
95	3.663715	4.558378	0.133143	1.00e-04
100	3.605847	4.597986	0.136607	1.00e-04
105	3.586936	4.560787	0.133494	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.454545	4.754860	0.129456	1.00e-04
10	5.192205	4.649810	0.127007	1.00e-04
15	5.025028	4.616582	0.128113	1.00e-04
20	4.865693	4.677051	0.136746	1.00e-04
25	4.682150	4.687310	0.136832	1.00e-04
30	4.542662	4.599503	0.132725	1.00e-04
35	4.415558	4.645605	0.138004	1.00e-04
40	4.325033	4.641694	0.137234	1.00e-04
45	4.234851	4.675100	0.140928	1.00e-04
50	4.159141	4.642636	0.137863	1.00e-04
55	4.091606	4.675543	0.140422	1.00e-04
60	4.021576	4.647674	0.140523	1.00e-04
65	3.980381	4.676454	0.143328	1.00e-04
70	3.900284	4.669979	0.142764	1.00e-04
75	3.877575	4.721796	0.148808	1.00e-04
80	3.817392	4.622516	0.140722	1.00e-04
85	3.788191	4.684220	0.146291	1.00e-04
90	3.733591	4.666055	0.144816	1.00e-04
95	3.717778	4.668688	0.144398	1.00e-04
100	3.664811	4.732810	0.151662	1.00e-04
105	3.629604	4.648902	0.143497	1.00e-04
110	3.641693	4.638169	0.142532	1.00e-04
115	3.598695	4.603924	0.139290	1.00e-04
120	3.567602	4.595070	0.138875	1.00e-04
125	3.536383	4.615740	0.141401	1.00e-04
130	3.526080	4.594123	0.140224	1.00e-04
135	3.524018	4.725382	0.153381	1.00e-04
140	3.470072	4.633526	0.144024	1.00e-04
145	3.444578	4.605569	0.142011	1.00e-04
150	3.438414	4.613984	0.142795	1.00e-04
155	3.407895	4.572682	0.139536	1.00e-04
160	3.396327	4.566680	0.139857	1.00e-04
165	3.374786	4.621277	0.146397	1.00e-04
170	3.358618	4.685111	0.149228	1.00e-04
175	3.352195	4.614837	0.143642	1.00e-04
180	3.349976	4.556884	0.138627	1.00e-04
185	3.329062	4.585692	0.142009	1.00e-04
190	3.295260	4.564591	0.138908	1.00e-04
195	3.287190	4.551475	0.137930	1.00e-04
200	3.275823	4.542572	0.137296	1.00e-04
205	3.254664	4.520943	0.135022	1.00e-04
210	3.248710	4.559897	0.137018	1.00e-04
215	3.225054	4.528499	0.137488	1.00e-04
220	3.241039	4.541021	0.137362	1.00e-04
225	3.202819	4.551908	0.139461	1.00e-04
230	3.200812	4.563225	0.139549	1.00e-04
235	3.187467	4.497844	0.135362	1.00e-04
