target,resolution,electrode,n_train,n_test,mean_r,sign_flip_p
DMN,tr,TP10,17,19,0.07259969075394077,0.0036996300369963003
CEN,tr,POz,17,19,0.10499046152659217,0.00029997000299970003
PDA,tr,Pz,17,19,0.037332702674804284,0.07629237076292371
GSR_DMN,tr,F7,17,19,-0.005946082659396787,0.6417358264173583
GSR_CEN,tr,Fz,17,19,0.043510868752023014,0.0187981201879812
GSR_PDA,tr,P4,17,19,0.02731348183000403,0.038696130386961305
VIS,tr,O2,17,19,0.0734040134768431,0.004899510048995101
