subject,target,ttype,mode,window,r
rtbpd038,CEN,orig,best,fb,0.21521304560064342
rtbpd038,CEN,orig,frontal,fb,0.2617492982328332
rtbpd038,CEN,orig,all,fb,0.2563141099287214
rtbpd038,CEN,orig,epoc,fb,0.2240510924691348
rtbpd038,CEN,orig,epoc_afproxy,fb,0.3197887376483188
rtbpd038,DMN,orig,best,fb,0.18006560444789943
rtbpd038,DMN,orig,frontal,fb,0.180065086939184
rtbpd038,DMN,orig,all,fb,0.20147632493782094
rtbpd038,DMN,orig,epoc,fb,0.2042817976040895
rtbpd038,DMN,orig,epoc_afproxy,fb,0.18866784736114747
rtbpd038,PDA,orig,best,fb,0.16507528636068533
rtbpd038,PDA,orig,frontal,fb,0.2720423483137303
rtbpd038,PDA,orig,all,fb,0.267507792045172
rtbpd038,PDA,orig,epoc,fb,0.11838841298144509
rtbpd038,PDA,orig,epoc_afproxy,fb,0.27523046602699514
rtbpd038,CEN,clean,best,fb,0.10621785757459938
rtbpd038,CEN,clean,frontal,fb,0.11181908641941542
rtbpd038,CEN,clean,all,fb,0.12332304423813141
rtbpd038,CEN,clean,epoc,fb,0.09540262609800157
rtbpd038,CEN,clean,epoc_afproxy,fb,0.09153830488725041
rtbpd038,DMN,clean,best,fb,0.0765986890134116
rtbpd038,DMN,clean,frontal,fb,0.18263288474886155
rtbpd038,DMN,clean,all,fb,0.17222230259739588
rtbpd038,DMN,clean,epoc,fb,0.18021438654168934
rtbpd038,DMN,clean,epoc_afproxy,fb,0.18603726523751357
rtbpd038,PDA,clean,best,fb,0.09777961947629621
rtbpd038,PDA,clean,frontal,fb,0.05412712787455877
rtbpd038,PDA,clean,all,fb,0.06699104149986383
rtbpd038,PDA,clean,epoc,fb,0.00850738265855908
rtbpd038,PDA,clean,epoc_afproxy,fb,0.009189381293185663
