subject,target,ttype,mode,window,r
rtbpd022,CEN,orig,best,fb,0.00674891331514969
rtbpd022,CEN,orig,frontal,fb,-0.058829093749826034
rtbpd022,CEN,orig,all,fb,-0.036581354353277334
rtbpd022,CEN,orig,epoc,fb,0.019268356109995655
rtbpd022,CEN,orig,epoc_afproxy,fb,-0.12484828014086699
rtbpd022,DMN,orig,best,fb,-0.07819383067550387
rtbpd022,DMN,orig,frontal,fb,-0.15735780835596772
rtbpd022,DMN,orig,all,fb,-0.08234474163468668
rtbpd022,DMN,orig,epoc,fb,-0.0524710936709621
rtbpd022,DMN,orig,epoc_afproxy,fb,-0.09415619215365587
rtbpd022,PDA,orig,best,fb,0.11443196429433988
rtbpd022,PDA,orig,frontal,fb,0.07433629608145237
rtbpd022,PDA,orig,all,fb,0.004262381360255264
rtbpd022,PDA,orig,epoc,fb,0.06594706040524553
rtbpd022,PDA,orig,epoc_afproxy,fb,0.07645190028812329
rtbpd022,CEN,clean,best,fb,-0.052190553767525794
rtbpd022,CEN,clean,frontal,fb,-0.023368825607164568
rtbpd022,CEN,clean,all,fb,0.023712714547497113
rtbpd022,CEN,clean,epoc,fb,0.03828978147400843
rtbpd022,CEN,clean,epoc_afproxy,fb,0.01910347885755849
rtbpd022,DMN,clean,best,fb,0.009714611341970558
rtbpd022,DMN,clean,frontal,fb,0.027562523804594834
rtbpd022,DMN,clean,all,fb,0.04351047278009265
rtbpd022,DMN,clean,epoc,fb,0.053399528478581024
rtbpd022,DMN,clean,epoc_afproxy,fb,0.054753888812441066
rtbpd022,PDA,clean,best,fb,0.23564102605195317
rtbpd022,PDA,clean,frontal,fb,0.1990962317408909
rtbpd022,PDA,clean,all,fb,0.2133728075784057
rtbpd022,PDA,clean,epoc,fb,0.23835465203171305
rtbpd022,PDA,clean,epoc_afproxy,fb,0.22694981695155467
