subject,target,ttype,mode,window,r
rtbpd034,CEN,orig,best,fb,0.17468248890724627
rtbpd034,CEN,orig,frontal,fb,0.16811206821244526
rtbpd034,CEN,orig,all,fb,0.2791212797172703
rtbpd034,CEN,orig,epoc,fb,0.16820055497346648
rtbpd034,CEN,orig,epoc_afproxy,fb,0.16831859651022915
rtbpd034,DMN,orig,best,fb,0.18562692201245237
rtbpd034,DMN,orig,frontal,fb,0.23577908443329892
rtbpd034,DMN,orig,all,fb,0.2548294954167893
rtbpd034,DMN,orig,epoc,fb,0.2085166557210182
rtbpd034,DMN,orig,epoc_afproxy,fb,0.1967060252065611
rtbpd034,PDA,orig,best,fb,0.0687535368789626
rtbpd034,PDA,orig,frontal,fb,0.037854605481652336
rtbpd034,PDA,orig,all,fb,0.01082856829215121
rtbpd034,PDA,orig,epoc,fb,0.04180733265159204
rtbpd034,PDA,orig,epoc_afproxy,fb,0.05338008023627424
rtbpd034,CEN,clean,best,fb,0.008106540867697876
rtbpd034,CEN,clean,frontal,fb,0.09289740363984204
rtbpd034,CEN,clean,all,fb,0.10758755433687346
rtbpd034,CEN,clean,epoc,fb,0.015304253754326314
rtbpd034,CEN,clean,epoc_afproxy,fb,0.037700577206561815
rtbpd034,DMN,clean,best,fb,0.018491277394437546
rtbpd034,DMN,clean,frontal,fb,0.09227058599090465
rtbpd034,DMN,clean,all,fb,0.0791297856828164
rtbpd034,DMN,clean,epoc,fb,0.033754206744205414
rtbpd034,DMN,clean,epoc_afproxy,fb,0.04997499207048675
rtbpd034,PDA,clean,best,fb,-0.07821443179299666
rtbpd034,PDA,clean,frontal,fb,-0.11851162461009984
rtbpd034,PDA,clean,all,fb,-0.10316563291167304
rtbpd034,PDA,clean,epoc,fb,-0.11818236596695365
rtbpd034,PDA,clean,epoc_afproxy,fb,-0.12246726725920828
