subject,band,region,lag_sec,lag_tr,r,n_runs,n_tr_total
dmnelf004,0,DMN,-10.0,-8,0.13346386882221267,2,684
dmnelf004,0,DMN,-8.0,-7,0.13016917611368972,2,686
dmnelf004,0,DMN,-6.0,-5,0.16106155428706334,2,690
dmnelf004,0,DMN,-4.0,-3,0.15109525106786603,2,694
dmnelf004,0,DMN,-2.0,-2,0.11821290674884667,2,696
dmnelf004,0,DMN,0.0,0,0.06637597329440785,2,700
dmnelf004,0,DMN,2.0,2,0.0913658495463993,2,696
dmnelf004,0,DMN,4.0,3,0.08687389828232225,2,694
dmnelf004,0,DMN,6.0,5,0.05852277053583749,2,690
dmnelf004,0,DMN,8.0,7,0.06992026145756845,2,686
dmnelf004,0,DMN,10.0,8,0.04411258908133955,2,684
dmnelf004,0,CEN,-10.0,-8,0.002957228828575441,2,684
dmnelf004,0,CEN,-8.0,-7,0.02722566553657695,2,686
dmnelf004,0,CEN,-6.0,-5,0.07148801343245728,2,690
dmnelf004,0,CEN,-4.0,-3,0.06105345646477632,2,694
dmnelf004,0,CEN,-2.0,-2,0.05055886353322658,2,696
dmnelf004,0,CEN,0.0,0,0.04571029521828007,2,700
dmnelf004,0,CEN,2.0,2,0.0737223045467922,2,696
dmnelf004,0,CEN,4.0,3,0.07005969196208792,2,694
dmnelf004,0,CEN,6.0,5,0.03105373650175304,2,690
dmnelf004,0,CEN,8.0,7,0.03304182688210162,2,686
dmnelf004,0,CEN,10.0,8,0.015476102449187845,2,684
dmnelf004,1,DMN,-10.0,-8,0.04990355938796247,2,684
dmnelf004,1,DMN,-8.0,-7,0.06054928408347584,2,686
dmnelf004,1,DMN,-6.0,-5,0.08654631537577925,2,690
dmnelf004,1,DMN,-4.0,-3,0.09364075944071994,2,694
dmnelf004,1,DMN,-2.0,-2,0.08019941074525569,2,696
dmnelf004,1,DMN,0.0,0,0.0367839071905093,2,700
dmnelf004,1,DMN,2.0,2,0.08622630286384762,2,696
