subject,band,region,lag_sec,lag_tr,r,n_runs,n_tr_total
dmnelf011,0,DMN,-10.0,-8,0.006515506109903692,2,684
dmnelf011,0,DMN,-8.0,-7,0.03534384887305668,2,686
dmnelf011,0,DMN,-6.0,-5,0.06001760285925313,2,690
dmnelf011,0,DMN,-4.0,-3,0.0502063218045852,2,694
dmnelf011,0,DMN,-2.0,-2,0.044501019368543795,2,696
dmnelf011,0,DMN,0.0,0,0.06613711204642779,2,700
dmnelf011,0,DMN,2.0,2,0.04491893859171266,2,696
dmnelf011,0,DMN,4.0,3,0.06409682369296826,2,694
dmnelf011,0,DMN,6.0,5,0.09919338195407344,2,690
dmnelf011,0,DMN,8.0,7,0.1086358080712063,2,686
dmnelf011,0,DMN,10.0,8,0.10072361442919786,2,684
dmnelf011,0,CEN,-10.0,-8,-0.041854296009110364,2,684
dmnelf011,0,CEN,-8.0,-7,-0.027918844061025072,2,686
dmnelf011,0,CEN,-6.0,-5,-0.020174755929820716,2,690
dmnelf011,0,CEN,-4.0,-3,-0.026038371736717025,2,694
dmnelf011,0,CEN,-2.0,-2,-0.04614197916417288,2,696
dmnelf011,0,CEN,0.0,0,-0.059115332652292955,2,700
dmnelf011,0,CEN,2.0,2,-0.08663641585792187,2,696
dmnelf011,0,CEN,4.0,3,-0.06597340502273191,2,694
dmnelf011,0,CEN,6.0,5,-0.03444561821159508,2,690
dmnelf011,0,CEN,8.0,7,-0.04913836073118031,2,686
dmnelf011,0,CEN,10.0,8,-0.05505164610811302,2,684
dmnelf011,1,DMN,-10.0,-8,0.04458188941236235,2,684
dmnelf011,1,DMN,-8.0,-7,0.0708933599563993,2,686
dmnelf011,1,DMN,-6.0,-5,0.07143913108300286,2,690
dmnelf011,1,DMN,-4.0,-3,0.08442519665844864,2,694
dmnelf011,1,DMN,-2.0,-2,0.09881246509705309,2,696
dmnelf011,1,DMN,0.0,0,0.13987280879586392,2,700
dmnelf011,1,DMN,2.0,2,0.08238793994585876,2,696
dmnelf011,1,DMN,4.0,3,0.07917224313135741,2,694
dmnelf011,1,DMN,6.0,5,0.065664747613276,2,690
dmnelf011,1,DMN,8.0,7,0.05117347640886787,2,686
dmnelf011,1,DMN,10.0,8,0.03422640486561758,2,684
dmnelf011,1,CEN,-10.0,-8,-0.06290656884924718,2,684
dmnelf011,1,CEN,-8.0,-7,-0.04861991191121913,2,686
dmnelf011,1,CEN,-6.0,-5,-0.04377219119858545,2,690
dmnelf011,1,CEN,-4.0,-3,-0.04423358053879903,2,694
dmnelf011,1,CEN,-2.0,-2,-0.040611104798016925,2,696
dmnelf011,1,CEN,0.0,0,-0.005384136772225267,2,700
dmnelf011,1,CEN,2.0,2,-0.05516050986419821,2,696
dmnelf011,1,CEN,4.0,3,-0.06792408687533448,2,694
dmnelf011,1,CEN,6.0,5,-0.08569199766902784,2,690
dmnelf011,1,CEN,8.0,7,-0.10383883639669532,2,686
dmnelf011,1,CEN,10.0,8,-0.1062773473730854,2,684
dmnelf011,2,DMN,-10.0,-8,0.015302638675618188,2,684
dmnelf011,2,DMN,-8.0,-7,0.05193065098253706,2,686
dmnelf011,2,DMN,-6.0,-5,0.05196381378751934,2,690
dmnelf011,2,DMN,-4.0,-3,0.08257848902482619,2,694
dmnelf011,2,DMN,-2.0,-2,0.10148126800213317,2,696
dmnelf011,2,DMN,0.0,0,0.17011552179764236,2,700
dmnelf011,2,DMN,2.0,2,0.14750406575867836,2,696
dmnelf011,2,DMN,4.0,3,0.14532637918027586,2,694
dmnelf011,2,DMN,6.0,5,0.12227708289057962,2,690
dmnelf011,2,DMN,8.0,7,0.07988159660885162,2,686
dmnelf011,2,DMN,10.0,8,0.04938815959937908,2,684
dmnelf011,2,CEN,-10.0,-8,-0.1193841511882116,2,684
dmnelf011,2,CEN,-8.0,-7,-0.08505999831409192,2,686
dmnelf011,2,CEN,-6.0,-5,-0.08226826851930086,2,690
dmnelf011,2,CEN,-4.0,-3,-0.06181861273121887,2,694
dmnelf011,2,CEN,-2.0,-2,-0.04830253989956654,2,696
dmnelf011,2,CEN,0.0,0,0.039858453167002435,2,700
dmnelf011,2,CEN,2.0,2,0.0445578596832568,2,696
dmnelf011,2,CEN,4.0,3,0.031779277066202594,2,694
dmnelf011,2,CEN,6.0,5,-0.021841769539845582,2,690
dmnelf011,2,CEN,8.0,7,-0.07774755420870405,2,686
dmnelf011,2,CEN,10.0,8,-0.089391576095439,2,684
dmnelf011,3,DMN,-10.0,-8,-0.00754993982495,2,684
dmnelf011,3,DMN,-8.0,-7,0.019296052796204666,2,686
dmnelf011,3,DMN,-6.0,-5,0.006937484984192087,2,690
dmnelf011,3,DMN,-4.0,-3,0.015070321628165474,2,694
dmnelf011,3,DMN,-2.0,-2,0.02713095157707434,2,696
dmnelf011,3,DMN,0.0,0,0.07542597428807281,2,700
dmnelf011,3,DMN,2.0,2,0.08337282440300585,2,696
dmnelf011,3,DMN,4.0,3,0.07654465672139271,2,694
dmnelf011,3,DMN,6.0,5,0.036131969818575166,2,690
dmnelf011,3,DMN,8.0,7,0.01265059950620118,2,686
dmnelf011,3,DMN,10.0,8,-0.007476098658204404,2,684
dmnelf011,3,CEN,-10.0,-8,-0.09149790291578222,2,684
dmnelf011,3,CEN,-8.0,-7,-0.05930780448647382,2,686
dmnelf011,3,CEN,-6.0,-5,-0.04489271837987102,2,690
dmnelf011,3,CEN,-4.0,-3,-0.032989217332248216,2,694
dmnelf011,3,CEN,-2.0,-2,-0.02614405089097825,2,696
dmnelf011,3,CEN,0.0,0,0.011709381286238867,2,700
dmnelf011,3,CEN,2.0,2,0.016891665752176804,2,696
dmnelf011,3,CEN,4.0,3,0.00602961537129324,2,694
dmnelf011,3,CEN,6.0,5,-0.05488708581805884,2,690
dmnelf011,3,CEN,8.0,7,-0.07659676847377468,2,686
dmnelf011,3,CEN,10.0,8,-0.07070965260739433,2,684
dmnelf011,4,DMN,-10.0,-8,0.014090898099950388,2,684
dmnelf011,4,DMN,-8.0,-7,0.0399783267884052,2,686
dmnelf011,4,DMN,-6.0,-5,0.0396491830136261,2,690
dmnelf011,4,DMN,-4.0,-3,0.048408103587103325,2,694
dmnelf011,4,DMN,-2.0,-2,0.0428767874224547,2,696
dmnelf011,4,DMN,0.0,0,0.08439706494834985,2,700
dmnelf011,4,DMN,2.0,2,0.10735190684200434,2,696
dmnelf011,4,DMN,4.0,3,0.09712406307273223,2,694
dmnelf011,4,DMN,6.0,5,0.04581943930933984,2,690
dmnelf011,4,DMN,8.0,7,0.01990645464448095,2,686
dmnelf011,4,DMN,10.0,8,0.012798182179665357,2,684
dmnelf011,4,CEN,-10.0,-8,-0.05083206355746823,2,684
dmnelf011,4,CEN,-8.0,-7,-0.01756789347632072,2,686
dmnelf011,4,CEN,-6.0,-5,-0.02047966928182401,2,690
dmnelf011,4,CEN,-4.0,-3,-0.03526151521889269,2,694
dmnelf011,4,CEN,-2.0,-2,-0.051107128461989046,2,696
dmnelf011,4,CEN,0.0,0,-0.04954849633827079,2,700
dmnelf011,4,CEN,2.0,2,-0.060929828156769186,2,696
dmnelf011,4,CEN,4.0,3,-0.08913283992817199,2,694
dmnelf011,4,CEN,6.0,5,-0.12851577076509346,2,690
dmnelf011,4,CEN,8.0,7,-0.10759251722881001,2,686
dmnelf011,4,CEN,10.0,8,-0.08916960581687017,2,684
dmnelf011,5,DMN,-10.0,-8,0.040468244688069074,2,684
dmnelf011,5,DMN,-8.0,-7,0.04709706035257385,2,686
dmnelf011,5,DMN,-6.0,-5,0.04132543907663846,2,690
dmnelf011,5,DMN,-4.0,-3,0.0607060764286586,2,694
dmnelf011,5,DMN,-2.0,-2,0.06531650571522848,2,696
dmnelf011,5,DMN,0.0,0,0.1518912275640842,2,700
dmnelf011,5,DMN,2.0,2,0.167031950722299,2,696
dmnelf011,5,DMN,4.0,3,0.14534069470920047,2,694
dmnelf011,5,DMN,6.0,5,0.08499882443875635,2,690
dmnelf011,5,DMN,8.0,7,0.04107249503755307,2,686
dmnelf011,5,DMN,10.0,8,0.017248847106711023,2,684
dmnelf011,5,CEN,-10.0,-8,-0.0853168183990995,2,684
dmnelf011,5,CEN,-8.0,-7,-0.08039256351641363,2,686
dmnelf011,5,CEN,-6.0,-5,-0.09363750219888238,2,690
dmnelf011,5,CEN,-4.0,-3,-0.09348535873768261,2,694
dmnelf011,5,CEN,-2.0,-2,-0.10115205443340464,2,696
dmnelf011,5,CEN,0.0,0,-0.05416627241963349,2,700
dmnelf011,5,CEN,2.0,2,-0.05047938824802236,2,696
dmnelf011,5,CEN,4.0,3,-0.10229819983403453,2,694
dmnelf011,5,CEN,6.0,5,-0.16125644811314238,2,690
dmnelf011,5,CEN,8.0,7,-0.16633024873471722,2,686
dmnelf011,5,CEN,10.0,8,-0.16228610723333325,2,684
dmnelf011,6,DMN,-10.0,-8,0.026524984574884548,2,684
dmnelf011,6,DMN,-8.0,-7,0.030164551646633894,2,686
dmnelf011,6,DMN,-6.0,-5,0.01720110873714813,2,690
dmnelf011,6,DMN,-4.0,-3,0.031597039283832944,2,694
dmnelf011,6,DMN,-2.0,-2,0.0242645170073732,2,696
dmnelf011,6,DMN,0.0,0,0.10344411927950346,2,700
dmnelf011,6,DMN,2.0,2,0.10528472517780102,2,696
dmnelf011,6,DMN,4.0,3,0.09281548405736033,2,694
dmnelf011,6,DMN,6.0,5,0.03864713930059657,2,690
dmnelf011,6,DMN,8.0,7,0.013982774505683014,2,686
dmnelf011,6,DMN,10.0,8,-0.010457167240688816,2,684
dmnelf011,6,CEN,-10.0,-8,-0.053040967711651024,2,684
dmnelf011,6,CEN,-8.0,-7,-0.059421790217255036,2,686
dmnelf011,6,CEN,-6.0,-5,-0.07814263454955918,2,690
dmnelf011,6,CEN,-4.0,-3,-0.07293231857668216,2,694
dmnelf011,6,CEN,-2.0,-2,-0.08829303639320538,2,696
dmnelf011,6,CEN,0.0,0,-0.04131564534554847,2,700
dmnelf011,6,CEN,2.0,2,-0.04937515090670043,2,696
dmnelf011,6,CEN,4.0,3,-0.09496186735981896,2,694
dmnelf011,6,CEN,6.0,5,-0.17415531708747575,2,690
dmnelf011,6,CEN,8.0,7,-0.17927425738827132,2,686
dmnelf011,6,CEN,10.0,8,-0.1732954213667386,2,684
dmnelf011,7,DMN,-10.0,-8,0.004473837065671798,2,684
dmnelf011,7,DMN,-8.0,-7,-0.007889784793281517,2,686
dmnelf011,7,DMN,-6.0,-5,-0.035464495150740724,2,690
dmnelf011,7,DMN,-4.0,-3,-0.02271038596350286,2,694
dmnelf011,7,DMN,-2.0,-2,-0.0438159152416509,2,696
dmnelf011,7,DMN,0.0,0,0.04433061009624402,2,700
dmnelf011,7,DMN,2.0,2,0.01409204565742004,2,696
dmnelf011,7,DMN,4.0,3,0.020623176088651163,2,694
dmnelf011,7,DMN,6.0,5,-0.01931942920359975,2,690
dmnelf011,7,DMN,8.0,7,-0.027945235845785253,2,686
dmnelf011,7,DMN,10.0,8,-0.04647236571516381,2,684
dmnelf011,7,CEN,-10.0,-8,0.018317409098941157,2,684
dmnelf011,7,CEN,-8.0,-7,0.007463126884637633,2,686
dmnelf011,7,CEN,-6.0,-5,-0.022393563902244833,2,690
dmnelf011,7,CEN,-4.0,-3,-0.031089617225786525,2,694
dmnelf011,7,CEN,-2.0,-2,-0.053817500930801745,2,696
dmnelf011,7,CEN,0.0,0,0.009393393553258043,2,700
dmnelf011,7,CEN,2.0,2,-0.02059655214297801,2,696
dmnelf011,7,CEN,4.0,3,-0.03546940785380918,2,694
dmnelf011,7,CEN,6.0,5,-0.09464632847184931,2,690
dmnelf011,7,CEN,8.0,7,-0.09645310197462473,2,686
dmnelf011,7,CEN,10.0,8,-0.0924708999802223,2,684
dmnelf011,8,DMN,-10.0,-8,0.044090499884090945,2,684
dmnelf011,8,DMN,-8.0,-7,0.012747941618519061,2,686
dmnelf011,8,DMN,-6.0,-5,-0.0003905103160013218,2,690
dmnelf011,8,DMN,-4.0,-3,-0.01675490318692923,2,694
dmnelf011,8,DMN,-2.0,-2,-0.017114932505990853,2,696
dmnelf011,8,DMN,0.0,0,0.10379850100090761,2,700
dmnelf011,8,DMN,2.0,2,0.04347690345719558,2,696
dmnelf011,8,DMN,4.0,3,0.045663833608223375,2,694
dmnelf011,8,DMN,6.0,5,0.02074096990583232,2,690
dmnelf011,8,DMN,8.0,7,-0.013921745775104103,2,686
dmnelf011,8,DMN,10.0,8,-0.02044801586358839,2,684
dmnelf011,8,CEN,-10.0,-8,0.08129700714752791,2,684
dmnelf011,8,CEN,-8.0,-7,0.0610229363849436,2,686
dmnelf011,8,CEN,-6.0,-5,0.036586338174866076,2,690
dmnelf011,8,CEN,-4.0,-3,-0.017229778828315275,2,694
dmnelf011,8,CEN,-2.0,-2,-0.026473079242850698,2,696
dmnelf011,8,CEN,0.0,0,0.07609881022179252,2,700
dmnelf011,8,CEN,2.0,2,0.051900108574553995,2,696
dmnelf011,8,CEN,4.0,3,0.055016446352003076,2,694
dmnelf011,8,CEN,6.0,5,0.05009618401092232,2,690
dmnelf011,8,CEN,8.0,7,0.020069258296316547,2,686
dmnelf011,8,CEN,10.0,8,0.014932758234353872,2,684
dmnelf011,9,DMN,-10.0,-8,0.05364132510404652,2,684
dmnelf011,9,DMN,-8.0,-7,0.040944333202126884,2,686
dmnelf011,9,DMN,-6.0,-5,0.04193759923602987,2,690
dmnelf011,9,DMN,-4.0,-3,0.02166064850030869,2,694
dmnelf011,9,DMN,-2.0,-2,0.016953605632186057,2,696
dmnelf011,9,DMN,0.0,0,0.12545817233795414,2,700
dmnelf011,9,DMN,2.0,2,0.08225449259525504,2,696
dmnelf011,9,DMN,4.0,3,0.07772295724199293,2,694
dmnelf011,9,DMN,6.0,5,0.046373892805979096,2,690
dmnelf011,9,DMN,8.0,7,-0.0001810989510614368,2,686
dmnelf011,9,DMN,10.0,8,-0.003138665711919834,2,684
dmnelf011,9,CEN,-10.0,-8,0.09383903435241966,2,684
dmnelf011,9,CEN,-8.0,-7,0.07678271550752162,2,686
dmnelf011,9,CEN,-6.0,-5,0.058531847930207166,2,690
dmnelf011,9,CEN,-4.0,-3,0.00919912503249841,2,694
dmnelf011,9,CEN,-2.0,-2,-0.0038575852294086685,2,696
dmnelf011,9,CEN,0.0,0,0.1015130928222278,2,700
dmnelf011,9,CEN,2.0,2,0.09333896314166501,2,696
dmnelf011,9,CEN,4.0,3,0.09345248218810666,2,694
dmnelf011,9,CEN,6.0,5,0.092698185862989,2,690
dmnelf011,9,CEN,8.0,7,0.053119428564552,2,686
dmnelf011,9,CEN,10.0,8,0.03927307628431185,2,684
