subject,band,region,lag_sec,lag_tr,r,n_runs,n_tr_total
dmnelf015,0,DMN,-10.0,-8,-0.05224534938633263,2,684
dmnelf015,0,DMN,-8.0,-7,-0.06024140345623816,2,686
dmnelf015,0,DMN,-6.0,-5,-0.0676936321063748,2,690
dmnelf015,0,DMN,-4.0,-3,-0.04596169956273954,2,694
dmnelf015,0,DMN,-2.0,-2,-0.04002194542185129,2,696
dmnelf015,0,DMN,0.0,0,-0.042272494700632254,2,700
dmnelf015,0,DMN,2.0,2,-0.11946538862768606,2,696
dmnelf015,0,DMN,4.0,3,-0.11407879227879855,2,694
dmnelf015,0,DMN,6.0,5,-0.044706219444382835,2,690
dmnelf015,0,DMN,8.0,7,0.03149634692482042,2,686
dmnelf015,0,DMN,10.0,8,0.027205075413706134,2,684
dmnelf015,0,CEN,-10.0,-8,-0.08895181332225409,2,684
dmnelf015,0,CEN,-8.0,-7,-0.09940263792654952,2,686
dmnelf015,0,CEN,-6.0,-5,-0.10763496184423799,2,690
dmnelf015,0,CEN,-4.0,-3,-0.03674002947578714,2,694
dmnelf015,0,CEN,-2.0,-2,-0.017404783338109818,2,696
dmnelf015,0,CEN,0.0,0,0.004064777895109298,2,700
dmnelf015,0,CEN,2.0,2,-0.10677135006728392,2,696
dmnelf015,0,CEN,4.0,3,-0.1135646656331641,2,694
dmnelf015,0,CEN,6.0,5,-0.06201812625382285,2,690
dmnelf015,0,CEN,8.0,7,-0.013741446691785652,2,686
dmnelf015,0,CEN,10.0,8,-0.003880943017031421,2,684
dmnelf015,1,DMN,-10.0,-8,0.023084061303835775,2,684
dmnelf015,1,DMN,-8.0,-7,0.01681651331531377,2,686
dmnelf015,1,DMN,-6.0,-5,0.0013040107971889964,2,690
dmnelf015,1,DMN,-4.0,-3,-0.039329886963427756,2,694
dmnelf015,1,DMN,-2.0,-2,-0.032165732366688564,2,696
dmnelf015,1,DMN,0.0,0,0.008852183969236106,2,700
dmnelf015,1,DMN,2.0,2,0.10956255908160263,2,696
dmnelf015,1,DMN,4.0,3,0.12495829592124534,2,694
dmnelf015,1,DMN,6.0,5,0.05521210658568579,2,690
dmnelf015,1,DMN,8.0,7,0.013546612219458088,2,686
dmnelf015,1,DMN,10.0,8,0.018781862392432076,2,684
dmnelf015,1,CEN,-10.0,-8,-0.049757509161338635,2,684
dmnelf015,1,CEN,-8.0,-7,-0.05116526432032511,2,686
dmnelf015,1,CEN,-6.0,-5,-0.031480916271427066,2,690
dmnelf015,1,CEN,-4.0,-3,-0.05441822085160908,2,694
dmnelf015,1,CEN,-2.0,-2,-0.05403619643652772,2,696
dmnelf015,1,CEN,0.0,0,-0.08649461906932074,2,700
dmnelf015,1,CEN,2.0,2,-0.11009151944021708,2,696
dmnelf015,1,CEN,4.0,3,-0.13201347870508082,2,694
dmnelf015,1,CEN,6.0,5,-0.1788547394734066,2,690
dmnelf015,1,CEN,8.0,7,-0.1297817376809009,2,686
dmnelf015,1,CEN,10.0,8,-0.10110008037702878,2,684
dmnelf015,2,DMN,-10.0,-8,-0.013401401146027444,2,684
dmnelf015,2,DMN,-8.0,-7,-0.00851213035918517,2,686
dmnelf015,2,DMN,-6.0,-5,-0.01278025305606563,2,690
dmnelf015,2,DMN,-4.0,-3,-0.012452214166972581,2,694
dmnelf015,2,DMN,-2.0,-2,0.02868890181115922,2,696
dmnelf015,2,DMN,0.0,0,0.08529377878749532,2,700
dmnelf015,2,DMN,2.0,2,0.17539541614509738,2,696
dmnelf015,2,DMN,4.0,3,0.17821649497212977,2,694
dmnelf015,2,DMN,6.0,5,0.07267500163741776,2,690
dmnelf015,2,DMN,8.0,7,-0.02729945533068289,2,686
dmnelf015,2,DMN,10.0,8,-0.047311513064152176,2,684
dmnelf015,2,CEN,-10.0,-8,-0.06894718199762848,2,684
dmnelf015,2,CEN,-8.0,-7,-0.059762840631859195,2,686
dmnelf015,2,CEN,-6.0,-5,-0.0335821663708672,2,690
dmnelf015,2,CEN,-4.0,-3,-0.02996359999384476,2,694
dmnelf015,2,CEN,-2.0,-2,-0.024047023086669273,2,696
dmnelf015,2,CEN,0.0,0,-0.08047832322110013,2,700
