subject,run,n_tr,DMN,CEN,PDA,GSR_DMN,GSR_CEN,GSR_PDA
dmnelf001,1,125,0.182049666278001,0.12096706124945303,-0.0748702310356063,0.16494946190899315,0.08965015268551788,-0.09327094415115844
dmnelf001,2,125,0.19694721386359598,0.14355480327503858,-0.07240760163012598,0.16532282593679654,0.0961015712010736,-0.08783154332090956
dmnelf001,3,125,0.4090790013965891,0.4297884216726035,-0.08140788373725379,0.3627146821848805,0.39499937188740136,-0.041667481572396234
dmnelf001,4,125,0.09974186945730823,0.1082497707634894,-0.0024357940697250337,0.11721008796524329,0.12236541488377113,0.0034384331660470926
dmnelf004,1,125,0.16332408949734814,0.06466915296071758,-0.04207346226099619,0.17180173759382453,0.10358432371753622,-0.038085343938927874
dmnelf004,2,125,-0.3930887911103217,-0.30255290245701544,0.11247479734031635,-0.11053900821944693,-0.0022390991827752273,0.06512311186964352
dmnelf004,3,125,-0.3367863491887122,0.053145412046964706,0.24624762901965289,-0.2566507853212411,0.2479715501986644,0.28466160870287655
dmnelf004,4,125,0.0626339560294423,0.353482313419935,0.25563576924591147,-1.4176313184812962e-05,0.3941477430934455,0.28774845864464654
dmnelf005,1,125,0.383333146613767,0.5092948391570269,0.4510557186103362,0.262030762871242,0.4232457805960408,0.4104256207742232
dmnelf005,2,125,0.08594229879745535,0.5200376966277177,0.517263340173418,-0.014339198376043728,0.5686738974589816,0.4884862370029059
dmnelf005,3,125,-0.010442214514501566,0.298140452116475,0.3806607425681762,-0.07597628559047825,0.3718961783796582,0.3775662618669255
dmnelf005,4,125,0.08126463603327262,0.6081641153310307,0.5420316014083277,0.08816001228327097,0.6878794718375215,0.5450067237171213
dmnelf006,1,125,-0.17484405071728867,-0.1710199925960901,0.04855070593565154,-0.23764670378829741,-0.14968483812235417,0.004840050289690011
dmnelf006,2,125,0.3130921818021583,0.016777957841221356,-0.4315975131871719,0.29794641175656367,-0.22391755959726461,-0.3998181004685271
dmnelf006,3,125,0.18947847503641194,-0.0015021130629949851,-0.15936813709322578,0.1651503778998214,-0.09187398556440844,-0.15284314555201728
dmnelf006,4,125,0.13523291801322218,-0.05368907222184656,-0.2239413627107274,0.1266033186463601,-0.1504183531052878,-0.21136630499296788
dmnelf007,1,125,-0.24203257419106142,-0.2905400659387425,-0.1133584181389679,-0.11886619030193357,-0.23123197687511682,-0.13039731710639998
dmnelf007,2,125,-0.11969165181760529,-0.023183456810723695,0.13957039732686358,-0.40145908842008105,-0.3143777318733292,0.10634385704967564
dmnelf007,3,125,0.19432632442035663,0.16238407134015448,-0.0017265110081200643,0.13723518614252347,0.08395723659212444,-0.03512586368185901
dmnelf007,4,125,-0.11211917541696549,0.4397965450630637,0.71008316157416,-0.4039319528853255,0.6181610122499773,0.6982557192389284
dmnelf008,1,125,-0.38275931493373244,0.39978025542555157,0.6174313830027334,-0.33384760700863153,0.6726353187440324,0.5940201769076348
dmnelf008,2,125,-0.3115598868004682,-0.021000916495827658,0.2787074389204519,-0.04638921506608085,0.324248104010011,0.23772125565506347
dmnelf008,3,125,-0.2652696258859108,0.44675684239059793,0.5611331587014001,-0.373242544353364,0.6037387480000131,0.5629121034523822
dmnelf008,4,125,-0.2216689070694221,0.16848278870962724,0.32914494814744166,-0.3993040755968945,0.21192406210976739,0.37021291118906324
dmnelf009,1,125,-0.05665429839402074,0.05068276931633949,0.14487384669120684,0.08922071835314867,0.1688756528864128,0.10434484045504919
dmnelf009,2,125,-0.20536063383564404,0.05955354277234534,0.313562442714873,-0.23846804344844327,0.18259522699763578,0.30877577255213295
dmnelf009,3,125,-0.2768880887642307,0.060807466252500275,0.264538045614224,-0.19431535817306106,0.2147618636603903,0.26566848895794465
dmnelf009,4,125,-0.08068922898585075,-0.039043402725507256,0.046658222034162464,-0.036592113334796915,0.047137431056063626,0.062292562107194326
dmnelf010,1,125,-0.02613844344788003,-0.08278952621742752,-0.056198307004559606,0.07870321882743299,-0.01770999895757868,-0.08706838369782034
dmnelf010,2,125,-0.07709005322271702,-0.19500849462001305,-0.14590694921519493,0.014307083549844633,-0.2251962722894118,-0.1756421899945059
dmnelf010,3,125,-0.35035439849437117,-0.15316235431886796,0.21427900937871816,-0.16910804390003722,0.13199536282064,0.2349543967560678
dmnelf010,4,125,-0.09775770668253882,-0.20715302935796734,-0.07379992941008615,0.036640373690531115,-0.1414168615269598,-0.13424668282490548
dmnelf011,1,125,0.013591888817824692,0.029390234320139152,0.04082934396957576,0.25742707053410524,0.30707983231829244,0.08155507758735517
dmnelf011,2,125,-0.1748934281179671,-0.030594522438325434,0.23078738167708937,-0.1956141245106659,0.10090034971128277,0.25399290177200695
dmnelf011,3,125,-0.012249697732238812,0.09294194922480682,0.14918125464006182,-0.009112392035275916,0.17765469091956818,0.16111962404593627
dmnelf011,4,125,0.07789815703110001,0.08835937548383482,0.042610319082223555,-0.021119713258375823,-0.03134168200327997,-0.009988088290336842
dmnelf012,1,125,-0.1567212849696945,0.2518859648701898,0.3635511688244871,-0.2503141486636048,0.27398342935240105,0.3701325942137122
dmnelf012,2,125,-0.11065682617481816,-0.06835446556593973,0.03345604029214847,0.05155165396766298,0.13305411346592036,0.06436738040064763
dmnelf012,3,125,-0.06920961321288009,0.08758891459101745,0.1837258420744316,-0.07580089324319149,0.15235628775043675,0.18069307412472146
