target,state,mean_r,sem_r,n
DMN,1,-0.025736515839924694,0.02663949428908405,26
DMN,2,-0.07767272058083584,0.028670136374250827,25
DMN,3,0.017101837245657697,0.01984063946095733,11
DMN,4,-0.04216828218613755,0.02102621018254226,24
DMN,5,-0.12596392995350644,0.046097551618647294,4
DMN,6,-0.07164510826758724,0.07317586212599947,6
DMN,7,0.04984958182274485,0.024868123749703316,24
DMN,8,-0.03797649705853617,0.032712812270133944,9
DMN,9,-0.0601902207247304,0.02354668303520618,29
DMN,10,-0.04959672125384245,0.020787111225353806,32
DMN,11,0.004221610809988121,0.030130261426898855,17
DMN,12,-0.050449040358765476,0.02470287159350669,33
CEN,1,0.00214200100752198,0.02262105082020628,26
CEN,2,-0.03166380513149522,0.029395651353123154,25
CEN,3,0.021653610351728022,0.039982998840348956,11
CEN,4,0.03124973914401356,0.027846508546918284,24
CEN,5,-0.0825654605914035,0.05860975914914093,4
CEN,6,-0.13509632572160804,0.045784580350680185,6
CEN,7,0.014200910874515948,0.027632348508653173,24
CEN,8,-0.05340745712710831,0.03333844300680081,9
CEN,9,-0.013368717153795858,0.021728336621821994,29
CEN,10,-0.03549017656069853,0.023580085291004967,32
CEN,11,0.025953756730614803,0.018499997754475497,17
CEN,12,0.009071413859834855,0.025327773770649264,33
PDA,1,0.02094463925420267,0.02689854835781795,26
PDA,2,0.04367287571655908,0.022482111133299232,25
PDA,3,-0.0064327253115193375,0.033032088701226946,11
PDA,4,0.06588757121564838,0.02807451613077976,24
PDA,5,0.04120177311585778,0.044752875667884724,4
PDA,6,-0.054275160153716084,0.041109520209169526,6
PDA,7,-0.03699163992268981,0.02659181092926074,24
PDA,8,-0.011233858483796485,0.030760852036932587,9
PDA,9,0.04447515650463329,0.018220759418498832,29
PDA,10,0.013781122999290218,0.021741446770605195,32
PDA,11,0.0140696647424328,0.029149865419385693,17
PDA,12,0.06131458217471976,0.022459249436373088,33
GSR_DMN,1,-0.008681044929440395,0.02731911131417849,26
GSR_DMN,2,-0.013658222087466747,0.022100014747850918,25
GSR_DMN,3,0.026252808093576017,0.03015872484966115,11
GSR_DMN,4,-0.005297501324170835,0.025746184007590968,24
GSR_DMN,5,0.021263928588495407,0.07257155875844051,4
GSR_DMN,6,0.03992115205840873,0.048001250067784156,6
GSR_DMN,7,0.055899790878282084,0.022658083058952987,24
GSR_DMN,8,-0.021704113607881655,0.027968545868153647,9
GSR_DMN,9,-0.03612789818871138,0.02231383517430019,29
GSR_DMN,10,-0.002695688701396389,0.021021566259380384,32
GSR_DMN,11,0.027554380269703856,0.037399024009568536,17
GSR_DMN,12,-0.09695437729581582,0.020682194422698866,33
GSR_CEN,1,0.019869782771120455,0.019493005388088607,26
GSR_CEN,2,0.04305351772453941,0.023980803989029933,25
GSR_CEN,3,0.016637156073516846,0.03192805620899859,11
GSR_CEN,4,0.09419590544084104,0.02181329520333115,24
GSR_CEN,5,0.06789756401106023,0.020215901029519374,4
GSR_CEN,6,0.001106293593850144,0.040248992739369945,6
GSR_CEN,7,0.01179466933120854,0.031287189734752696,24
GSR_CEN,8,-0.045127184561057056,0.030427320196103086,9
GSR_CEN,9,0.021052510238599817,0.02192781451356743,29
GSR_CEN,10,0.01343300007045121,0.023741804553929907,32
GSR_CEN,11,0.047312011341019033,0.018590774443128528,17
GSR_CEN,12,-0.019881046779276667,0.02698301432867838,33
GSR_PDA,1,0.022477599523262785,0.026967595875199216,26
GSR_PDA,2,0.04199668317260416,0.02078580507954709,25
GSR_PDA,3,-0.002762164859183173,0.029570211541252313,11
GSR_PDA,4,0.07198949014140617,0.02760587290972445,24
GSR_PDA,5,0.02511715909262158,0.04964213393865172,4
GSR_PDA,6,-0.019185630589561988,0.05207107176584306,6
GSR_PDA,7,-0.03968649214860074,0.026554267701785237,24
GSR_PDA,8,-0.010139406095795686,0.032097491990699535,9
GSR_PDA,9,0.043286294563336304,0.018702404459388276,29
GSR_PDA,10,0.014790260544118477,0.022087840905044308,32
GSR_PDA,11,0.012524382324334267,0.02905411141908704,17
GSR_PDA,12,0.0625318633518703,0.022592254383438815,33
