subject,region,lag_sec,lag_tr,r,n_runs,n_tr_total
dmnelf1001,DMN,-10.0,-8,0.05110547874341689,2,684
dmnelf1001,DMN,-8.0,-7,0.04187402847363571,2,686
dmnelf1001,DMN,-6.0,-5,0.030992683473531468,2,690
dmnelf1001,DMN,-4.0,-3,0.028701414612913905,2,694
dmnelf1001,DMN,-2.0,-2,-0.005826389371115404,2,696
dmnelf1001,DMN,0.0,0,-0.05940055892618575,2,700
dmnelf1001,DMN,2.0,2,-0.05732634361798935,2,696
dmnelf1001,DMN,4.0,3,-0.02901043804458821,2,694
dmnelf1001,DMN,6.0,5,0.033569620649954085,2,690
dmnelf1001,DMN,8.0,7,0.05161620838396999,2,686
dmnelf1001,DMN,10.0,8,0.020902396815200175,2,684
dmnelf1001,CEN,-10.0,-8,-0.015142568098355047,2,684
dmnelf1001,CEN,-8.0,-7,-0.013087002440599179,2,686
dmnelf1001,CEN,-6.0,-5,-0.0036864115239708148,2,690
dmnelf1001,CEN,-4.0,-3,0.012853600489773985,2,694
dmnelf1001,CEN,-2.0,-2,-0.0013399154878372523,2,696
dmnelf1001,CEN,0.0,0,-0.027460063431773513,2,700
dmnelf1001,CEN,2.0,2,-0.013157179577944742,2,696
dmnelf1001,CEN,4.0,3,-0.025364438272105157,2,694
dmnelf1001,CEN,6.0,5,-0.039344911951160653,2,690
dmnelf1001,CEN,8.0,7,-0.041668565257062196,2,686
dmnelf1001,CEN,10.0,8,-0.05874806496616081,2,684
