subject,region,lag_sec,lag_tr,r,n_runs,n_tr_total
dmnelf015,DMN,-10.0,-8,0.0037053925005430784,2,684
dmnelf015,DMN,-8.0,-7,-0.012372455763837798,2,686
dmnelf015,DMN,-6.0,-5,-0.01622778013020354,2,690
dmnelf015,DMN,-4.0,-3,0.00870820043725577,2,694
dmnelf015,DMN,-2.0,-2,0.041735974443878616,2,696
dmnelf015,DMN,0.0,0,0.08746737574938204,2,700
dmnelf015,DMN,2.0,2,0.1361292320364309,2,696
dmnelf015,DMN,4.0,3,0.14066282713411152,2,694
dmnelf015,DMN,6.0,5,0.084287668617775,2,690
dmnelf015,DMN,8.0,7,0.0011609870340821148,2,686
dmnelf015,DMN,10.0,8,-0.031135605509370928,2,684
dmnelf015,CEN,-10.0,-8,-0.02088113069557743,2,684
dmnelf015,CEN,-8.0,-7,-0.008672838266265736,2,686
dmnelf015,CEN,-6.0,-5,-0.0019683092074126627,2,690
dmnelf015,CEN,-4.0,-3,0.011555663514407984,2,694
dmnelf015,CEN,-2.0,-2,0.035975750075016244,2,696
dmnelf015,CEN,0.0,0,0.018209759437180693,2,700
dmnelf015,CEN,2.0,2,-0.0058296553512269715,2,696
dmnelf015,CEN,4.0,3,-0.030137922476017504,2,694
dmnelf015,CEN,6.0,5,-0.04512646029710132,2,690
dmnelf015,CEN,8.0,7,-0.036257643992679646,2,686
dmnelf015,CEN,10.0,8,-0.044934987712911566,2,684
