subject,region,lag_sec,lag_tr,r,n_runs,n_tr_total
dmnelf006,CEN,10.0,8,-0.12796289238750175,2,684
dmnelf007,DMN,-10.0,-8,0.07182920274064862,2,684
dmnelf007,DMN,-8.0,-7,0.0721021447263551,2,686
dmnelf007,DMN,-6.0,-5,0.05453426800521993,2,690
dmnelf007,DMN,-4.0,-3,-0.004606508787853906,2,694
dmnelf007,DMN,-2.0,-2,-0.06678309537480828,2,696
dmnelf007,DMN,0.0,0,-0.10686093530268369,2,700
dmnelf007,DMN,2.0,2,-0.09775500431586448,2,696
dmnelf007,DMN,4.0,3,-0.08652010971292234,2,694
dmnelf007,DMN,6.0,5,-0.09770856357141124,2,690
dmnelf007,DMN,8.0,7,-0.06614813636918332,2,686
dmnelf007,DMN,10.0,8,-0.04511110790245595,2,684
dmnelf007,CEN,-10.0,-8,0.04543371933704235,2,684
dmnelf007,CEN,-8.0,-7,0.06852658576127461,2,686
dmnelf007,CEN,-6.0,-5,0.03677891890808195,2,690
dmnelf007,CEN,-4.0,-3,-0.032692415345276435,2,694
dmnelf007,CEN,-2.0,-2,-0.08012741774176399,2,696
dmnelf007,CEN,0.0,0,-0.12272404805347659,2,700
dmnelf007,CEN,2.0,2,-0.1330143650535892,2,696
dmnelf007,CEN,4.0,3,-0.11523685019153103,2,694
dmnelf007,CEN,6.0,5,-0.09262633830758568,2,690
dmnelf007,CEN,8.0,7,-0.032950533730942116,2,686
dmnelf007,CEN,10.0,8,-0.01146281836910096,2,684
dmnelf008,DMN,-10.0,-8,0.012887153512442368,2,684
dmnelf008,DMN,-8.0,-7,-0.03684097594761663,2,686
dmnelf008,DMN,-6.0,-5,-0.03398233616470418,2,690
dmnelf008,DMN,-4.0,-3,-0.025738513025411473,2,694
dmnelf008,DMN,-2.0,-2,-0.05813798566287041,2,696
dmnelf008,DMN,0.0,0,-0.021817901110418855,2,700
dmnelf008,DMN,2.0,2,0.008525285260018611,2,696
dmnelf008,DMN,4.0,3,0.05093914524795591,2,694
dmnelf008,DMN,6.0,5,-0.007835481068606749,2,690
dmnelf008,DMN,8.0,7,0.014137999355104923,2,686
dmnelf008,DMN,10.0,8,-0.019403251217140084,2,684
dmnelf008,CEN,-10.0,-8,0.02257423027871779,2,684
dmnelf008,CEN,-8.0,-7,0.02875351497398627,2,686
dmnelf008,CEN,-6.0,-5,0.008421203747776,2,690
dmnelf008,CEN,-4.0,-3,0.022780061142354348,2,694
dmnelf008,CEN,-2.0,-2,0.0024856459753460464,2,696
dmnelf008,CEN,0.0,0,-0.0005514345174694357,2,700
dmnelf008,CEN,2.0,2,0.019859175094014827,2,696
dmnelf008,CEN,4.0,3,0.03064864098927821,2,694
dmnelf008,CEN,6.0,5,0.015838084183596786,2,690
dmnelf008,CEN,8.0,7,0.052079911580904296,2,686
dmnelf008,CEN,10.0,8,0.0652197802648738,2,684
dmnelf009,DMN,-10.0,-8,0.0015984711179127579,2,684
dmnelf009,DMN,-8.0,-7,0.020821135630330105,2,686
dmnelf009,DMN,-6.0,-5,-0.04075096187374471,2,690
dmnelf009,DMN,-4.0,-3,-0.018451261613210423,2,694
dmnelf009,DMN,-2.0,-2,-0.011073239488322421,2,696
dmnelf009,DMN,0.0,0,-0.01609178262585937,2,700
dmnelf009,DMN,2.0,2,0.05892876572996569,2,696
