cohort,subject,target,method,electrode,n_trs,r
rtBPD,rtbpd004,CEN,HRF,CP6,600,0.11484426543416565
rtBPD,rtbpd009,CEN,HRF,CP6,750,0.2939584286378576
rtBPD,rtbpd010,CEN,HRF,CP6,750,0.29157995127443975
rtBPD,rtbpd011,CEN,HRF,CP6,750,0.05161425822425842
rtBPD,rtbpd012,CEN,HRF,CP6,750,0.030278529731012353
rtBPD,rtbpd013,CEN,HRF,CP6,750,-0.02479928941895909
rtBPD,rtbpd015,CEN,HRF,CP6,750,0.11448056069322768
rtBPD,rtbpd018,CEN,HRF,CP6,750,0.20316993030385005
rtBPD,rtbpd020,CEN,HRF,CP6,750,0.07081064428957846
rtBPD,rtbpd021,CEN,HRF,CP6,750,0.21758738811391976
rtBPD,rtbpd022,CEN,HRF,CP6,600,0.0829743860915021
rtBPD,rtbpd024,CEN,HRF,CP6,750,0.2821127682860347
rtBPD,rtbpd026,CEN,HRF,CP6,750,0.07174278147368125
rtBPD,rtbpd030,CEN,HRF,CP6,750,0.19392014403502733
rtBPD,rtbpd034,CEN,HRF,CP6,750,0.13400739484823498
rtBPD,rtbpd038,CEN,HRF,CP6,750,0.09574279456697515
rtBPD,rtbpd040,CEN,HRF,CP6,750,0.00010538224430615582
rtBPD,rtbpd002,CEN,TA,CP6,750,0.25061358159034935
rtBPD,rtbpd003,CEN,TA,CP6,750,0.046014187527229654
rtBPD,rtbpd004,CEN,TA,CP6,600,0.133517015555733
rtBPD,rtbpd009,CEN,TA,CP6,750,0.18488740101557283
rtBPD,rtbpd010,CEN,TA,CP6,750,-0.0059994693065988525
rtBPD,rtbpd011,CEN,TA,CP6,750,-0.06790498381699035
rtBPD,rtbpd012,CEN,TA,CP6,750,-0.12282026494852213
rtBPD,rtbpd013,CEN,TA,CP6,750,0.23372216733609577
rtBPD,rtbpd015,CEN,TA,CP6,750,0.08893472106515497
rtBPD,rtbpd018,CEN,TA,CP6,750,-0.06657287116079008
rtBPD,rtbpd020,CEN,TA,CP6,750,0.22591563649023175
rtBPD,rtbpd021,CEN,TA,CP6,750,0.0872401101902074
rtBPD,rtbpd022,CEN,TA,CP6,600,0.02732211631725908
rtBPD,rtbpd024,CEN,TA,CP6,750,0.03070075319322653
rtBPD,rtbpd026,CEN,TA,CP6,750,0.03372895938717317
rtBPD,rtbpd030,CEN,TA,CP6,750,-0.01757986714441307
rtBPD,rtbpd034,CEN,TA,CP6,750,-0.039456094091408454
rtBPD,rtbpd038,CEN,TA,CP6,750,0.05268199779098323
rtBPD,rtbpd040,CEN,TA,CP6,750,0.14149104102765597
rtBPD,rtbpd002,PDA,EFP,Pz,700,0.413239009879648
rtBPD,rtbpd003,PDA,EFP,Pz,700,-0.06836954581866035
rtBPD,rtbpd004,PDA,EFP,Pz,560,0.06536323061661087
rtBPD,rtbpd009,PDA,EFP,Pz,700,0.08333009447334357
rtBPD,rtbpd010,PDA,EFP,Pz,700,0.35755142932207457
rtBPD,rtbpd011,PDA,EFP,Pz,700,0.1904882285758578
rtBPD,rtbpd012,PDA,EFP,Pz,700,-0.0610348170444539
rtBPD,rtbpd013,PDA,EFP,Pz,700,-0.05218868194575584
rtBPD,rtbpd015,PDA,EFP,Pz,700,0.02779388950616015
rtBPD,rtbpd018,PDA,EFP,Pz,700,0.018606843300583722
rtBPD,rtbpd020,PDA,EFP,Pz,700,0.027402172693807795
rtBPD,rtbpd021,PDA,EFP,Pz,700,0.029512989174244407
rtBPD,rtbpd022,PDA,EFP,Pz,560,0.030243603521514992
rtBPD,rtbpd024,PDA,EFP,Pz,700,0.29484693533342937
rtBPD,rtbpd026,PDA,EFP,Pz,700,0.10037155532764461
rtBPD,rtbpd030,PDA,EFP,Pz,700,-0.08709340849499864
rtBPD,rtbpd034,PDA,EFP,Pz,700,-0.03843458409804369
rtBPD,rtbpd038,PDA,EFP,Pz,700,0.2492930354743944
rtBPD,rtbpd040,PDA,EFP,Pz,700,-0.05286353069347963
rtBPD,rtbpd002,PDA,HRF,Pz,750,0.30912439463556773
rtBPD,rtbpd003,PDA,HRF,Pz,750,0.019814215428382808
rtBPD,rtbpd004,PDA,HRF,Pz,600,0.10590487177252474
rtBPD,rtbpd009,PDA,HRF,Pz,750,0.12905082299421244
rtBPD,rtbpd010,PDA,HRF,Pz,750,0.2947301686377627
rtBPD,rtbpd011,PDA,HRF,Pz,750,0.2493291451618809
rtBPD,rtbpd012,PDA,HRF,Pz,750,-0.06339070111955214
rtBPD,rtbpd013,PDA,HRF,Pz,750,0.06181633323179878
rtBPD,rtbpd015,PDA,HRF,Pz,750,-0.004325121034908185
rtBPD,rtbpd018,PDA,HRF,Pz,750,-0.04570852656369383
rtBPD,rtbpd020,PDA,HRF,Pz,750,-0.2798161630976217
rtBPD,rtbpd021,PDA,HRF,Pz,750,0.030769783007413114
rtBPD,rtbpd022,PDA,HRF,Pz,600,0.179881996140959
rtBPD,rtbpd024,PDA,HRF,Pz,750,0.21937116527550088
rtBPD,rtbpd026,PDA,HRF,Pz,750,-0.09192079477579942
rtBPD,rtbpd030,PDA,HRF,Pz,750,-0.33547244523824377
rtBPD,rtbpd034,PDA,HRF,Pz,750,-0.04485499203763465
rtBPD,rtbpd038,PDA,HRF,Pz,750,0.1957555020497066
rtBPD,rtbpd040,PDA,HRF,Pz,750,-0.05819153887546463
rtBPD,rtbpd002,PDA,TA,Pz,750,-0.1658535238355425
rtBPD,rtbpd003,PDA,TA,Pz,750,0.014076769426126132
rtBPD,rtbpd004,PDA,TA,Pz,600,-0.05888594408717518
rtBPD,rtbpd009,PDA,TA,Pz,750,-0.03492942245655849
rtBPD,rtbpd010,PDA,TA,Pz,750,0.01599852224439052
rtBPD,rtbpd011,PDA,TA,Pz,750,0.09833102922669065
rtBPD,rtbpd012,PDA,TA,Pz,750,0.06632014040508985
rtBPD,rtbpd013,PDA,TA,Pz,750,0.18667857683975247
rtBPD,rtbpd015,PDA,TA,Pz,750,-0.17324551310848738
rtBPD,rtbpd018,PDA,TA,Pz,750,-0.008415668191006219
rtBPD,rtbpd020,PDA,TA,Pz,750,-0.3338902776273459
rtBPD,rtbpd021,PDA,TA,Pz,750,0.025798878668143888
rtBPD,rtbpd022,PDA,TA,Pz,600,-0.08914525013030805
rtBPD,rtbpd024,PDA,TA,Pz,750,0.09684825270939111
rtBPD,rtbpd026,PDA,TA,Pz,750,-0.050652203555689765
rtBPD,rtbpd030,PDA,TA,Pz,750,0.28323859697814996
rtBPD,rtbpd034,PDA,TA,Pz,750,-0.06147310026500089
rtBPD,rtbpd038,PDA,TA,Pz,750,-0.08177144338512829
rtBPD,rtbpd040,PDA,TA,Pz,750,-0.13136005749890092
rtBPD,rtbpd002,GSR_DMN,EFP,Cz,700,-0.03426095559510421
rtBPD,rtbpd003,GSR_DMN,EFP,Cz,700,0.021697376233244952
rtBPD,rtbpd004,GSR_DMN,EFP,Cz,560,0.023929425494511887
rtBPD,rtbpd009,GSR_DMN,EFP,Cz,700,-0.07457203882430363
rtBPD,rtbpd010,GSR_DMN,EFP,Cz,700,0.08570739868043814
rtBPD,rtbpd011,GSR_DMN,EFP,Cz,700,-0.05216635570239113
rtBPD,rtbpd012,GSR_DMN,EFP,Cz,700,0.054861654409891714
rtBPD,rtbpd013,GSR_DMN,EFP,Cz,700,0.05053456698553034
rtBPD,rtbpd015,GSR_DMN,EFP,Cz,700,-0.10418125448768524
rtBPD,rtbpd018,GSR_DMN,EFP,Cz,700,0.13409963527178714
rtBPD,rtbpd020,GSR_DMN,EFP,Cz,700,0.020322949111889095
rtBPD,rtbpd021,GSR_DMN,EFP,Cz,700,0.03740265895073615
rtBPD,rtbpd022,GSR_DMN,EFP,Cz,560,-0.014790344831185905
rtBPD,rtbpd024,GSR_DMN,EFP,Cz,700,0.028732186718446753
rtBPD,rtbpd026,GSR_DMN,EFP,Cz,700,0.1412545933650582
rtBPD,rtbpd030,GSR_DMN,EFP,Cz,700,0.12023943254210383
rtBPD,rtbpd034,GSR_DMN,EFP,Cz,700,-0.026271214387066855
rtBPD,rtbpd038,GSR_DMN,EFP,Cz,700,0.1432474717732243
rtBPD,rtbpd040,GSR_DMN,EFP,Cz,700,0.11352526392873408
rtBPD,rtbpd002,GSR_DMN,HRF,Cz,750,0.16052890397528657
rtBPD,rtbpd003,GSR_DMN,HRF,Cz,750,0.09181594978715356
rtBPD,rtbpd004,GSR_DMN,HRF,Cz,600,0.1842272570359275
