cohort,subject,target,method,electrode,n_trs,r
rtBPD,rtbpd003,PDA,HRF,Pz,750,0.14474293453804563
rtBPD,rtbpd009,PDA,HRF,Pz,750,-0.11913899293153095
rtBPD,rtbpd010,PDA,HRF,Pz,750,0.3316418219870967
rtBPD,rtbpd011,PDA,HRF,Pz,600,0.2747787298975935
rtBPD,rtbpd015,PDA,HRF,Pz,750,0.07719732385205623
rtBPD,rtbpd022,PDA,HRF,Pz,750,0.14522979381879
rtBPD,rtbpd026,PDA,HRF,Pz,750,0.0023372631654199833
rtBPD,rtbpd027,PDA,HRF,Pz,750,0.3944024409686069
rtBPD,rtbpd028,PDA,HRF,Pz,600,-0.18796644815955485
rtBPD,rtbpd030,PDA,HRF,Pz,750,0.19472151892085987
rtBPD,rtbpd002,PDA,TA,Pz,450,0.14921926489406145
rtBPD,rtbpd003,PDA,TA,Pz,750,-0.005756963502272361
rtBPD,rtbpd009,PDA,TA,Pz,750,-0.1542669983764679
rtBPD,rtbpd010,PDA,TA,Pz,750,-0.026833115049013714
rtBPD,rtbpd011,PDA,TA,Pz,600,-0.06526799440930782
rtBPD,rtbpd015,PDA,TA,Pz,750,-0.16065235149941873
rtBPD,rtbpd022,PDA,TA,Pz,750,-0.03628830387836553
rtBPD,rtbpd026,PDA,TA,Pz,750,0.04720649469848723
rtBPD,rtbpd027,PDA,TA,Pz,750,0.1180013605345564
rtBPD,rtbpd028,PDA,TA,Pz,600,-0.14085559149772728
rtBPD,rtbpd030,PDA,TA,Pz,750,0.05785254334272149
rtBPD,rtbpd002,GSR_DMN,EFP,Cz,420,0.07896271182722289
rtBPD,rtbpd003,GSR_DMN,EFP,Cz,700,0.1035782051742115
rtBPD,rtbpd009,GSR_DMN,EFP,Cz,700,0.06984096428440802
rtBPD,rtbpd010,GSR_DMN,EFP,Cz,700,-0.0185713294604273
rtBPD,rtbpd011,GSR_DMN,EFP,Cz,560,-0.10092455401214184
rtBPD,rtbpd015,GSR_DMN,EFP,Cz,700,0.13077410966613462
rtBPD,rtbpd022,GSR_DMN,EFP,Cz,700,0.09575483210423037
rtBPD,rtbpd026,GSR_DMN,EFP,Cz,700,-0.03828891539857815
rtBPD,rtbpd027,GSR_DMN,EFP,Cz,700,-0.11243079298839594
rtBPD,rtbpd028,GSR_DMN,EFP,Cz,560,-0.06273596519736765
rtBPD,rtbpd030,GSR_DMN,EFP,Cz,700,0.2411762907655502
rtBPD,rtbpd002,GSR_DMN,HRF,Cz,450,0.15470584325315473
rtBPD,rtbpd003,GSR_DMN,HRF,Cz,750,-0.03320050339348428
rtBPD,rtbpd009,GSR_DMN,HRF,Cz,750,-0.04308674561670244
rtBPD,rtbpd010,GSR_DMN,HRF,Cz,750,0.027367672308785455
rtBPD,rtbpd011,GSR_DMN,HRF,Cz,600,0.04687015623273765
rtBPD,rtbpd015,GSR_DMN,HRF,Cz,750,0.08344721443805954
rtBPD,rtbpd022,GSR_DMN,HRF,Cz,750,0.2433546421897651
rtBPD,rtbpd026,GSR_DMN,HRF,Cz,750,-0.06348381781414637
rtBPD,rtbpd027,GSR_DMN,HRF,Cz,750,0.03411277914700758
rtBPD,rtbpd028,GSR_DMN,HRF,Cz,600,0.05166831749285304
rtBPD,rtbpd030,GSR_DMN,HRF,Cz,750,0.07670535133328131
rtBPD,rtbpd002,GSR_DMN,TA,Cz,450,-0.1107163154640412
rtBPD,rtbpd003,GSR_DMN,TA,Cz,750,0.007650669313038017
rtBPD,rtbpd009,GSR_DMN,TA,Cz,750,0.14895107371501012
rtBPD,rtbpd010,GSR_DMN,TA,Cz,750,0.10929424179136249
rtBPD,rtbpd011,GSR_DMN,TA,Cz,600,-0.026314516191054925
rtBPD,rtbpd015,GSR_DMN,TA,Cz,750,-0.05872194904147941
rtBPD,rtbpd022,GSR_DMN,TA,Cz,750,0.11838076962325847
rtBPD,rtbpd026,GSR_DMN,TA,Cz,750,-0.04568019311915007
rtBPD,rtbpd027,GSR_DMN,TA,Cz,750,-0.06034047398760888
rtBPD,rtbpd028,GSR_DMN,TA,Cz,600,0.13017979384967865
rtBPD,rtbpd030,GSR_DMN,TA,Cz,750,-0.15411549423373655
rtBPD,rtbpd002,GSR_CEN,EFP,Pz,420,0.03996239660406828
rtBPD,rtbpd003,GSR_CEN,EFP,Pz,700,0.314764319355687
rtBPD,rtbpd009,GSR_CEN,EFP,Pz,700,0.04655064828592634
rtBPD,rtbpd010,GSR_CEN,EFP,Pz,700,0.1489605068099361
rtBPD,rtbpd011,GSR_CEN,EFP,Pz,560,0.1921960105431712
rtBPD,rtbpd015,GSR_CEN,EFP,Pz,700,-0.03438824385096409
rtBPD,rtbpd022,GSR_CEN,EFP,Pz,700,0.08451920681407994
rtBPD,rtbpd026,GSR_CEN,EFP,Pz,700,0.02498627851862268
rtBPD,rtbpd027,GSR_CEN,EFP,Pz,700,0.29506044536273096
rtBPD,rtbpd028,GSR_CEN,EFP,Pz,560,-0.07182262944426779
rtBPD,rtbpd030,GSR_CEN,EFP,Pz,700,0.19022125684119576
rtBPD,rtbpd002,GSR_CEN,HRF,Pz,450,0.11321385160186316
rtBPD,rtbpd003,GSR_CEN,HRF,Pz,750,0.08844898699548373
rtBPD,rtbpd009,GSR_CEN,HRF,Pz,750,-0.07521184412367027
rtBPD,rtbpd010,GSR_CEN,HRF,Pz,750,0.1483207103997195
rtBPD,rtbpd011,GSR_CEN,HRF,Pz,600,0.16158616584799756
rtBPD,rtbpd015,GSR_CEN,HRF,Pz,750,0.10652777751330927
rtBPD,rtbpd022,GSR_CEN,HRF,Pz,750,0.02853909525863001
rtBPD,rtbpd026,GSR_CEN,HRF,Pz,750,-0.10139409412952734
rtBPD,rtbpd027,GSR_CEN,HRF,Pz,750,0.24066573306528122
rtBPD,rtbpd028,GSR_CEN,HRF,Pz,600,-0.02755379085757452
rtBPD,rtbpd030,GSR_CEN,HRF,Pz,750,0.11058156898022006
rtBPD,rtbpd002,GSR_CEN,TA,Pz,450,0.14425857899841305
rtBPD,rtbpd003,GSR_CEN,TA,Pz,750,-0.08721932786301896
rtBPD,rtbpd009,GSR_CEN,TA,Pz,750,-0.10886573008787967
rtBPD,rtbpd010,GSR_CEN,TA,Pz,750,-0.03656351963627996
rtBPD,rtbpd011,GSR_CEN,TA,Pz,600,-0.04012691221070192
rtBPD,rtbpd015,GSR_CEN,TA,Pz,750,-0.11763843205689874
rtBPD,rtbpd022,GSR_CEN,TA,Pz,750,0.029897717969106254
rtBPD,rtbpd026,GSR_CEN,TA,Pz,750,-0.006678955178103211
rtBPD,rtbpd027,GSR_CEN,TA,Pz,750,0.1263027758152323
rtBPD,rtbpd028,GSR_CEN,TA,Pz,600,-0.022001657723277734
rtBPD,rtbpd030,GSR_CEN,TA,Pz,750,-0.006396226960773339
rtBPD,rtbpd002,GSR_PDA,EFP,Pz,420,0.1327451314680281
rtBPD,rtbpd003,GSR_PDA,EFP,Pz,700,0.19246343174380207
rtBPD,rtbpd009,GSR_PDA,EFP,Pz,700,-0.03932496779574123
rtBPD,rtbpd010,GSR_PDA,EFP,Pz,700,0.26972400691277637
rtBPD,rtbpd011,GSR_PDA,EFP,Pz,560,0.28295384504491145
rtBPD,rtbpd015,GSR_PDA,EFP,Pz,700,-0.01203136096433589
rtBPD,rtbpd022,GSR_PDA,EFP,Pz,700,0.08891381271841528
rtBPD,rtbpd026,GSR_PDA,EFP,Pz,700,0.05347289283118043
rtBPD,rtbpd027,GSR_PDA,EFP,Pz,700,0.3658217243454537
rtBPD,rtbpd028,GSR_PDA,EFP,Pz,560,-0.08924407519518743
rtBPD,rtbpd030,GSR_PDA,EFP,Pz,700,0.21480315198441777
rtBPD,rtbpd002,GSR_PDA,HRF,Pz,450,0.18698012984003512
rtBPD,rtbpd003,GSR_PDA,HRF,Pz,750,0.13290550050676156
rtBPD,rtbpd009,GSR_PDA,HRF,Pz,750,-0.09931673266436829
rtBPD,rtbpd010,GSR_PDA,HRF,Pz,750,0.3221943955101351
rtBPD,rtbpd011,GSR_PDA,HRF,Pz,600,0.23026847809944728
rtBPD,rtbpd015,GSR_PDA,HRF,Pz,750,0.06859006558165218
rtBPD,rtbpd022,GSR_PDA,HRF,Pz,750,0.11576534199191768
rtBPD,rtbpd026,GSR_PDA,HRF,Pz,750,-0.010399775061429821
rtBPD,rtbpd027,GSR_PDA,HRF,Pz,750,0.34528445528620966
rtBPD,rtbpd028,GSR_PDA,HRF,Pz,600,-0.17591413428952324
rtBPD,rtbpd030,GSR_PDA,HRF,Pz,750,0.18756298528116835
rtBPD,rtbpd002,GSR_PDA,TA,Pz,450,0.193576413150541
rtBPD,rtbpd003,GSR_PDA,TA,Pz,750,-0.02978607734622812
rtBPD,rtbpd009,GSR_PDA,TA,Pz,750,-0.1373039143650744
rtBPD,rtbpd010,GSR_PDA,TA,Pz,750,-0.011446029656495355
rtBPD,rtbpd011,GSR_PDA,TA,Pz,600,-0.0737604164724819
rtBPD,rtbpd015,GSR_PDA,TA,Pz,750,-0.1351969804755082
rtBPD,rtbpd022,GSR_PDA,TA,Pz,750,-0.02694167797746815
rtBPD,rtbpd026,GSR_PDA,TA,Pz,750,0.09180374800515388
rtBPD,rtbpd027,GSR_PDA,TA,Pz,750,0.21270736587157876
rtBPD,rtbpd028,GSR_PDA,TA,Pz,600,-0.147760909531815
rtBPD,rtbpd030,GSR_PDA,TA,Pz,750,0.0355994548637734
rtBPD,rtbpd002,VIS,EFP,Oz,420,0.024734768932771593
rtBPD,rtbpd003,VIS,EFP,Oz,700,0.04950104494144386
rtBPD,rtbpd009,VIS,EFP,Oz,700,0.2165715279507716
rtBPD,rtbpd010,VIS,EFP,Oz,700,0.012149259760027854
rtBPD,rtbpd011,VIS,EFP,Oz,560,0.1687016691985262
