method,target,n_features,within_mean_r,within_p,cross_mean_r,cross_p
dwt,GSR_CEN,155,0.17866340567008354,0.00039996000399960006,0.11248201510401257,0.0013998600139986002
dwt,PDA,155,0.1827924964150345,0.00019998000199980003,0.07529459056297778,0.0575942405759424
dwt_stats,GSR_CEN,620,0.2677453139524315,0.00019998000199980003,0.17909271993279055,0.0011998800119988001
dwt_stats,PDA,620,0.17471058621393204,0.011998800119988001,0.15459803950185488,0.0057994200579942
hilbert,GSR_CEN,155,0.21478019270140503,0.00019998000199980003,0.11494658600222148,0.0033996600339966003
hilbert,PDA,155,0.14565514616031844,0.008599140085991401,0.10530315710537537,0.004199580041995801
morlet,GSR_CEN,155,0.17943323474354195,0.0005999400059994001,0.10920765735547816,0.0033996600339966003
morlet,PDA,155,0.13438249346112174,0.017198280171982803,0.08570762985783438,0.033996600339966
