subject,session,run,n_vol,slider_calm,slider_noting,slider_difficulty,slider_ballcheck,rt_pda_mean,feedback_on
rtbpd027,nf1,3,149,7,8,7,8,-0.0532,Feedback
rtbpd027,nf1,4,149,8,9,3,6,0.1249,Feedback
rtbpd027,nf1,5,149,9,9,2,4,0.2604,Feedback
rtbpd027,nf2,1,149,9,9,1,6,0.3312,Feedback
rtbpd027,nf2,2,149,9,9,1,7,0.4451,Feedback
rtbpd027,nf2,3,149,9,9,1,8,0.2684,Feedback
rtbpd027,nf2,4,149,9,8,1,7,0.1,Feedback
rtbpd027,nf2,5,149,9,9,1,4,0.5696,Feedback
rtbpd028,nf1,1,149,6,9,4,8,0.1046,Feedback
rtbpd028,nf1,2,149,6,7,8,6,0.0949,Feedback
rtbpd028,nf1,3,149,5,6,8,9,-0.0942,Feedback
rtbpd028,nf1,4,149,5,9,3,8,0.1871,Feedback
rtbpd028,nf1,5,149,6,8,8,9,0.2603,Feedback
rtbpd028,nf2,1,149,5,7,8,8,0.162,Feedback
rtbpd028,nf2,2,149,5,8,9,2,-0.0738,Feedback
rtbpd028,nf2,3,149,5,9,4,6,0.2459,Feedback
rtbpd028,nf2,4,149,5,7,8,6,-0.1866,Feedback
rtbpd028,nf2,5,149,5,9,6,4,0.1014,Feedback
rtbpd030,nf1,1,149,7,8,3,9,0.3536,Feedback
rtbpd030,nf1,2,149,7,9,2,8,0.3275,Feedback
rtbpd030,nf1,3,149,8,8,2,8,0.441,Feedback
rtbpd030,nf1,4,149,6,7,4,7,0.1162,Feedback
rtbpd030,nf1,5,149,7,8,3,8,0.0151,Feedback
rtbpd030,nf2,1,149,6,8,3,6,0.1859,Feedback
rtbpd030,nf2,2,149,7,8,3,7,0.2802,Feedback
rtbpd030,nf2,3,149,6,7,5,6,0.0997,Feedback
rtbpd030,nf2,4,149,6,7,5,7,0.2599,Feedback
rtbpd030,nf2,5,149,6,7,6,7,0.1275,Feedback
rtbpd032,nf1,1,149,6,7,6,6,0.216,Feedback
rtbpd032,nf1,2,149,6,6,8,6,0.1029,Feedback
rtbpd032,nf1,3,149,6,4,8,8,0.4626,Feedback
rtbpd032,nf1,4,149,7,3,8,4,0.1474,Feedback
rtbpd032,nf1,5,149,7,3,8,6,0.0478,Feedback
rtbpd032,nf2,1,149,7,6,4,6,0.3152,Feedback
rtbpd032,nf2,2,149,7,6,7,6,0.0736,Feedback
rtbpd032,nf2,3,149,8,4,7,4,0.1148,Feedback
rtbpd032,nf2,4,149,8,4,7,5,0.1924,Feedback
rtbpd032,nf2,5,149,8,2,8,2,0.1594,Feedback
rtbpd034,nf1,1,149,3,6,6,3,0.1303,Feedback
rtbpd034,nf1,2,149,2,7,4,9,-0.0104,Feedback
rtbpd034,nf1,3,149,2,8,2,9,0.1246,Feedback
rtbpd034,nf1,4,149,2,4,6,9,-0.1493,Feedback
rtbpd034,nf1,5,149,2,7,2,9,0.1231,Feedback
rtbpd036,nf1,1,149,7,8,5,5,0.4177,Feedback
rtbpd036,nf1,2,149,7,7,6,6,-0.0909,Feedback
rtbpd036,nf1,3,149,7,7,6,4,0.1304,Feedback
rtbpd036,nf1,4,149,8,6,5,5,0.1954,Feedback
rtbpd036,nf1,5,149,6,6,5,5,0.3091,Feedback
rtbpd038,nf1,1,149,7,8,3,8,0.4749,Feedback
rtbpd038,nf1,2,149,6,9,3,8,0.1545,Feedback
rtbpd038,nf1,3,149,4,9,4,9,-0.0585,Feedback
rtbpd038,nf1,4,149,4,9,3,7,-0.148,Feedback
rtbpd038,nf1,5,149,6,8,3,8,0.3791,Feedback
rtbpd038,nf2,1,149,7,9,3,7,0.1323,Feedback
rtbpd038,nf2,2,149,7,8,3,8,-0.0182,Feedback
rtbpd038,nf2,3,149,7,8,2,8,0.0742,Feedback
rtbpd038,nf2,4,149,6,7,2,8,-0.0316,Feedback
rtbpd038,nf2,5,149,6,7,2,7,-0.0521,Feedback
rtbpd039,nf1,1,149,8,8,4,8,0.4005,Feedback
rtbpd039,nf1,2,149,8,8,4,8,0.1731,Feedback
rtbpd039,nf1,3,149,8,8,3,8,0.2396,Feedback
rtbpd039,nf1,4,149,8,7,4,7,0.1297,Feedback
rtbpd039,nf1,5,149,7,8,4,8,0.0136,Feedback
rtbpd039,nf2,1,149,9,9,4,9,-0.1924,Feedback
rtbpd039,nf2,2,149,9,8,4,8,-0.2771,Feedback
rtbpd039,nf2,3,149,9,9,4,8,0.0261,Feedback
rtbpd039,nf2,4,149,9,9,4,9,-0.0708,Feedback
rtbpd039,nf2,5,149,9,9,4,9,-0.0097,Feedback
rtbpd040,nf1,1,149,6,8,6,6,0.0946,Feedback
rtbpd040,nf1,2,149,7,8,4,7,0.0587,Feedback
rtbpd040,nf1,3,149,5,9,8,4,-0.0233,Feedback
rtbpd040,nf1,4,149,6,8,6,8,0.3006,Feedback
rtbpd040,nf1,5,149,6,6,7,2,-0.3922,Feedback
rtbpd041,nf1,1,149,9,9,1,6,0.2645,Feedback
rtbpd041,nf1,2,149,7,8,2,7,0.3407,Feedback
rtbpd041,nf1,3,149,9,9,1,4,0.1821,Feedback
rtbpd041,nf1,4,149,9,9,2,3,0.2411,Feedback
rtbpd041,nf1,5,149,9,9,2,4,0.5356,Feedback
rtbpd041,nf2,1,149,7,9,4,6,0.4221,Feedback
rtbpd041,nf2,2,149,9,9,4,8,3.7819,Feedback
rtbpd041,nf2,3,149,9,9,3,7,4.77,Feedback
rtbpd041,nf2,4,149,9,9,7,7,1.5643,Feedback
rtbpd041,nf2,5,149,9,8,6,8,1.6966,Feedback
rtbpd045,nf1,1,149,8,8,6,7,0.0655,Feedback
rtbpd045,nf1,2,149,9,8,6,7,0.0355,Feedback
rtbpd045,nf1,3,149,8,7,6,6,0.1738,Feedback
rtbpd045,nf1,4,149,8,7,5,6,0.0549,Feedback
rtbpd045,nf1,5,149,9,7,6,6,0.0821,Feedback
rtbpd045,nf2,1,149,9,9,1,9,0.3348,Feedback
rtbpd045,nf2,2,149,9,8,2,6,0.1251,Feedback
rtbpd045,nf2,3,149,9,8,2,7,0.0069,Feedback
rtbpd045,nf2,4,149,9,8,2,6,0.0459,Feedback
rtbpd045,nf2,5,149,9,7,2,6,0.0895,Feedback
rtbpd046,nf1,1,149,6,6,6,4,0.053,Feedback
rtbpd046,nf1,2,149,6,6,6,3,0.0895,Feedback
rtbpd046,nf1,3,149,6,7,5,3,0.0452,Feedback
rtbpd046,nf1,4,149,5,6,6,4,-0.0093,Feedback
rtbpd046,nf1,5,149,4,4,7,4,0.0791,Feedback
rtbpd048,nf1,1,149,9,7,7,6,-0.0731,Feedback
rtbpd048,nf1,2,149,8,7,8,7,-0.0177,Feedback
rtbpd048,nf1,3,149,7,7,8,6,-0.1446,Feedback
rtbpd048,nf1,4,149,6,7,6,8,0.1467,Feedback
rtbpd048,nf1,5,149,9,7,7,7,-0.0253,Feedback
