measure,group,quench_db,p
beta,temporal (EMG),1.0628773948859307,0.0108989101089891
beta,midline (low-EMG),1.5603194369015339,0.00019998000199980003
beta,frontal (EOG),1.0959029379777243,0.009099090090990901
gamma,temporal (EMG),3.6341990629792185,9.999000099990002e-05
gamma,midline (low-EMG),3.731320847128338,9.999000099990002e-05
gamma,frontal (EOG),3.460121992723479,9.999000099990002e-05
aperiodic offset,midline (low-EMG),-0.166006078265565,0.6459354064593541
aperiodic exponent,midline (low-EMG),1.2449283009660057,0.0007999200079992001
