subject,raw_vs_PDA,fsnr_vs_PDA,raw_vs_fMRIfsnr,fsnr_vs_fMRIfsnr
dmnelf001,0.1448540075889273,-0.03536110228639339,0.042278834715193996,-0.0750767501369704
dmnelf004,-0.10247919574987209,0.3870396811596864,0.07610725969677874,0.10192234775271822
dmnelf005,0.3007411403002021,0.12221143456909188,-0.028315042061554066,0.25705477521214226
dmnelf006,-0.06921051704423871,-0.015313089955578448,0.03810135557037966,-0.1221296842222746
dmnelf007,0.23502487904156777,-0.19291847040895221,0.05097236389476656,0.04065369734607622
dmnelf008,0.525933286267209,0.1303674842059107,-0.04869770813802042,0.00835917176026478
dmnelf009,0.406117249985892,0.09061384043627786,0.0967635574430882,-0.09505397961874475
dmnelf010,0.07557481914107157,-0.23830932426156412,0.21158658603996883,0.04955714438910708
dmnelf011,-0.1457354702834407,0.11425953345299292,-0.1145147043732864,0.025777323269251726
dmnelf012,0.21770732490455308,0.21195921429387993,0.09178518299850462,0.05744690796135831
dmnelf013,0.09741207550280608,0.13936727854501565,-0.04589079844707502,0.160650472816355
dmnelf014,0.10510271400980647,0.3677833549489872,0.006562825597600094,0.10825724013923496
dmnelf015,0.21469863534277644,0.3035717623514488,-0.09614188767362108,0.17599376590464194
dmnelf016,-0.11710180208620126,0.2320793852546159,0.023988676418298233,-0.03152589105241128
dmnelf1001,-0.02079828367607287,-0.08605150806888508,-0.05957855186922268,-0.17103836690881394
dmnelf1002,0.02181309052205154,0.08161834266969512,0.14516202873016387,0.2765821036347596
dmnelf1003,0.11588923116338203,-0.1148840266919804,0.07695147190733656,0.054711151322225614
