subject,target,ttype,mode,window,r
rtbpd022,CEN,orig,best,fb,0.10753244852959672
rtbpd022,CEN,orig,frontal,fb,0.17488616486348943
rtbpd022,CEN,orig,all,fb,0.2759896371132154
rtbpd022,CEN,orig,epoc,fb,0.2462559474763395
rtbpd022,CEN,orig,epoc_afproxy,fb,0.22976346903051106
rtbpd022,DMN,orig,best,fb,0.37472099437550943
rtbpd022,DMN,orig,frontal,fb,0.1106303433988789
rtbpd022,DMN,orig,all,fb,0.14981919015673648
rtbpd022,DMN,orig,epoc,fb,0.15598585084965208
rtbpd022,DMN,orig,epoc_afproxy,fb,0.12238698150574549
rtbpd022,PDA,orig,best,fb,0.09390170696112958
rtbpd022,PDA,orig,frontal,fb,-0.008460407466572553
rtbpd022,PDA,orig,all,fb,0.06795109755600065
rtbpd022,PDA,orig,epoc,fb,0.10238249609027907
rtbpd022,PDA,orig,epoc_afproxy,fb,0.0790574787341163
rtbpd022,CEN,clean,best,fb,0.17769670414363645
rtbpd022,CEN,clean,frontal,fb,0.13932608674195793
rtbpd022,CEN,clean,all,fb,0.19815791494358032
rtbpd022,CEN,clean,epoc,fb,0.08853081571800292
rtbpd022,CEN,clean,epoc_afproxy,fb,0.08881966231636186
rtbpd022,DMN,clean,best,fb,-0.0517474541361207
rtbpd022,DMN,clean,frontal,fb,-0.03437741145275531
rtbpd022,DMN,clean,all,fb,-0.020191425217389567
rtbpd022,DMN,clean,epoc,fb,-0.05932957780574052
rtbpd022,DMN,clean,epoc_afproxy,fb,-0.04549725836920784
rtbpd022,PDA,clean,best,fb,0.07254449698420164
rtbpd022,PDA,clean,frontal,fb,0.04850910887098733
rtbpd022,PDA,clean,all,fb,0.11728865339590298
rtbpd022,PDA,clean,epoc,fb,0.03836544202621577
rtbpd022,PDA,clean,epoc_afproxy,fb,0.03817641130097596
