subject,target,ttype,mode,window,r
rtbpd015,CEN,orig,best,fb,0.09798639101049632
rtbpd015,CEN,orig,frontal,fb,0.14076846434146392
rtbpd015,CEN,orig,all,fb,0.2821827115515171
rtbpd015,CEN,orig,epoc,fb,0.15140054432462166
rtbpd015,CEN,orig,epoc_afproxy,fb,0.1426542625022237
rtbpd015,DMN,orig,best,fb,0.22428271516845727
rtbpd015,DMN,orig,frontal,fb,0.1376177644462921
rtbpd015,DMN,orig,all,fb,0.29971331307421545
rtbpd015,DMN,orig,epoc,fb,0.20241163992237682
rtbpd015,DMN,orig,epoc_afproxy,fb,0.16806151335448372
rtbpd015,PDA,orig,best,fb,0.11124969155983361
rtbpd015,PDA,orig,frontal,fb,0.15733313938135313
rtbpd015,PDA,orig,all,fb,0.19910547693110878
rtbpd015,PDA,orig,epoc,fb,0.06645961790740336
rtbpd015,PDA,orig,epoc_afproxy,fb,0.11884523488756567
rtbpd015,CEN,clean,best,fb,0.03652954430600144
rtbpd015,CEN,clean,frontal,fb,0.028907975880367066
rtbpd015,CEN,clean,all,fb,0.0649064412428757
rtbpd015,CEN,clean,epoc,fb,0.03187187013975536
rtbpd015,CEN,clean,epoc_afproxy,fb,0.030004522833671138
rtbpd015,DMN,clean,best,fb,0.10847333408070955
rtbpd015,DMN,clean,frontal,fb,0.029884138206191475
rtbpd015,DMN,clean,all,fb,0.05076908826840635
rtbpd015,DMN,clean,epoc,fb,0.006983535547028136
rtbpd015,DMN,clean,epoc_afproxy,fb,0.0192104376230849
rtbpd015,PDA,clean,best,fb,0.16957821823995414
rtbpd015,PDA,clean,frontal,fb,0.1463649683828669
rtbpd015,PDA,clean,all,fb,0.19217764191543285
rtbpd015,PDA,clean,epoc,fb,0.17267194545891904
rtbpd015,PDA,clean,epoc_afproxy,fb,0.17742695540145717
