subject,is_r_raw,is_r_smooth,is_p_circ,base_r_raw,base_r_smooth,n
dmnelf001,0.004901257171346815,-0.025546642782978614,0.9035482258870565,-7.399629764197383e-09,0.010713412880643923,500
dmnelf004,0.07571016619319791,0.09112273742049723,0.553223388305847,0.0024340731202008845,0.03786811454357884,500
dmnelf005,0.06263917022274279,0.028950141406450178,0.7766116941529235,-8.355273081357603e-09,0.0006507166583978458,500
dmnelf006,0.1024210801677254,0.10459334093382347,0.28235882058970513,-0.024895142451785566,-0.07589697306139029,500
dmnelf007,-0.34642661975525024,-0.43311113473984014,0.0004997501249375312,0.03845899969663121,-0.049775646037662054,500
dmnelf008,0.23453353001870908,0.3051877331718242,0.046476761619190406,0.03909203763827736,0.06025782073090178,500
dmnelf009,-0.008967896202749553,0.007453594270976086,0.9920039980009995,0.0729512575686801,0.27162518328449214,500
dmnelf010,-7.401469806523783e-09,-0.0063781276797190345,0.9425287356321839,-0.003113932440458414,0.003420656863636162,500
dmnelf011,-0.03142306695727029,-0.15137071021789597,0.6166916541729135,0.0027729258748492524,0.03588397947941808,500
dmnelf012,-4.25454496453387e-09,0.0015444478353115372,0.823088455772114,-0.038223863981921714,-0.25280131980210874,500
dmnelf013,-0.07355002472883553,-0.0014503354620439052,0.9805097451274363,0.06531482728922294,0.18334288659728137,500
dmnelf014,-3.4489262474077144e-09,0.0032368524123524956,0.16591704147926037,-0.0032754537198354102,-0.07351709721167052,500
dmnelf015,0.022434680536283894,0.10292366203752602,0.08545727136431784,-5.742014919924968e-09,-0.004958584449430369,500
dmnelf1001,-5.527014532235097e-09,0.010423845194784143,0.5452273863068465,-0.04345623589359886,0.05738187864447898,500
dmnelf1002,0.07046523273923232,0.10200730828477231,0.6251874062968515,-7.792265596387739e-09,-0.003756925927285501,500
dmnelf1003,0.03623209514104884,0.09216755812828574,0.5262368815592204,-0.0683002916755791,-0.20906667811365873,414
