subject,is_r_raw,is_r_smooth,is_p_circ,base_r_raw,base_r_smooth,n
dmnelf001,0.004901257171346751,-0.014399522462090855,0.9105447276361819,-7.3996297713339876e-09,-7.399629767864541e-09,500
dmnelf004,0.0757101661931979,0.07681981872556046,0.5697151424287856,0.0024340731202008217,0.047486137571692975,500
dmnelf005,0.06263917022274286,0.01213847772975635,0.9160419790104948,-8.35527308408121e-09,-8.355273079744402e-09,500
dmnelf006,0.10242108016772544,0.09721698704579795,0.26036981509245377,-0.024895142451785566,-0.09092929804410527,500
dmnelf007,-0.34642661975525024,-0.39359259935618335,0.0004997501249375312,0.03845899969663121,-0.04346351587929594,500
dmnelf008,0.2345335300187091,0.25201829274789433,0.03548225887056472,0.039092037638274596,0.05618573309596663,500
dmnelf009,-0.008967896202749546,0.004836109402891104,1.0,0.07295125756868007,0.23139852633995478,500
dmnelf010,-7.401469811715335e-09,-7.401469807486946e-09,0.8350824587706147,-0.0031139324404584347,0.011227508872660519,500
dmnelf011,-0.03142306695727021,-0.0824117510240884,0.7016491754122939,0.002772925874849264,0.027974889273046144,500
dmnelf012,-4.254544968933238e-09,-4.25454495483861e-09,0.9480259870064968,-0.03822386398192173,-0.21229795601955773,500
dmnelf013,-0.07355002472883544,-0.01106632746435554,0.8025987006496752,0.06531482728922297,0.07160615758911565,500
dmnelf014,-3.448926257868662e-09,-3.448926253857114e-09,0.8160919540229885,-0.0032754537198354944,-0.0189398781771942,500
dmnelf015,0.022434680536283856,0.05713439678753211,0.32283858070964516,-5.742014903477473e-09,-5.7420149052121966e-09,500
dmnelf1001,-5.5270145287757144e-09,-5.527014519451576e-09,0.9515242378810594,-0.04345623589359887,0.06306964160464659,500
dmnelf1002,0.07046523273923239,0.0876111191845981,0.5312343828085957,-7.792265587338101e-09,-7.792265595144357e-09,500
dmnelf1003,0.036232095141048866,0.043663096460620665,0.5902048975512244,-0.06830029167557915,-0.14179828821491336,414
