neural,clinical,n,r,p
DMN_duration_ms_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,-0.4604653693679485,0.18050332787027162
CEN_coverage_pct_delta,PANAS trait negative affect (10-50),10,0.4556614335920721,0.1856879859639288
beta_power_delta,PANAS trait positive affect (10-50),10,-0.4555484860973526,0.18581092724201775
CEN_duration_ms_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,-0.45511206069386423,0.18628641844616342
delta_power_delta,PANAS trait negative affect (10-50) [resid],10,0.4546589404255169,0.18678085571715652
gamma_power_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.45399203379580205,0.18750997561913282
DMN_coverage_pct_delta,PAI-BOR total (0-72) [resid],10,-0.4503984861039635,0.19146750298181456
fc_dmn_cen_difumo_delta,PHQ-9 total (0-27),10,0.4475035072746424,0.1946909847811022
fc_acc_mpfc_delta,PHQ-9 total (0-27) [resid],10,-0.4463474227007956,0.19598705083642518
DMN_coverage_pct_delta,PAI-BOR total (0-72),10,-0.4460522916257309,0.19631872155725036
gamma_plv_delta,PANAS trait positive affect (10-50),10,0.4342664476889696,0.2098311350567887
CEN_gev_pct_delta,PANAS trait positive affect (10-50),10,0.43177303825272784,0.2127566473496192
CEN_gev_pct_delta,PANAS trait negative affect (10-50),10,0.42638262156445444,0.21916089905244976
alpha_plv_delta,PANAS trait positive affect (10-50) [resid],10,0.422460071232859,0.22388964298146705
CEN_duration_ms_delta,PANAS trait negative affect (10-50) [resid],10,0.41830314273732405,0.22896377647324756
fc_within_dmn_difumo_delta,PANAS trait positive affect (10-50) [resid],10,-0.4057371244631835,0.24469462037508904
theta_plv_delta,PHQ-9 total (0-27) [resid],10,-0.40453640549019587,0.24622851869489615
fc_dmn_cen_difumo_delta,PANAS trait positive affect (10-50),10,-0.4032402089442708,0.24789039794762763
beta_power_delta,PANAS trait negative affect (10-50),10,-0.39766062147974096,0.25511522958389443
gamma_power_delta,PANAS trait negative affect (10-50),10,-0.3952099885482586,0.2583248973107806
CEN_occurrence_hz_delta,PANAS trait positive affect (10-50),10,0.3909381394215522,0.2639728759750911
beta_power_delta,PANAS trait positive affect (10-50) [resid],10,-0.38360168409388706,0.2738293785190981
DMN_gev_pct_delta,PHQ-9 total (0-27) [resid],10,0.3831611603462475,0.27442750497506024
alpha_power_delta,PANAS trait positive affect (10-50) [resid],10,0.3816975088788181,0.2764198954062263
alpha_plv_delta,PHQ-9 total (0-27),10,-0.3793701563774519,0.2796041218557008
DMN_occurrence_hz_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,-0.37687543537682994,0.28303928560517644
fc_within_dmn_pers_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,-0.3682378540706308,0.29510772936850466
DMN_gev_pct_delta,PHQ-9 total (0-27),10,0.36685749271109563,0.2970614010172826
alpha_plv_delta,PANAS trait negative affect (10-50) [resid],10,0.36611028085809466,0.298121822039793
CEN_occurrence_hz_delta,PANAS trait negative affect (10-50),10,0.3648128420465395,0.29996788755538684
theta_plv_delta,PHQ-9 total (0-27),10,-0.36302959828761416,0.3025150650000198
DMN_gev_pct_delta,PAI-BOR total (0-72),10,-0.3615722770680085,0.30460517790678787
fc_mpfc_pcc_delta,PHQ-9 total (0-27),10,-0.3599552511049567,0.30693325462614873
DMN_duration_ms_delta,PANAS trait positive affect (10-50) [resid],10,0.35707450770730154,0.311103918336625
gamma_plv_delta,PANAS trait negative affect (10-50) [resid],10,0.3561401864637098,0.31246296705701654
fc_mpfc_pcc_delta,PHQ-9 total (0-27) [resid],10,-0.35484509843329265,0.31435192546593765
alpha_plv_delta,PHQ-9 total (0-27) [resid],10,-0.35342224380203424,0.3164341186935548
fc_dmn_cen_pers_delta,PHQ-9 total (0-27) [resid],10,0.35208452108603394,0.31839828981758084
DMN_gev_pct_delta,PAI-BOR total (0-72) [resid],10,-0.3488315840518002,0.3232010184457643
fc_within_dmn_difumo_delta,PAI-BOR total (0-72) [resid],10,-0.3474857765245267,0.32519894542348293
alpha_power_delta,PANAS trait positive affect (10-50),10,0.3458189551521873,0.32768228683207057
theta_plv_delta,PAI-BOR total (0-72) [resid],10,0.3442683688096884,0.3300012298364917
alpha_power_delta,PHQ-9 total (0-27) [resid],10,-0.34107629433633646,0.3348016179132176
CEN_duration_ms_delta,PANAS trait positive affect (10-50) [resid],10,0.3401862421640378,0.3361464763089198
theta_plv_delta,PAI-BOR total (0-72),10,0.339777900604308,0.3367644013521223
beta_plv_delta,PANAS trait positive affect (10-50) [resid],10,0.3387486259893282,0.3383245374721642
DMN_occurrence_hz_delta,PAI-BOR total (0-72) [resid],10,-0.3368136300691502,0.3412675204330599
theta_power_delta,PANAS trait positive affect (10-50) [resid],10,0.3361596111675729,0.3422651773917612
DMN_occurrence_hz_delta,PAI-BOR total (0-72),10,-0.3359021053768801,0.34265839070384796
alpha_power_delta,PAI-BOR total (0-72),10,-0.3305951023094646,0.3508133330197503
CEN_coverage_pct_delta,PANAS trait negative affect (10-50) [resid],10,0.3302588640076751,0.351333283762219
DMN_duration_ms_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,-0.3285052384612935,0.3540513477983472
fc_within_dmn_difumo_delta,PANAS trait negative affect (10-50) [resid],10,-0.32849863185533124,0.35406160779778595
gamma_plv_delta,PHQ-9 total (0-27) [resid],10,-0.32693496133780386,0.35649418305987174
fc_mpfc_pcc_delta,PANAS trait positive affect (10-50) [resid],10,-0.3259014846679537,0.3581065396545366
DMN_gev_pct_delta,PANAS trait positive affect (10-50),10,0.3246683679974508,0.3600351351444978
fc_acc_pcc_delta,PHQ-9 total (0-27) [resid],10,-0.32458512487270785,0.3601655144213169
gamma_plv_delta,PAI-BOR total (0-72) [resid],10,0.32380629365352187,0.3613865005718623
theta_power_delta,PANAS trait negative affect (10-50) [resid],10,0.32201140331889516,0.3642082402871942
theta_power_delta,PANAS trait negative affect (10-50),10,0.3218048051645345,0.3645337350112671
theta_power_delta,PANAS trait positive affect (10-50),10,0.31964688689495385,0.3679421781227702
beta_plv_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.3190612997751049,0.36886983500819426
fc_within_dmn_difumo_delta,PAI-BOR total (0-72),10,-0.3183536245946978,0.36999244338999926
alpha_plv_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.31594193244306684,0.3738308699413011
gamma_plv_delta,PAI-BOR total (0-72),10,0.31527037624720483,0.3749031947842615
fc_acc_pcc_delta,PHQ-9 total (0-27),10,-0.31485302354321876,0.3755703763293266
gamma_power_delta,PANAS trait negative affect (10-50) [resid],10,-0.3117022524085898,0.38062603170384407
alpha_power_delta,PHQ-9 total (0-27),10,-0.3053524496074504,0.39091516825543304
fc_within_dmn_difumo_delta,PANAS trait positive affect (10-50),10,-0.3033494465708967,0.3941884497306832
alpha_power_delta,PAI-BOR total (0-72) [resid],10,-0.30313863755848364,0.3945337179062025
DMN_duration_ms_delta,PHQ-9 total (0-27),10,-0.3022307631529425,0.3960223222964108
alpha_power_delta,PANAS trait negative affect (10-50) [resid],10,0.2998043677757209,0.40001401844873025
fc_dmn_cen_pers_delta,PANAS trait positive affect (10-50) [resid],10,-0.2961861784689179,0.4060019639313023
beta_plv_delta,PAI-BOR total (0-72) [resid],10,0.29586417779922086,0.40653691803699626
DMN_coverage_pct_delta,PHQ-9 total (0-27),10,0.2921974792784229,0.4126521558445126
CEN_gev_pct_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,-0.2921371671075593,0.41275310463229253
theta_plv_delta,PANAS trait negative affect (10-50) [resid],10,0.29187282086907135,0.413195697439237
beta_power_delta,PANAS trait negative affect (10-50) [resid],10,-0.291664420184881,0.4135447789811376
theta_plv_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.29159918332426055,0.4136540825820698
fc_within_dmn_difumo_delta,PANAS trait negative affect (10-50),10,-0.29006124933177707,0.4162348188114942
fc_within_cen_difumo_delta,PANAS trait positive affect (10-50),10,-0.284080766449541,0.4263419511719637
beta_power_delta,PAI-BOR total (0-72) [resid],10,0.28318097791665964,0.42787240241712776
CEN_gev_pct_delta,PANAS trait negative affect (10-50) [resid],10,0.2827362985861994,0.4286296982722753
DMN_coverage_pct_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,-0.2815447054019241,0.4306620607761775
beta_plv_delta,PAI-BOR total (0-72),10,0.2803744439498479,0.4326623696010425
DMN_coverage_pct_delta,PHQ-9 total (0-27) [resid],10,0.2774220080502199,0.4377279067639493
fc_acc_pcc_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.2749579618332587,0.44197621670217835
gamma_plv_delta,PANAS trait negative affect (10-50),10,0.2732323503305464,0.4449625311118249
theta_plv_delta,PANAS trait negative affect (10-50),10,0.2725696361893024,0.446111845370811
CEN_occurrence_hz_delta,PANAS trait negative affect (10-50) [resid],10,0.2686725363153509,0.452897568988891
CEN_occurrence_hz_delta,PAI-BOR total (0-72),10,0.26838178001642354,0.45340569463403035
alpha_plv_delta,PANAS trait negative affect (10-50),10,0.2669587989362871,0.455896191047122
fc_mpfc_pcc_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,-0.2641066251811683,0.4609064581447755
delta_plv_delta,PANAS trait negative affect (10-50),10,0.26352229443292585,0.4619359397303663
CEN_occurrence_hz_delta,PAI-BOR total (0-72) [resid],10,0.261306004897171,0.4658499093058639
beta_power_delta,PAI-BOR total (0-72),10,0.26109568305363823,0.466222099020992
DMN_occurrence_hz_delta,PANAS trait negative affect (10-50),10,-0.25880997691323865,0.47027540220922504
DMN_duration_ms_delta,PHQ-9 total (0-27) [resid],10,-0.25794338343105516,0.4718161996002041
fc_dmn_cen_pers_delta,PHQ-9 total (0-27),10,0.25559083638062874,0.476010167460006
CEN_duration_ms_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,-0.25359035457516615,0.4795892607462837
DMN_gev_pct_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,-0.2528409152641391,0.48093310069708856
fc_dmn_cen_pers_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.2465246373084613,0.4923235276813018
alpha_plv_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.24311360077478422,0.4985222922272663
DMN_gev_pct_delta,PANAS trait positive affect (10-50) [resid],10,0.24301312118007773,0.4987053905287746
delta_plv_delta,PANAS trait negative affect (10-50) [resid],10,0.24244251336400646,0.49974571741074336
fc_mpfc_pcc_delta,PAI-BOR total (0-72) [resid],10,-0.23480615137679936,0.5137559478513414
DMN_occurrence_hz_delta,PANAS trait negative affect (10-50) [resid],10,-0.23385886486895435,0.5155051760138658
fc_dmn_cen_pers_delta,PAI-BOR total (0-72),10,0.22850607946849244,0.5254354778617636
CEN_coverage_pct_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,-0.22700934802818867,0.5282260322655487
fc_dmn_cen_pers_delta,PAI-BOR total (0-72) [resid],10,0.2264312739267476,0.5293054213502819
alpha_power_delta,PANAS trait negative affect (10-50),10,0.22597821014985203,0.5301520141102126
beta_plv_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.22531281424147162,0.53139636323012
fc_mpfc_pcc_delta,PAI-BOR total (0-72),10,-0.2206517746537036,0.5401458412494202
fc_mpfc_pcc_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,-0.21858554599199614,0.5440427376908494
fc_within_cen_difumo_delta,PHQ-9 total (0-27) [resid],10,0.21526624423933932,0.5503261386729389
gamma_power_delta,PAI-BOR total (0-72) [resid],10,0.21440960230743544,0.5519523623897953
gamma_power_delta,PAI-BOR total (0-72),10,0.20754102852180611,0.5650588979560227
fc_acc_pcc_delta,PANAS trait positive affect (10-50),10,-0.20664535299700096,0.5667767570425846
CEN_occurrence_hz_delta,PHQ-9 total (0-27) [resid],10,-0.20501881243415454,0.5699014707494722
CEN_occurrence_hz_delta,PHQ-9 total (0-27),10,-0.19848228339932866,0.5825241083901627
fc_within_cen_difumo_delta,PANAS trait positive affect (10-50) [resid],10,-0.1967366237938366,0.5859126310350581
fc_acc_pcc_delta,PANAS trait negative affect (10-50),10,0.19432852720791696,0.5905989413595363
fc_within_cen_pers_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.19387116073639543,0.591490557682236
