subject,pearson_r,pearson_p,spearman_rho,spearman_p,rmse,mae,roc_auc,r2,n_timepoints
dmnelf001,-0.15240632,0.0022396608035388215,-0.13402190013687584,0.007271033425528537,0.34644493429034495,0.2816815972328186,0.43179999999999996,-0.50060654,400
dmnelf004,-0.2538613,2.662746744438162e-07,-0.2911825698910618,2.9473088872474358e-09,0.5680770697272396,0.47092965245246887,0.37705,-0.056601524,400
dmnelf005,0.05398827,0.28140388405189587,0.014466090413065081,0.7730164823795886,0.33354652436789667,0.2693975865840912,0.46762500000000007,-0.13857985,400
dmnelf006,-0.21283798,1.7649681057761223e-05,-0.20541765886036786,3.4772137561144684e-05,0.44083980910995824,0.35550999641418457,0.41515,-0.3067174,400
dmnelf007,-0.019502096,0.6973817658781765,-0.07667991674947969,0.12575608339838462,0.4110480830579057,0.33390915393829346,0.41052500000000003,-0.14806104,400
dmnelf008,0.18149765,0.0002633199425670989,0.2801188757429734,1.2027009673127075e-08,0.47924803132860233,0.32851922512054443,0.6331,0.022037685,400
dmnelf009,0.003147508,0.94996334257316,-0.01722160763504772,0.731312815159798,0.41237864804511615,0.3267766833305359,0.5177,-0.1380992,400
dmnelf010,0.11867199,0.017577084464297062,0.11426340164626028,0.022277275026179388,0.3582584201145341,0.2827417850494385,0.5810500000000001,-0.06476176,400
dmnelf011,-0.1685167,0.0007143355297574272,-0.17314364464777904,0.0005045256488564793,0.2787870141545128,0.21342365443706512,0.431475,-0.22792447,400
dmnelf012,-0.098635465,0.04868447716211746,-0.15809930062062888,0.0015136018983779103,0.36970023471055075,0.2924977242946625,0.40935000000000005,-0.039155364,400
dmnelf013,0.14174332,0.004506429848240614,0.10248720304501902,0.04048883216484967,0.1876552058626804,0.1324464976787567,0.530675,-0.41374207,400
dmnelf014,-0.17445898,0.0004563031533978108,-0.1881276132975831,0.00015394166514111335,0.4728833905947104,0.3692365288734436,0.430875,-0.27301073,400
dmnelf015,0.050585356,0.31288454990430786,0.03180432377702361,0.5259135632754869,0.5517080909133646,0.4313480854034424,0.5211250000000001,-0.043829918,400
dmnelf016,0.14086658,0.004763583557752085,0.1528205801286258,0.0021776601708539934,0.3476166756211762,0.27470871806144714,0.5911000000000001,-0.07324588,400
dmnelf1001,-0.11475925,0.021699322462532648,-0.11979262370389814,0.01653028017488667,0.37941562196294637,0.30258193612098694,0.42974999999999997,-0.10381019,400
dmnelf1002,-0.12469515,0.012565668795077655,-0.1076269851686573,0.031392790713199094,0.3703705617398633,0.28049278259277344,0.4586,-0.61776197,400
dmnelf1003,0.0553351,0.3019261221894899,0.056819449254979344,0.28912254160254214,0.3469157207918861,0.2807292342185974,0.5445551020408164,-0.1996274,350
