subject,target,ttype,mode,window,r
dmnelf006,CEN,orig,best,fb,0.16116346749612256
dmnelf006,CEN,orig,frontal,fb,-0.15175888382972608
dmnelf006,CEN,orig,all,fb,-0.026129184768123603
dmnelf006,DMN,orig,best,fb,0.24738239171906395
dmnelf006,DMN,orig,frontal,fb,0.4398661555246752
dmnelf006,DMN,orig,all,fb,0.4328641119471455
dmnelf006,PDA,orig,best,fb,0.2297800039120947
dmnelf006,PDA,orig,frontal,fb,0.15619130063072895
dmnelf006,PDA,orig,all,fb,0.11141950052120558
dmnelf006,CEN,clean,best,fb,0.0006632784574503421
dmnelf006,CEN,clean,frontal,fb,-0.07858265100506948
dmnelf006,CEN,clean,all,fb,-0.03851743888935595
