subject,target,ttype,mode,window,r
dmnelf012,CEN,orig,best,fb,-0.04088679515462741
dmnelf012,CEN,orig,frontal,fb,-0.30523931942761673
dmnelf012,CEN,orig,all,fb,-0.1952997036734129
dmnelf012,CEN,orig,epoc,fb,-0.26442920360755906
dmnelf012,CEN,orig,epoc_afproxy,fb,-0.2907652932987815
dmnelf012,DMN,orig,best,fb,0.1529597567368139
dmnelf012,DMN,orig,frontal,fb,0.01899606706586843
dmnelf012,DMN,orig,all,fb,0.04917834024929069
dmnelf012,DMN,orig,epoc,fb,0.18117677808742552
dmnelf012,DMN,orig,epoc_afproxy,fb,0.046896097907244284
dmnelf012,PDA,orig,best,fb,0.30221147768070034
dmnelf012,PDA,orig,frontal,fb,0.11346146605891735
dmnelf012,PDA,orig,all,fb,0.18536628111139167
dmnelf012,PDA,orig,epoc,fb,0.13864381420219163
dmnelf012,PDA,orig,epoc_afproxy,fb,0.19568405110666245
dmnelf012,CEN,clean,best,fb,-0.08791784331034003
dmnelf012,CEN,clean,frontal,fb,-0.09752698129302952
dmnelf012,CEN,clean,all,fb,-0.09904994649287169
dmnelf012,CEN,clean,epoc,fb,-0.08877849039470742
dmnelf012,CEN,clean,epoc_afproxy,fb,-0.10550961669932096
dmnelf012,DMN,clean,best,fb,0.0999755393222034
dmnelf012,DMN,clean,frontal,fb,0.0729181242049206
dmnelf012,DMN,clean,all,fb,0.018700264393910714
dmnelf012,DMN,clean,epoc,fb,0.027433988439870098
dmnelf012,DMN,clean,epoc_afproxy,fb,0.025704795254019242
dmnelf012,PDA,clean,best,fb,0.015012832311942526
dmnelf012,PDA,clean,frontal,fb,0.024938852636025143
dmnelf012,PDA,clean,all,fb,-0.004742212917357828
dmnelf012,PDA,clean,epoc,fb,0.007828990548981648
dmnelf012,PDA,clean,epoc_afproxy,fb,0.01604809620191648
