subject,target,ttype,mode,window,r
dmnelf1003,CEN,orig,best,fb,0.0022696684881090504
dmnelf1003,CEN,orig,frontal,fb,0.20328416584663417
dmnelf1003,CEN,orig,all,fb,0.2991512991947043
dmnelf1003,CEN,orig,epoc,fb,0.29934426786927315
dmnelf1003,CEN,orig,epoc_afproxy,fb,0.300026222207524
dmnelf1003,DMN,orig,best,fb,-0.2211175392900429
dmnelf1003,DMN,orig,frontal,fb,0.02776462985128157
dmnelf1003,DMN,orig,all,fb,0.10305798271336754
dmnelf1003,DMN,orig,epoc,fb,-0.08512079230842999
dmnelf1003,DMN,orig,epoc_afproxy,fb,0.04598989923506619
dmnelf1003,PDA,orig,best,fb,-0.028971274101597097
dmnelf1003,PDA,orig,frontal,fb,-0.06804280734642205
dmnelf1003,PDA,orig,all,fb,-0.16059001770703327
dmnelf1003,PDA,orig,epoc,fb,-0.1852372852420904
dmnelf1003,PDA,orig,epoc_afproxy,fb,-0.15633655060001012
dmnelf1003,CEN,clean,best,fb,-0.07304008918042877
dmnelf1003,CEN,clean,frontal,fb,0.023649119992789385
dmnelf1003,CEN,clean,all,fb,-0.03426290748637217
dmnelf1003,CEN,clean,epoc,fb,-0.03239738820670339
dmnelf1003,CEN,clean,epoc_afproxy,fb,-0.04054471946899143
