subject,target,window,efp_cen_r
dmnelf005,clean,fb,0.3474507377396364
dmnelf005,clean,full,0.31964147698561696
dmnelf005,orig,fb,0.3675916851590343
dmnelf005,orig,full,0.4358568967354052
