version,target,best_ch,best_band,mean_r,t,p_fwer
RAW,DMN,T8,delta,0.30061413797276215,7.522450327808673,0.0001999600079984003
RAW,CEN,CP2,gamma,0.18077346351407161,7.470740106208218,0.0001999600079984003
RAW,PDA,Pz,alpha,-0.14110891168585216,-3.2127019974819317,0.005198960207958408
CAR,DMN,CP6,beta,-0.05771832656713225,-3.1666742156999232,0.5232953409318136
CAR,CEN,F8,theta,0.08139506754859034,3.680211118271104,0.23235352929414116
CAR,PDA,Pz,alpha,-0.15728488697754775,-3.2381493048658747,0.5180963807238552
PARTIAL,DMN,F8,alpha,0.056420220783182234,2.3831221326330243,0.8292341531693661
PARTIAL,CEN,F8,theta,0.0780083064110382,2.9125735586928134,0.368126374725055
PARTIAL,PDA,Pz,alpha,-0.1888701215240398,-3.1104490766988997,0.33413317336532694
