subject,run,condition,band,plv
sub-rtbpd013,01,pre,theta,0.51825
sub-rtbpd013,01,pre,alpha,0.55246
sub-rtbpd013,01,pre,beta,0.42709
sub-rtbpd013,01,pre,gamma,0.36461
sub-rtbpd013,02,pre,delta,0.47598
sub-rtbpd013,02,pre,theta,0.52114
sub-rtbpd013,02,pre,alpha,0.53147
sub-rtbpd013,02,pre,beta,0.42516
sub-rtbpd013,02,pre,gamma,0.34329
sub-rtbpd013,03,post,delta,0.48769
sub-rtbpd013,03,post,theta,0.45762
sub-rtbpd013,03,post,alpha,0.50494
sub-rtbpd013,03,post,beta,0.44038
sub-rtbpd013,03,post,gamma,0.44662
sub-rtbpd013,04,post,delta,0.53765
sub-rtbpd013,04,post,theta,0.54116
sub-rtbpd013,04,post,alpha,0.52316
sub-rtbpd013,04,post,beta,0.44818
sub-rtbpd013,04,post,gamma,0.34655
sub-rtbpd015,01,pre,delta,0.52046
sub-rtbpd015,01,pre,theta,0.45132
sub-rtbpd015,01,pre,alpha,0.42599
sub-rtbpd015,01,pre,beta,0.43469
sub-rtbpd015,01,pre,gamma,0.33876
sub-rtbpd015,02,pre,delta,0.46364
sub-rtbpd015,02,pre,theta,0.43522
sub-rtbpd015,02,pre,alpha,0.42006
sub-rtbpd015,02,pre,beta,0.36614
sub-rtbpd015,02,pre,gamma,0.3316
sub-rtbpd015,03,post,delta,0.37973
sub-rtbpd015,03,post,theta,0.37966
sub-rtbpd015,03,post,alpha,0.38453
sub-rtbpd015,03,post,beta,0.32946
sub-rtbpd015,03,post,gamma,0.30563
sub-rtbpd015,04,post,delta,0.37172
sub-rtbpd015,04,post,theta,0.41281
sub-rtbpd015,04,post,alpha,0.41365
sub-rtbpd015,04,post,beta,0.32644
sub-rtbpd015,04,post,gamma,0.34819
sub-rtbpd018,01,pre,delta,0.49284
sub-rtbpd018,01,pre,theta,0.50271
sub-rtbpd018,01,pre,alpha,0.50136
sub-rtbpd018,01,pre,beta,0.39465
sub-rtbpd018,01,pre,gamma,0.31411
sub-rtbpd018,02,pre,delta,0.53196
sub-rtbpd018,02,pre,theta,0.56966
sub-rtbpd018,02,pre,alpha,0.53543
sub-rtbpd018,02,pre,beta,0.42393
sub-rtbpd018,02,pre,gamma,0.3432
sub-rtbpd018,03,post,delta,0.44373
sub-rtbpd018,03,post,theta,0.49633
sub-rtbpd018,03,post,alpha,0.4806
sub-rtbpd018,03,post,beta,0.42684
sub-rtbpd018,03,post,gamma,0.35279
sub-rtbpd018,04,post,delta,0.42782
sub-rtbpd018,04,post,theta,0.47192
sub-rtbpd018,04,post,alpha,0.52969
sub-rtbpd018,04,post,beta,0.45336
sub-rtbpd018,04,post,gamma,0.41851
sub-rtbpd020,01,pre,delta,0.34943
sub-rtbpd020,01,pre,theta,0.37468
sub-rtbpd020,01,pre,alpha,0.38645
sub-rtbpd020,01,pre,beta,0.33379
sub-rtbpd020,01,pre,gamma,0.27612
sub-rtbpd020,02,pre,delta,0.33067
sub-rtbpd020,02,pre,theta,0.39909
sub-rtbpd020,02,pre,alpha,0.40406
sub-rtbpd020,02,pre,beta,0.33457
sub-rtbpd020,02,pre,gamma,0.28565
sub-rtbpd020,03,post,delta,0.33124
sub-rtbpd020,03,post,theta,0.41517
sub-rtbpd020,03,post,alpha,0.3895
sub-rtbpd020,03,post,beta,0.32527
sub-rtbpd020,03,post,gamma,0.26248
sub-rtbpd020,04,post,delta,0.32713
sub-rtbpd020,04,post,theta,0.38772
sub-rtbpd020,04,post,alpha,0.35915
sub-rtbpd020,04,post,beta,0.26764
sub-rtbpd020,04,post,gamma,0.25527
sub-rtbpd021,01,pre,delta,0.45285
sub-rtbpd021,01,pre,theta,0.46163
sub-rtbpd021,01,pre,alpha,0.46747
sub-rtbpd021,01,pre,beta,0.45644
sub-rtbpd021,01,pre,gamma,0.4752
sub-rtbpd021,02,pre,delta,0.4838
sub-rtbpd021,02,pre,theta,0.49089
sub-rtbpd021,02,pre,alpha,0.47866
sub-rtbpd021,02,pre,beta,0.48072
sub-rtbpd021,02,pre,gamma,0.48934
