band,mean_pre,mean_post,mean_diff,t,p,p_fdr,cohens_d,n,sig_fdr
delta,0.43838,0.43772,-0.00066,-0.0443,0.965327,0.965327,-0.0114,15,False
theta,0.44474,0.45582,0.01109,1.1471,0.270573,0.887435,0.2962,15,False
alpha,0.4325,0.43577,0.00327,0.2842,0.780435,0.965327,0.0734,15,False
beta,0.37906,0.39819,0.01913,0.9566,0.354974,0.887435,0.247,15,False
gamma,0.36034,0.3724,0.01205,0.6004,0.557845,0.929742,0.155,15,False
