subject,run,condition,microstate,duration_ms,occurrence_hz,coverage_pct,gev_pct
sub-rtbpd012,01,pre,B,20.544,9.4114,19.335,9.532
sub-rtbpd012,01,pre,A,20.56,9.7046,19.953,8.907
sub-rtbpd012,02,pre,D,18.149,7.0027,12.71,4.256
sub-rtbpd012,02,pre,C,36.528,12.3498,45.111,43.832
sub-rtbpd012,02,pre,B,20.843,9.3248,19.436,9.245
sub-rtbpd012,02,pre,A,22.31,10.1943,22.743,13.283
sub-rtbpd012,03,post,D,21.51,6.6663,14.339,7.663
sub-rtbpd012,03,post,C,56.276,10.5941,59.619,44.867
sub-rtbpd012,03,post,B,18.996,6.9694,13.239,4.6
sub-rtbpd012,03,post,A,18.343,6.9794,12.802,2.814
sub-rtbpd012,04,post,D,21.972,6.7162,14.757,5.774
sub-rtbpd012,04,post,C,56.405,10.2209,57.651,44.283
sub-rtbpd012,04,post,B,20.439,7.1427,14.599,5.668
sub-rtbpd012,04,post,A,18.768,6.9228,12.993,4.495
sub-rtbpd013,01,pre,D,20.295,7.4225,15.064,7.118
sub-rtbpd013,01,pre,C,29.636,11.4436,33.914,32.345
sub-rtbpd013,01,pre,B,26.816,10.764,28.865,23.193
sub-rtbpd013,01,pre,A,22.832,9.7046,22.158,10.406
sub-rtbpd013,02,pre,D,21.745,6.8495,14.894,7.456
sub-rtbpd013,02,pre,C,33.257,10.091,33.56,30.952
sub-rtbpd013,02,pre,B,30.747,9.6546,29.685,27.468
sub-rtbpd013,02,pre,A,24.567,8.8984,21.86,7.951
sub-rtbpd013,03,post,D,17.52,7.7323,13.547,5.053
sub-rtbpd013,03,post,C,19.865,11.0605,21.972,15.544
sub-rtbpd013,03,post,B,30.746,12.9228,39.732,32.062
sub-rtbpd013,03,post,A,21.728,11.3903,24.749,12.09
sub-rtbpd013,04,post,D,23.507,9.4814,22.288,11.94
sub-rtbpd013,04,post,C,18.65,8.7784,16.371,7.445
sub-rtbpd013,04,post,B,34.226,11.6068,39.726,39.238
sub-rtbpd013,04,post,A,22.45,9.6279,21.615,9.222
sub-rtbpd015,01,pre,D,15.128,6.0799,9.198,3.284
sub-rtbpd015,01,pre,C,43.334,12.6929,55.004,56.102
sub-rtbpd015,01,pre,B,19.146,9.6313,18.44,9.257
