subject,run,n,CEN,DMN,PDA
rtbpd004,1,120,-0.04900591806964289,0.16195915879407957,0.07741696648380218
rtbpd004,2,120,0.15493589287895548,0.11990496416418167,-0.19732163302051187
rtbpd004,3,120,0.08798517207014325,0.1769589359735132,0.11501708187964349
rtbpd004,4,120,-0.04141799204656484,0.2370627034135821,0.04000118138612521
rtbpd012,1,120,0.08954673079771315,0.19002423750071673,-0.13157286751780994
rtbpd012,2,120,0.0430544688570467,0.12471159252699186,-0.05602017906013147
rtbpd012,3,120,0.08928741158319957,0.009599997313229436,-0.0570317788083488
rtbpd012,4,120,0.0896188324562282,0.07228396523719066,0.14957422138501383
rtbpd012,5,120,-0.09677367768275758,0.018530173279936824,0.008749826862253302
rtbpd013,1,120,-0.02221107151661318,0.08060965098931941,-0.01244300564208688
rtbpd013,2,120,-0.051954529015416494,0.03695496749576969,0.1608738123397089
rtbpd013,3,120,0.17781532959982396,-0.14265268350594693,-0.006358195387998155
rtbpd013,4,120,0.1847313094915487,0.04885840269125323,0.02548150838046157
rtbpd013,5,120,0.01581614980919755,-0.031186006556426414,0.03222507452031842
rtbpd018,1,120,-0.008325524734315741,-0.024847051615223312,0.021464892158748083
rtbpd018,2,120,0.09328313896655754,0.1178344888452289,-0.13127850428909377
rtbpd018,3,120,0.29915395033124287,0.3289319264607539,0.026222099151842797
rtbpd018,4,120,-0.00276443638350238,0.05028987725682495,0.05806746202307562
rtbpd018,5,120,-0.12428916600883866,-0.09194194310098948,-0.0024646121233248097
rtbpd020,1,120,-0.10355838183990111,-0.02058239994456704,-0.053050778703997596
rtbpd020,2,120,0.13470868429925464,0.20725869463345725,0.0690403592196822
rtbpd020,3,120,-0.08816873822338415,-0.04211805428708411,0.0441171031287883
rtbpd020,4,120,0.03256993934389378,-0.003446707010277039,-0.028103064640175444
rtbpd020,5,120,-0.03261767124914776,0.2298868513314272,-0.3244235209095619
rtbpd021,1,120,-0.1807031695298421,-0.028663748798030218,-0.0034763139165386605
rtbpd021,2,120,0.02533665310619693,0.054839410441503526,-0.03655232322007736
rtbpd021,3,120,0.07158758978407466,0.18573044598468236,0.20647509754721927
rtbpd021,4,120,-0.049843037202057384,-0.1743361051033737,0.00881786638519862
rtbpd021,5,120,0.11193863192421061,0.06680263565758196,0.027749046966332753
rtbpd024,1,120,0.2509791883765215,0.28957256236632833,0.19743469884088974
rtbpd024,2,120,-0.11430439778855059,0.007424727408870804,0.08826175828745324
rtbpd024,3,120,0.01129497492883606,0.14319198341884076,0.21559196764674304
rtbpd024,4,120,0.12799862577212023,-0.10570414986019905,0.05098134687555152
rtbpd024,5,120,-0.14632551865143423,-0.04385382026156401,0.04898810964039227
rtbpd034,1,120,0.11253199621944017,0.1752582234820693,0.31463133022534817
rtbpd034,2,120,0.1798652199304417,-0.059984255687726765,-0.13369803076657008
rtbpd034,3,120,0.14141944111759067,-0.0658482067705491,-0.09030548874531528
rtbpd034,4,120,-0.19633831261970114,-0.1430556422147096,0.21867724891928855
rtbpd034,5,120,-0.18418580317646557,0.03894920957875809,0.07423392666664383
rtbpd038,1,120,-0.12706024075882033,-0.053626366146727306,0.05830849878971066
rtbpd038,2,120,0.16005354098423627,0.0167068575306352,-0.278842032507742
rtbpd038,3,120,0.06808765103059225,0.09998649661797675,0.032658331713889
rtbpd038,4,120,0.2979653915554128,0.14235304932208634,0.23869875711665756
rtbpd038,5,120,0.09547860603296442,0.06640046070600514,0.09034853173275274
rtbpd040,1,120,0.008657665153036087,-0.0452028624020239,0.0333567791775404
rtbpd040,2,120,-0.07320286051934564,0.17886957968258785,0.028477686878035775
rtbpd040,3,120,-0.1678673471890159,-0.0543486349877728,-0.19355879178688234
rtbpd040,4,120,-0.19152327304053254,-0.06918562840444784,-0.2596183951387253
rtbpd040,5,120,-0.18510608080409297,-0.1787379555455609,-0.14051600400436773
